County/City,,,"W. T. Bolling","L. L. Byrne","All Others","Total Votes Cast"
,,,Republican,Democratic
"Goochland County",,,"4,690","2,945",10,"7,645"
"Grayson County",,,"2,709","1,775",2,"4,486"
"Greene County",,,"2,622","1,709",1,"4,332"
"Greensville County",,,"1,348","1,719",2,"3,069"
"Halifax County",,,"4,941","3,638",6,"8,585"
"Hampton City",,,"12,344","19,888",76,"32,308"
"Hanover County",,,"23,840","10,814",23,"34,677"
"Harrisonburg City",,,"3,482","3,287",18,"6,787"
"Henrico County",,,"47,192","44,083",138,"91,413"
"Henry County",,,"7,424","6,542",5,"13,971"
"Highland County",,,724,454,0,"1,178"
"Hopewell City",,,"2,823","2,085",3,"4,911"
"Isle of Wight County",,,"5,801","4,213",47,"10,061"
"James City County",,,"11,529","9,193",31,"20,753"
"King and Queen County",,,"1,028",966,1,"1,995"
"King George County",,,"2,810","1,861",10,"4,681"
"King William County",,,"2,759","1,740",7,"4,506"
"Lancaster County",,,"2,688","1,853",6,"4,547"
"Lee County",,,"3,970","2,647",1,"6,618"
"Lexington City",,,627,"1,007",4,"1,638"
"Loudoun County",,,"29,373","29,990",89,"59,452"
"Louisa County",,,"4,475","3,462",8,"7,945"
"Lunenburg County",,,"1,761","1,437",3,"3,201"
"Lynchburg City",,,"8,478","7,557",35,"16,070"
"Madison County",,,"2,159","1,576",2,"3,737"
"Manassas City",,,"3,697","3,032",8,"6,737"
"Manassas Park City",,,761,645,1,"1,407"
"Martinsville City",,,"1,501","2,138",5,"3,644"
"Mathews County",,,"1,979","1,300",0,"3,279"
"Mecklenburg County",,,"3,812","2,734",0,"6,546"
"Middlesex County",,,"2,284","1,390",2,"3,676"
"Montgomery County",,,"9,599","10,771",22,"20,392"
"Nelson County",,,"2,274","2,632",4,"4,910"
"New Kent County",,,"3,465","1,998",6,"5,469"
"Newport News City",,,"16,795","20,341",87,"37,223"
"Norfolk City",,,"14,749","25,046",439,"40,234"
"Northampton County",,,"1,466","1,838",11,"3,315"
"Northumberland County",,,"2,687","1,975",6,"4,668"
"Norton City",,,500,463,0,963
"Nottoway County",,,"2,058","1,813",1,"3,872"
"Orange County",,,"4,795","3,513",0,"8,308"
"Page County",,,"3,692","2,317",10,"6,019"
"Patrick County",,,"2,783","1,991",3,"4,777"
"Petersburg City",,,"1,386","5,635",1,"7,022"
"Pittsylvania County",,,"10,400","5,888",5,"16,293"
"Poquoson City",,,"2,791","1,206",7,"4,004"
"Portsmouth City",,,"8,811","15,359",157,"24,327"
"Powhatan County",,,"5,940","2,440",5,"8,385"
"Prince Edward County",,,"2,332","2,334",1,"4,667"
"Prince George County",,,"4,984","3,166",16,"8,166"
"Prince William County",,,"33,576","32,227",67,"65,870"
"Pulaski County",,,"5,167","4,109",0,"9,276"
"Radford City",,,"1,713","1,747",1,"3,461"
"Rappahannock County",,,"1,317","1,375",12,"2,704"
"Richmond County",,,"1,350",798,0,"2,148"
"Richmond City",,,"14,408","35,451",128,"49,987"
"Roanoke County",,,"18,600","12,394",32,"31,026"
"Roanoke City",,,"9,201","13,135",36,"22,372"
"Rockbridge County",,,"3,546","2,762",4,"6,312"
"Rockingham County",,,"13,849","5,964",35,"19,848"
"Russell County",,,"3,764","3,355",0,"7,119"
"Salem City",,,"4,582","3,221",11,"7,814"
"Scott County",,,"5,393","2,365",5,"7,763"
"Shenandoah County",,,"8,106","3,919",21,"12,046"
"Smyth County",,,"5,004","2,754",10,"7,768"
"Southampton County",,,"2,541","2,280",12,"4,833"
"Spotsylvania County",,,"14,697","10,173",42,"24,912"
"Stafford County",,,"14,430","10,302",33,"24,765"
"Staunton City",,,"3,773","2,721",5,"6,499"
"Suffolk City",,,"9,353","9,454",82,"18,889"
"Surry County",,,"1,011","1,377",2,"2,390"
"Sussex County",,,"1,410","1,615",0,"3,025"
"Tazewell County",,,"5,535","3,921",0,"9,456"
"Virginia Beach City",,,"52,354","41,225",863,"94,442"
"Warren County",,,"4,852","3,379",7,"8,238"
"Washington County",,,"9,819","4,835",13,"14,667"
"Waynesboro City",,,"2,890","1,973",6,"4,869"
"Westmoreland County",,,"2,037","2,074",2,"4,113"
"Williamsburg City",,,"1,262","1,600",8,"2,870"
"Winchester City",,,"2,946","2,743",15,"5,704"
"Wise County",,,"5,609","3,936",1,"9,546"
"Wythe County",,,"5,125","2,943",9,"8,077"
"York County",,,"10,769","7,392",25,"18,186"
TOTALS,,,"979,265","956,906","4,065","1,940,236"
