County/City,,,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",,,"4,137","5,259",256,6,"9,658"
"Albemarle County",,,"17,924","13,930","1,170",16,"33,040"
"Alexandria City",,,"29,047","11,480",859,46,"41,432"
"Alleghany County",,,"2,211","1,835",105,4,"4,155"
"Amelia County",,,"1,377","2,588",100,3,"4,068"
"Amherst County",,,"3,243","5,370",183,2,"8,798"
"Appomattox County",,,"1,399","3,234",98,5,"4,736"
"Arlington County",,,"47,709","18,239","1,660",75,"67,683"
"Augusta County",,,"5,153","14,011",544,26,"19,734"
"Bath County",,,489,638,44,0,"1,171"
"Bedford County",,,"6,855","17,280",568,8,"24,711"
"Bland County",,,514,"1,266",38,2,"1,820"
"Botetourt County",,,"3,488","7,296",285,8,"11,077"
"Bristol City",,,"1,294","2,445",64,4,"3,807"
"Brunswick County",,,"2,675","1,692",48,0,"4,415"
"Buchanan County",,,"1,794","2,794",43,4,"4,635"
"Buckingham County",,,"1,785","2,015",105,5,"3,910"
"Buena Vista City",,,475,692,38,1,"1,206"
"Campbell County",,,"4,428","10,761",291,15,"15,495"
"Caroline County",,,"3,879","3,517",174,6,"7,576"
"Carroll County",,,"2,265","4,587",194,8,"7,054"
"Charles City County",,,"1,593",834,48,3,"2,478"
"Charlotte County",,,"1,462","2,062",50,0,"3,574"
"Charlottesville City",,,"8,241","2,054",413,11,"10,719"
"Chesapeake City",,,"29,602","29,899","1,214",52,"60,767"
"Chesterfield County",,,"44,491","53,306","3,272",72,"101,141"
"Clarke County",,,"1,954","2,893",143,3,"4,993"
"Colonial Heights City",,,"1,187","3,351",139,2,"4,679"
"Covington City",,,731,457,24,1,"1,213"
"Craig County",,,559,"1,011",49,2,"1,621"
"Culpeper County",,,"3,823","7,487",303,8,"11,621"
"Cumberland County",,,"1,228","1,451",93,4,"2,776"
"Danville City",,,"6,259","4,436",114,3,"10,812"
"Dickenson County",,,"1,416","1,897",40,23,"3,376"
"Dinwiddie County",,,"3,467","3,694",146,16,"7,323"
"Emporia City",,,855,501,16,1,"1,373"
"Essex County",,,"1,419","1,545",57,1,"3,022"
"Fairfax County",,,"176,418","122,857","6,329",265,"305,869"
"Fairfax City",,,"3,812","3,018",160,3,"6,993"
