County/City,,,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
"Falls Church City",,,"3,599","1,309",123,3,"5,034"
"Fauquier County",,,"6,985","13,219",405,6,"20,615"
"Floyd County",,,"1,889","2,558",163,11,"4,621"
"Fluvanna County",,,"3,563","4,480",274,8,"8,325"
"Franklin County",,,"5,650","9,664",408,7,"15,729"
"Franklin City",,,"1,328",818,29,0,"2,175"
"Frederick County",,,"6,659","14,693",556,45,"21,953"
"Fredericksburg City",,,"3,341","2,211",164,11,"5,727"
"Galax City",,,564,743,29,4,"1,340"
"Giles County",,,"1,760","2,856",140,4,"4,760"
"Gloucester County",,,"3,729","6,988",278,1,"10,996"
"Goochland County",,,"3,381","5,735",235,5,"9,356"
"Grayson County",,,"1,441","2,585",109,11,"4,146"
"Greene County",,,"1,655","3,223",190,4,"5,072"
"Greensville County",,,"1,738",984,37,1,"2,760"
"Halifax County",,,"4,435","5,005",153,6,"9,599"
"Hampton City",,,"23,483","10,149",673,24,"34,329"
"Hanover County",,,"12,437","24,995","1,239",35,"38,706"
"Harrisonburg City",,,"3,865","3,332",338,4,"7,539"
"Henrico County",,,"54,049","41,171","2,822",91,"98,133"
"Henry County",,,"5,695","7,549",242,2,"13,488"
"Highland County",,,318,564,37,0,919
"Hopewell City",,,"2,412","2,197",134,5,"4,748"
"Isle of Wight County",,,"4,979","6,714",233,9,"11,935"
"James City County",,,"11,577","14,403",474,28,"26,482"
"King and Queen County",,,"1,012","1,067",59,0,"2,138"
"King George County",,,"2,460","4,148",171,6,"6,785"
"King William County",,,"1,797","3,168",181,4,"5,150"
"Lancaster County",,,"1,924","2,573",91,5,"4,593"
"Lee County",,,"2,030","3,690",88,4,"5,812"
"Lexington City",,,981,501,33,3,"1,518"
"Loudoun County",,,"45,042","45,500","2,081",81,"92,704"
"Louisa County",,,"3,936","5,802",333,4,"10,075"
"Lunenburg County",,,"1,481","1,736",67,1,"3,285"
"Lynchburg City",,,"8,284","10,627",461,23,"19,395"
"Madison County",,,"1,418","2,560",102,3,"4,083"
"Manassas City",,,"4,004","3,891",240,6,"8,141"
"Manassas Park City",,,"1,107",924,64,2,"2,097"
"Martinsville City",,,"2,146","1,317",75,6,"3,544"
"Mathews County",,,"1,208","2,141",52,0,"3,401"
"Mecklenburg County",,,"3,266","4,375",128,0,"7,769"
"Middlesex County",,,"1,427","2,304",91,1,"3,823"
"Montgomery County",,,"11,110","9,776",871,9,"21,766"
"Nelson County",,,"2,496","2,288",289,3,"5,076"
"New Kent County",,,"2,303","4,668",195,10,"7,176"
"Newport News City",,,"23,405","14,548",791,26,"38,770"
"Norfolk City",,,"29,210","12,252","1,043",38,"42,543"
"Northampton County",,,"1,890","1,553",127,1,"3,571"
"Northumberland County",,,"2,089","2,939",99,1,"5,128"
"Norton City",,,294,462,26,0,782
"Nottoway County",,,"1,796","1,942",79,3,"3,820"
"Orange County",,,"3,629","5,814",247,9,"9,699"
"Page County",,,"1,654","3,883",101,2,"5,640"
"Patrick County",,,"1,538","3,228",117,2,"4,885"
"Petersburg City",,,"6,800",843,97,8,"7,748"
"Pittsylvania County",,,"6,558","11,278",250,16,"18,102"
"Poquoson City",,,"1,077","3,128",99,1,"4,305"
"Portsmouth City",,,"17,101","6,760",574,17,"24,452"
"Powhatan County",,,"2,525","6,785",375,1,"9,686"
"Prince Edward County",,,"2,550","2,194",122,1,"4,867"
"Prince George County",,,"3,700","5,132",243,6,"9,081"
"Prince William County",,,"48,140","45,366","1,955",67,"95,528"
"Pulaski County",,,"3,301","4,796",198,8,"8,303"
"Radford City",,,"1,446","1,256",82,7,"2,791"
"Rappahannock County",,,"1,213","1,531",53,4,"2,801"
"Richmond County",,,844,"1,194",36,2,"2,076"
"Richmond City",,,"38,963","10,750","1,691",35,"51,439"
"Roanoke County",,,"11,605","18,166",817,26,"30,614"
"Roanoke City",,,"12,311","7,714",720,19,"20,764"
"Rockbridge County",,,"2,713","3,696",153,1,"6,563"
"Rockingham County",,,"5,323","14,744",540,19,"20,626"
"Russell County",,,"2,442","3,947",108,4,"6,501"
"Salem City",,,"2,750","3,914",210,2,"6,876"
"Scott County",,,"1,406","3,699",70,4,"5,179"
"Shenandoah County",,,"3,219","7,624",238,11,"11,092"
"Smyth County",,,"2,405","4,296",148,6,"6,855"
"Southampton County",,,"2,377","2,594",88,3,"5,062"
"Spotsylvania County",,,"12,381","19,445",732,26,"32,584"
"Stafford County",,,"13,436","19,790",729,34,"33,989"
"Staunton City",,,"3,010","3,045",175,7,"6,237"
"Suffolk City",,,"13,533","10,202",435,17,"24,187"
"Surry County",,,"1,545",963,61,0,"2,569"
"Sussex County",,,"1,710","1,241",36,0,"2,987"
"Tazewell County",,,"2,574","6,972",119,11,"9,676"
"Virginia Beach City",,,"49,218","54,602","2,863",64,"106,747"
"Warren County",,,"3,048","5,933",231,25,"9,237"
"Washington County",,,"4,402","9,361",235,17,"14,015"
"Waynesboro City",,,"1,951","2,675",184,2,"4,812"
"Westmoreland County",,,"2,217","2,338",93,6,"4,654"
"Williamsburg City",,,"2,466","1,360",88,3,"3,917"
"Winchester City",,,"2,732","2,985",195,9,"5,921"
"Wise County",,,"2,181","5,414",125,3,"7,723"
"Wythe County",,,"2,393","4,562",177,10,"7,142"
"York County",,,"7,974","12,141",493,17,"20,625"
TOTALS,,,"1,073,667","1,055,940","53,102","1,811","2,184,520"
