County/City,,,"J. W. Kilgore","A. Donald McEachin","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"4,255","2,626",0,"6,881"
"Albemarle County",,,"14,598","11,324",21,"25,943"
"Alexandria City",,,"12,582","21,570",41,"34,193"
"Alleghany County",,,"2,877","1,858",0,"4,735"
"Amelia County",,,"2,290","1,187",0,"3,477"
"Amherst County",,,"5,278","2,806",0,"8,084"
"Appomattox County",,,"2,692","1,405",0,"4,097"
"Arlington County",,,"18,506","33,705",26,"52,237"
"Augusta County",,,"13,552","3,931",0,"17,483"
"Bath County",,,928,507,0,"1,435"
"Bedford County",,,"13,436","4,965",0,"18,401"
"Bedford City",,,"1,022",662,0,"1,684"
"Bland County",,,"1,221",438,0,"1,659"
"Botetourt County",,,"7,305","2,833",0,"10,138"
"Bristol City",,,"3,412",957,1,"4,370"
"Brunswick County",,,"1,816","2,491",6,"4,313"
"Buchanan County",,,"3,025","2,469",0,"5,494"
"Buckingham County",,,"2,187","1,690",0,"3,877"
"Buena Vista City",,,799,561,0,"1,360"
"Campbell County",,,"10,608","4,261",4,"14,873"
"Caroline County",,,"2,977","2,808",0,"5,785"
"Carroll County",,,"5,711","1,928",0,"7,639"
"Charles City County",,,762,"1,594",0,"2,356"
"Charlotte County",,,"2,541","1,434",0,"3,975"
"Charlottesville City",,,"3,273","5,848",25,"9,146"
"Chesapeake City",,,"32,895","19,038",50,"51,983"
"Chesterfield County",,,"56,413","23,630",84,"80,127"
"Clarke County",,,"2,268","1,374",1,"3,643"
"Colonial Heights City",,,"4,533",859,5,"5,397"
"Covington City",,,905,669,0,"1,574"
"Craig County",,,"1,190",597,0,"1,787"
"Culpeper County",,,"5,866","2,536",0,"8,402"
"Cumberland County",,,"1,526",994,0,"2,520"
"Danville City",,,"7,384","5,348",3,"12,735"
"Dickenson County",,,"2,817","1,785",1,"4,603"
"Dinwiddie County",,,"3,910","2,731",0,"6,641"
"Emporia City",,,801,677,0,"1,478"
"Essex County",,,"1,528","1,032",0,"2,560"
"Fairfax County",,,"140,059","125,976",123,"266,158"
"Fairfax City",,,"3,757","2,887",2,"6,646"
"Falls Church City",,,"1,516","2,419",5,"3,940"
"Fauquier County",,,"11,083","5,101",12,"16,196"
"Floyd County",,,"2,845","1,416",0,"4,261"
"Fluvanna County",,,"4,370","2,151",0,"6,521"
"Franklin County",,,"9,129","4,319",0,"13,448"
"Franklin City",,,"1,112","1,053",11,"2,176"
"Frederick County",,,"11,746","4,339",0,"16,085"
"Fredericksburg City",,,"2,190","2,167",11,"4,368"
"Galax City",,,"1,025",525,0,"1,550"
"Giles County",,,"3,112","1,885",1,"4,998"
"Gloucester County",,,"6,431","2,648",4,"9,083"
"Goochland County",,,"4,316","2,134",0,"6,450"
"Grayson County",,,"3,639","1,548",0,"5,187"
"Greene County",,,"2,762",998,0,"3,760"
"Greensville County",,,"1,091","1,538",1,"2,630"
"Halifax County",,,"5,477","3,740",1,"9,218"
"Hampton City",,,"14,963","16,696",65,"31,724"
"Hanover County",,,"23,515","6,859",7,"30,381"
"Harrisonburg City",,,"4,095","2,229",11,"6,335"
"Henrico County",,,"50,391","30,818",123,"81,332"
"Henry County",,,"8,627","5,909",2,"14,538"
"Highland County",,,747,334,1,"1,082"
"Hopewell City",,,"2,951","1,649",0,"4,600"
"Isle of Wight County",,,"5,978","3,309",9,"9,296"
"James City County",,,"11,314","5,668",15,"16,997"
"King and Queen County",,,"1,130",864,0,"1,994"
"King George County",,,"2,726","1,490",5,"4,221"
"King William County",,,"2,542","1,323",5,"3,870"
"Lancaster County",,,"2,931","1,447",5,"4,383"
"Lee County",,,"3,761","1,597",0,"5,358"
"Lexington City",,,749,827,0,"1,576"
"Loudoun County",,,"28,447","16,459",47,"44,953"
"Louisa County",,,"4,777","2,823",3,"7,603"
"Lunenburg County",,,"2,125","1,474",8,"3,607"
"Lynchburg City",,,"10,284","6,899",30,"17,213"
"Madison County",,,"2,518","1,137",0,"3,655"
"Manassas City",,,"3,913","2,473",0,"6,386"
"Manassas Park City",,,860,551,0,"1,411"
"Martinsville City",,,"2,072","1,920",2,"3,994"
"Mathews County",,,"2,192",831,1,"3,024"
"Mecklenburg County",,,"4,494","2,625",1,"7,120"
"Middlesex County",,,"2,384","1,017",1,"3,402"
"Montgomery County",,,"11,712","7,940",3,"19,655"
"Nelson County",,,"2,374","2,035",4,"4,413"
"New Kent County",,,"3,238","1,462",6,"4,706"
"Newport News City",,,"20,342","16,339",61,"36,742"
"Norfolk City",,,"19,716","22,860",106,"42,682"
"Northampton County",,,"1,763","1,571",1,"3,335"
"Northumberland County",,,"2,738","1,529",5,"4,272"
"Norton City",,,800,330,0,"1,130"
"Nottoway County",,,"2,328","1,860",0,"4,188"
"Orange County",,,"4,771","2,519",2,"7,292"
"Page County",,,"4,027","1,626",11,"5,664"
"Patrick County",,,"3,429","1,509",1,"4,939"
"Petersburg City",,,"1,882","6,498",1,"8,381"
"Pittsylvania County",,,"11,800","4,856",0,"16,656"
"Poquoson City",,,"3,358",771,0,"4,129"
"Portsmouth City",,,"11,493","14,245",40,"25,778"
"Powhatan County",,,"5,288","1,571",0,"6,859"
"Prince Edward County",,,"2,489","2,218",0,"4,707"
"Prince George County",,,"4,936","2,554",15,"7,505"
"Prince William County",,,"34,336","22,639",9,"56,984"
"Pulaski County",,,"6,019","3,292",2,"9,313"
"Radford City",,,"1,846","1,262",0,"3,108"
"Rappahannock County",,,"1,571","1,073",2,"2,646"
"Richmond County",,,"1,518",660,0,"2,178"
"Richmond City",,,"17,165","30,233",15,"47,413"
"Roanoke County",,,"22,221","9,149",5,"31,375"
"Roanoke City",,,"12,673","11,328",4,"24,005"
"Rockbridge County",,,"3,610","2,090",1,"5,701"
"Rockingham County",,,"14,235","3,877",9,"18,121"
"Russell County",,,"4,777","2,476",0,"7,253"
"Salem City",,,"5,502","2,468",0,"7,970"
"Scott County",,,"5,315","1,278",1,"6,594"
"Shenandoah County",,,"8,277","2,745",7,"11,029"
"Smyth County",,,"6,354","2,330",0,"8,684"
"Southampton County",,,"2,518","1,998",6,"4,522"
"Spotsylvania County",,,"14,224","6,844",13,"21,081"
"Stafford County",,,"14,603","6,533",21,"21,157"
"Staunton City",,,"4,304","1,947",1,"6,252"
"Suffolk City",,,"9,708","6,943",4,"16,655"
"Surry County",,,"1,005","1,284",1,"2,290"
"Sussex County",,,"1,382","1,525",0,"2,907"
"Tazewell County",,,"6,125","3,245",0,"9,370"
"Virginia Beach City",,,"62,830","30,020",111,"92,961"
"Warren County",,,"5,099","2,385",3,"7,487"
"Washington County",,,"11,093","3,167",3,"14,263"
"Waynesboro City",,,"3,376","1,448",3,"4,827"
"Westmoreland County",,,"2,178","1,918",2,"4,098"
"Williamsburg City",,,"1,339","1,143",0,"2,482"
"Winchester City",,,"3,718","2,178",1,"5,897"
"Wise County",,,"6,531","2,547",0,"9,078"
"Wythe County",,,"5,721","2,033",10,"7,764"
"York County",,,"11,576","4,880",12,"16,468"
TOTALS,,,"1,107,068","736,431","1,282","1,844,781"
