County/City,,,"T. M. Kaine","J. W. Kilgore","H. R. Potts, Jr","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent
"Shenandoah County",,,"3,996","7,874",438,12,"12,320"
"Smyth County",,,"2,989","5,053",91,2,"8,135"
"Southampton County",,,"2,442","2,354",110,1,"4,907"
"Spotsylvania County",,,"11,061","13,635",533,38,"25,267"
"Stafford County",,,"10,924","13,559",564,28,"25,075"
"Staunton City",,,"3,384","3,112",270,3,"6,769"
"Suffolk City",,,"10,480","8,561",456,12,"19,509"
"Surry County",,,"1,480",919,37,3,"2,439"
"Sussex County",,,"1,739","1,401",48,0,"3,188"
"Tazewell County",,,"4,194","5,970",106,4,"10,274"
"Virginia Beach City",,,"47,120","46,471","3,178",120,"96,889"
"Warren County",,,"3,408","4,705",329,9,"8,451"
"Washington County",,,"5,188","10,009",108,5,"15,310"
"Waynesboro City",,,"2,223","2,596",181,0,"5,000"
"Westmoreland County",,,"2,219","1,924",93,3,"4,239"
"Williamsburg City",,,"1,782","1,081",80,1,"2,944"
"Winchester City",,,"2,683","2,497",763,8,"5,951"
"Wise County",,,"3,871","6,190",56,5,"10,122"
"Wythe County",,,"3,125","4,954",185,5,"8,269"
"York County",,,"8,142","9,565",620,16,"18,343"
TOTALS,,,"1,025,942","912,327","43,953","1,556","1,983,778"
