County/City,Ward,Pct,"Charles S. Robb","J. Marshall Coleman","All Others","Total Votes Cast"
"Hanover County",,,"6,637","9,974",3,"16,614"
"Harrisonburg City",,,"2,156","2,456",13,"4,625"
"Henrico County",,,"27,054","36,246",20,"63,320"
"Henry County",,,"7,415","5,591",2,"13,008"
"Highland County",,,510,628,0,"1,138"
"Hopewell City",,,"3,230","3,496",1,"6,727"
"Isle of Wight County",,,"3,953","2,691",1,"6,645"
"James City County",,,"3,223","3,117",0,"6,340"
"King and Queen County",,,"1,099",665,0,"1,764"
"King George County",,,"1,172","1,224",0,"2,396"
"King William County",,,"1,415","1,396",0,"2,811"
"Lancaster County",,,"1,474","2,156",1,"3,631"
"Lee County",,,"4,368","2,938",0,"7,306"
"Lexington City",,,976,772,1,"1,749"
"Loudoun County",,,"7,334","7,594",2,"14,930"
"Louisa County",,,"2,727","2,026",20,"4,773"
"Lunenburg County",,,"1,875","1,492",4,"3,371"
"Lynchburg City",,,"8,269","10,399",14,"18,682"
"Madison County",,,"1,561","1,544",0,"3,105"
"Manassas City",,,"1,727","1,832",0,"3,559"
"Manassas Park City",,,468,417,0,885
"Martinsville City",,,"3,100","2,537",5,"5,642"
"Mathews County",,,"1,565","1,523",0,"3,088"
"Mecklenburg County",,,"3,415","3,329",1,"6,745"
"Middlesex County",,,"1,519","1,398",1,"2,918"
"Montgomery County",,,"7,451","6,225",2,"13,678"
"Nelson County",,,"2,106","1,486",0,"3,592"
"New Kent County",,,"1,227","1,235",0,"2,462"
"Newport News City",,,"20,240","14,824",12,"35,076"
"Norfolk City",,,"34,780","16,526",30,"51,336"
"Northampton County",,,"2,310","1,584",0,"3,894"
"Northumberland County",,,"1,577","2,058",0,"3,635"
"Norton City",,,695,360,0,"1,055"
"Nottoway County",,,"2,674","2,212",4,"4,890"
"Orange County",,,"2,449","2,387",2,"4,838"
"Page County",,,"2,678","2,834",2,"5,514"
"Patrick County",,,"2,847","2,014",1,"4,862"
"Petersburg City",,,"7,296","3,776",2,"11,074"
"Pittsylvania County",,,"6,708","8,930",0,"15,638"
"Poquoson City",,,"1,044","1,653",0,"2,697"
"Portsmouth City",,,"19,718","8,427",11,"28,156"
"Powhatan County",,,"1,669","2,099",0,"3,768"
"Prince Edward County",,,"2,729","2,165",9,"4,903"
"Prince George County",,,"2,302","2,389",1,"4,692"
"Prince William County",,,"13,387","12,644",8,"26,039"
"Pulaski County",,,"5,152","4,149",5,"9,306"
"Radford City",,,"2,070","1,542",0,"3,612"
"Rappahannock County",,,"1,009",743,0,"1,752"
"Richmond County",,,"1,012","1,169",0,"2,181"
"Richmond City",,,"45,378","24,926",71,"70,375"
"Roanoke County",,,"12,038","12,040",2,"24,080"
"Roanoke City",,,"16,448","10,367",6,"26,821"
"Rockbridge County",,,"2,406","2,205",5,"4,616"
"Rockingham County",,,"5,779","8,756",17,"14,552"
"Russell County",,,"4,753","3,085",0,"7,838"
"Salem City",,,"3,700","3,395",2,"7,097"
"Scott County",,,"3,264","3,424",0,"6,688"
"Shenandoah County",,,"3,608","5,223",0,"8,831"
"Smyth County",,,"4,678","4,494",0,"9,172"
"S. Boston City",,,847,"1,065",14,"1,926"
"Southampton County",,,"3,061","2,232",0,"5,293"
"Spotsylvania County",,,"4,088","3,453",0,"7,541"
"Stafford County",,,"4,625","5,214",0,"9,839"
"Staunton City",,,"3,138","3,241",1,"6,380"
"Suffolk City",,,"8,414","4,712",0,"13,126"
"Surry County",,,"1,727",690,1,"2,418"
"Sussex County",,,"2,339","1,172",0,"3,511"
"Tazewell County",,,"5,988","4,156",2,"10,146"
"Virginia Beach City",,,"27,993","27,060",16,"55,069"
"Warren County",,,"3,086","2,517",0,"5,603"
"Washington County",,,"5,617","5,690",1,"11,308"
"Waynesboro City",,,"1,876","3,072",2,"4,950"
"Westmoreland County",,,"2,266","1,771",0,"4,037"
"Williamsburg City",,,"1,224","1,017",0,"2,241"
"Winchester City",,,"2,522","2,787",0,"5,309"
"Wise County",,,"6,459","3,620",0,"10,079"
"Wythe County",,,"3,898","3,537",0,"7,435"
"York County",,,"4,615","4,649",1,"9,265"
TOTALS,,,"760,357","659,398",856,"1,420,611"
