County/City,,,"J. S. Gilmore, III","D. S. Beyer, Jr","Sue Harris DeBauche","All Others","Total Votes Cast"
"Lexington City",,,703,808,17,1,"1,529"
"Loudoun County",,,"20,997","13,697",407,44,"35,145"
"Louisa County",,,"3,832","2,806",200,0,"6,838"
"Lunenburg County",,,"2,230","1,502",58,0,"3,790"
"Lynchburg City",,,"9,724","7,634",144,15,"17,517"
"Madison County",,,"2,386","1,312",84,0,"3,782"
"Manassas City",,,"4,277","2,611",87,1,"6,976"
"Manassas Park City",,,754,302,19,0,"1,075"
"Martinsville City",,,"2,206","2,377",133,3,"4,719"
"Mathews County",,,"2,184","1,236",110,1,"3,531"
"Mecklenburg County",,,"4,226","2,408",217,0,"6,851"
"Middlesex County",,,"2,279","1,401",122,0,"3,802"
"Montgomery County",,,"9,445","7,882",308,3,"17,638"
"Nelson County",,,"2,014","2,113",110,1,"4,238"
"New Kent County",,,"2,856","1,599",78,21,"4,554"
"Newport News City",,,"20,033","17,237",732,4,"38,006"
"Norfolk City",,,"17,101","24,679",736,126,"42,642"
"Northampton County",,,"1,755","1,747",84,4,"3,590"
"Northumberland County",,,"2,409","1,337",62,7,"3,815"
"Norton City",,,647,777,36,0,"1,460"
"Nottoway County",,,"2,201","1,754",60,0,"4,015"
"Orange County",,,"4,124","2,443",111,0,"6,678"
"Page County",,,"3,220","1,890",38,19,"5,167"
"Patrick County",,,"2,726","1,679",123,0,"4,528"
"Petersburg City",,,"2,460","5,475",192,1,"8,128"
"Pittsylvania County",,,"10,445","4,720",243,2,"15,410"
"Poquoson City",,,"2,592","1,053",31,3,"3,679"
"Portsmouth City",,,"10,641","14,613",363,32,"25,649"
"Powhatan County",,,"4,186","1,567",109,0,"5,862"
"Prince Edward County",,,"2,476","2,186",86,0,"4,748"
"Prince George County",,,"4,461","2,305",79,7,"6,852"
"Prince William County",,,"32,049","18,110",651,10,"50,820"
"Pulaski County",,,"5,162","3,522",159,3,"8,846"
"Radford City",,,"1,466","1,471",52,2,"2,991"
"Rappahannock County",,,"1,301",982,30,2,"2,315"
"Richmond County",,,"1,211",651,50,0,"1,912"
"Richmond City",,,"17,544","30,643",967,17,"49,171"
"Roanoke County",,,"18,384","10,576",439,4,"29,403"
"Roanoke City",,,"11,628","11,857",598,5,"24,088"
"Rockbridge County",,,"3,339","1,937",78,1,"5,355"
"Rockingham County",,,"12,074","4,224",214,3,"16,515"
"Russell County",,,"3,675","3,687",125,0,"7,487"
"Salem City",,,"4,445","2,934",139,0,"7,518"
"Scott County",,,"4,050","2,087",125,0,"6,262"
"Shenandoah County",,,"7,069","2,718",122,14,"9,923"
"Smyth County",,,"5,366","3,510",175,0,"9,051"
"Southampton County",,,"2,345","2,105",151,0,"4,601"
"Spotsylvania County",,,"10,747","6,872",276,1,"17,896"
"Stafford County",,,"11,416","7,224",295,18,"18,953"
"Staunton City",,,"3,707","2,352",85,0,"6,144"
"Suffolk City",,,"8,398","6,959",257,3,"15,617"
"Surry County",,,944,"1,229",50,0,"2,223"
"Sussex County",,,"1,371","1,512",77,0,"2,960"
"Tazewell County",,,"5,515","4,235",194,3,"9,947"
"Virginia Beach City",,,"51,945","34,036","1,511",475,"87,967"
"Warren County",,,"4,139","2,628",70,4,"6,841"
"Washington County",,,"7,528","4,761",198,7,"12,494"
"Waynesboro City",,,"3,188","1,758",67,2,"5,015"
"Westmoreland County",,,"2,148","1,801",74,0,"4,023"
"Williamsburg City",,,"1,206","1,451",39,0,"2,696"
"Winchester City",,,"3,114","2,131",59,0,"5,304"
"Wise County",,,"4,834","4,292",142,0,"9,268"
"Wythe County",,,"4,401","2,512",149,22,"7,084"
"York County",,,"9,628","5,469",200,14,"15,311"
TOTALS,,,"969,062","738,971","25,955","2,326","1,736,314"
