County/City,,,"J. S. Gilmore, III","D. S. Beyer, Jr","Sue Harris DeBauche","All Others","Total Votes Cast"
,,,Republican,Democratic,Reform
"Accomack County",,,"4,529","2,511",234,0,"7,274"
"Albemarle County",,,"13,287","10,784",319,26,"24,416"
"Alexandria City",,,"11,115","18,144",251,31,"29,541"
"Alleghany County",,,"2,337","1,708",72,0,"4,117"
"Amelia County",,,"1,947","1,101",75,0,"3,123"
"Amherst County",,,"4,571","3,400",131,0,"8,102"
"Appomattox County",,,"2,177","1,707",76,0,"3,960"
"Arlington County",,,"18,252","30,736",568,24,"49,580"
"Augusta County",,,"11,789","4,416",214,0,"16,419"
"Bath County",,,807,632,38,1,"1,478"
"Bedford County",,,"10,989","5,300",304,0,"16,593"
"Bedford City",,,833,784,44,0,"1,661"
"Bland County",,,"1,180",564,35,0,"1,779"
"Botetourt County",,,"6,378","3,136",148,0,"9,662"
"Bristol City",,,"2,172","1,499",21,3,"3,695"
"Brunswick County",,,"1,946","2,220",113,0,"4,279"
"Buchanan County",,,"2,941","3,120",129,1,"6,191"
"Buckingham County",,,"1,799","1,548",89,0,"3,436"
"Buena Vista City",,,846,623,15,0,"1,484"
"Campbell County",,,"9,230","4,744",216,2,"14,192"
"Caroline County",,,"2,600","2,731",115,0,"5,446"
"Carroll County",,,"4,549","2,136",164,1,"6,850"
"Charles City County",,,743,"1,311",40,0,"2,094"
"Charlotte County",,,"2,184","1,285",88,0,"3,557"
"Charlottesville City",,,"3,354","5,352",142,44,"8,892"
"Chesapeake City",,,"25,636","18,509",571,221,"44,937"
"Chesterfield County",,,"46,779","21,621",779,394,"69,573"
"Clarke County",,,"1,800","1,347",50,0,"3,197"
"Clifton Forge City",,,589,744,21,0,"1,354"
"Colonial Heights City",,,"4,622","1,446",83,7,"6,158"
"Covington City",,,857,935,30,1,"1,823"
"Craig County",,,"1,180",736,56,0,"1,972"
"Culpeper County",,,"5,095","2,708",97,1,"7,901"
"Cumberland County",,,"1,549",896,50,0,"2,495"
"Danville City",,,"7,165","4,828",134,0,"12,127"
"Dickenson County",,,"2,326","2,379",94,0,"4,799"
"Dinwiddie County",,,"3,554","2,321",190,0,"6,065"
"Emporia City",,,855,573,60,0,"1,488"
"Essex County",,,"1,499","1,079",62,0,"2,640"
"Fairfax County",,,"129,038","114,697","1,922",121,"245,778"
"Fairfax City",,,"3,451","3,047",66,4,"6,568"
"Falls Church City",,,"1,396","2,655",26,2,"4,079"
"Fauquier County",,,"9,293","4,792",160,14,"14,259"
"Floyd County",,,"2,288","1,350",111,0,"3,749"
"Fluvanna County",,,"3,337","1,790",84,1,"5,212"
"Franklin County",,,"7,134","4,760",299,0,"12,193"
"Franklin City",,,"1,134","1,207",59,0,"2,400"
"Frederick County",,,"9,672","4,246",146,0,"14,064"
"Fredericksburg City",,,"1,952","2,394",66,19,"4,431"
"Galax City",,,853,588,20,0,"1,461"
"Giles County",,,"2,582","1,951",83,1,"4,617"
"Gloucester County",,,"5,513","3,074",255,1,"8,843"
"Goochland County",,,"3,929","2,395",136,0,"6,460"
"Grayson County",,,"2,803","1,696",125,0,"4,624"
"Greene County",,,"2,233",930,75,2,"3,240"
"Greensville County",,,"1,201","1,483",43,0,"2,727"
"Halifax County",,,"5,756","3,328",206,0,"9,290"
"Hampton City",,,"15,432","16,850",435,28,"32,745"
"Hanover County",,,"19,187","7,679",354,7,"27,227"
"Harrisonburg City",,,"3,793","2,429",66,1,"6,289"
"Henrico County",,,"46,367","30,661",912,424,"78,364"
"Henry County",,,"8,014","6,233",477,0,"14,724"
"Highland County",,,630,324,16,0,970
"Hopewell City",,,"3,100","1,723",97,1,"4,921"
"Isle of Wight County",,,"4,647","3,411",100,9,"8,167"
"James City County",,,"8,984","6,218",180,16,"15,398"
"King and Queen County",,,"1,032",988,51,0,"2,071"
"King George County",,,"2,063","1,502",55,5,"3,625"
"King William County",,,"2,277","1,430",59,2,"3,768"
"Lancaster County",,,"2,523","1,464",74,6,"4,067"
"Lee County",,,"4,460","2,676",282,0,"7,418"
