County/City,,,"L Douglas Wilder","J. Marshall Coleman","All Others","Total Votes Cast"
"Lancaster County",,,"1,834","2,838",0,"4,672"
"Lee County",,,"3,431","2,830",1,"6,262"
"Lexington City",,,"1,043",740,1,"1,784"
"Loudoun County",,,"11,065","10,555",25,"21,645"
"Louisa County",,,"2,931","3,416",3,"6,350"
"Lunenburg County",,,"1,896","2,248",0,"4,144"
"Lynchburg City",,,"10,060","10,927",4,"20,991"
"Madison County",,,"1,448","2,121",4,"3,573"
"Manassas City",,,"2,663","2,947",6,"5,616"
"Manassas Park City",,,385,460,1,846
"Martinsville City",,,"2,763","2,777",1,"5,541"
"Mathews County",,,"1,534","2,193",1,"3,728"
"Mecklenburg County",,,"3,287","5,373",1,"8,661"
"Middlesex County",,,"1,520","2,142",3,"3,665"
"Montgomery County",,,"9,121","8,513",5,"17,639"
"Nelson County",,,"2,341","1,961",0,"4,302"
"New Kent County",,,"1,797","2,416",9,"4,222"
"Newport News City",,,"25,284","21,261",36,"46,581"
"Norfolk City",,,"37,844","19,385",62,"57,291"
"Northampton County",,,"2,482","1,989",9,"4,480"
"Northumberland County",,,"1,669","2,506",2,"4,177"
"Norton City",,,808,423,3,"1,234"
"Nottoway County",,,"2,331","2,768",0,"5,099"
"Orange County",,,"2,465","3,468",1,"5,934"
"Page County",,,"1,925","3,760",2,"5,687"
"Patrick County",,,"1,761","3,246",0,"5,007"
"Petersburg City",,,"8,394","3,454",2,"11,850"
"Pittsylvania County",,,"6,349","10,616",3,"16,968"
"Poquoson City",,,"1,353","2,626",2,"3,981"
"Portsmouth City",,,"19,998","12,281",5,"32,284"
"Powhatan County",,,"1,741","3,298",2,"5,041"
"Prince Edward County",,,"2,822","2,732",2,"5,556"
"Prince George County",,,"2,693","4,219",1,"6,913"
"Prince William County",,,"20,329","21,104",34,"41,467"
"Pulaski County",,,"4,550","5,771",4,"10,325"
"Radford City",,,"2,092","1,980",3,"4,075"
"Rappahannock County",,,971,"1,188",1,"2,160"
"Richmond County",,,887,"1,558",1,"2,446"
"Richmond City",,,"49,513","23,239",67,"72,819"
"Roanoke County",,,"14,074","15,807",8,"29,889"
"Roanoke City",,,"16,590","11,483",22,"28,095"
"Rockbridge County",,,"2,314","2,713",0,"5,027"
"Rockingham County",,,"4,452","10,019",24,"14,495"
"Russell County",,,"4,955","3,750",2,"8,707"
"Salem City",,,"3,854","4,143",8,"8,005"
"Scott County",,,"2,825","3,704",0,"6,529"
"Shenandoah County",,,"3,390","6,186",3,"9,579"
"Smyth County",,,"3,557","5,438",4,"8,999"
"S. Boston City",,,987,"1,441",2,"2,430"
"Southampton County",,,"3,074","2,836",0,"5,910"
"Spotsylvania County",,,"5,524","7,646",5,"13,175"
"Stafford County",,,"5,775","8,565",7,"14,347"
"Staunton City",,,"2,748","4,512",3,"7,263"
"Suffolk City",,,"8,743","7,893",3,"16,639"
"Surry County",,,"1,740","1,018",0,"2,758"
"Sussex County",,,"2,251","1,561",0,"3,812"
"Tazewell County",,,"5,338","5,831",3,"11,172"
"Virginia Beach City",,,"41,570","44,332",265,"86,167"
"Warren County",,,"2,681","3,564",1,"6,246"
"Washington County",,,"5,572","8,219",0,"13,791"
"Waynesboro City",,,"2,102","3,637",5,"5,744"
"Westmoreland County",,,"2,197","2,322",3,"4,522"
"Williamsburg City",,,"1,641","1,026",0,"2,667"
"Winchester City",,,"2,253","3,232",2,"5,487"
"Wise County",,,"6,641","4,495",3,"11,139"
"Wythe County",,,"2,817","4,970",0,"7,787"
"York County",,,"6,001","7,283",13,"13,297"
TOTALS,,,"896,936","890,195","1,947","1,787,131"
