County/City,,,"L Douglas Wilder","J. Marshall Coleman","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,767","5,838",3,"10,608"
"Albemarle County",,,"10,743","9,998",35,"20,776"
"Alexandria City",,,"22,451","10,493",77,"33,021"
"Alleghany County",,,"2,313","2,342",0,"4,655"
"Amelia County",,,"1,509","1,937",2,"3,448"
"Amherst County",,,"4,000","4,965",4,"8,969"
"Appomattox County",,,"2,321","2,528",0,"4,849"
"Arlington County",,,"35,716","17,452",44,"53,212"
"Augusta County",,,"4,502","10,146",16,"14,664"
"Bath County",,,770,900,2,"1,672"
"Bedford County",,,"5,871","8,094",7,"13,972"
"Bedford City",,,961,"1,035",2,"1,998"
"Bland County",,,661,"1,287",0,"1,948"
"Botetourt County",,,"3,998","4,539",5,"8,542"
"Bristol City",,,"2,109","2,920",4,"5,033"
"Brunswick County",,,"3,181","2,493",0,"5,674"
"Buchanan County",,,"5,678","3,875",0,"9,553"
"Buckingham County",,,"2,014","2,515",2,"4,531"
"Buena Vista City",,,869,823,6,"1,698"
"Campbell County",,,"6,043","9,611",4,"15,658"
"Caroline County",,,"3,232","2,658",1,"5,891"
"Carroll County",,,"2,375","4,926",0,"7,301"
"Charles City County",,,"2,050",554,1,"2,605"
"Charlotte County",,,"2,072","2,552",2,"4,626"
"Charlottesville City",,,"6,892","3,902",24,"10,818"
"Chesapeake City",,,"21,384","21,076",24,"42,484"
"Chesterfield County",,,"23,799","43,656",151,"67,606"
"Clarke County",,,"1,394","1,546",0,"2,940"
"Clifton Forge City",,,912,676,0,"1,588"
"Colonial Heights City",,,"1,568","4,954",1,"6,523"
"Covington City",,,"1,570","1,169",1,"2,740"
"Craig County",,,766,902,6,"1,674"
"Culpeper County",,,"2,670","4,230",2,"6,902"
"Cumberland County",,,"1,418","1,617",0,"3,035"
"Danville City",,,"6,944","10,223",2,"17,169"
"Dickenson County",,,"3,536","2,131",6,"5,673"
"Dinwiddie County",,,"3,321","3,676",0,"6,997"
"Emporia City",,,"1,094","1,249",1,"2,344"
"Essex County",,,"1,373","1,694",2,"3,069"
"Fairfax County",,,"127,236","99,957",518,"227,711"
"Fairfax City",,,"3,398","3,027",6,"6,431"
"Falls Church City",,,"2,617","1,530",2,"4,149"
"Fauquier County",,,"5,545","6,700",4,"12,249"
"Floyd County",,,"1,566","2,387",1,"3,954"
"Fluvanna County",,,"1,554","2,063",4,"3,621"
"Franklin County",,,"5,158","6,037",6,"11,201"
"Franklin City",,,"1,865","1,146",0,"3,011"
"Frederick County",,,"3,746","6,581",3,"10,330"
"Fredericksburg City",,,"2,515","2,321",3,"4,839"
"Galax City",,,625,"1,077",0,"1,702"
"Giles County",,,"2,568","2,468",2,"5,038"
"Gloucester County",,,"4,258","5,765",13,"10,036"
"Goochland County",,,"2,473","3,092",2,"5,567"
"Grayson County",,,"1,761","3,337",0,"5,098"
"Greene County",,,863,"1,726",0,"2,589"
"Greensville County",,,"1,952","1,435",1,"3,388"
"Halifax County",,,"4,562","5,205",2,"9,769"
"Hampton City",,,"23,097","15,489",22,"38,608"
"Hanover County",,,"7,391","16,552",32,"23,975"
"Harrisonburg City",,,"2,647","3,562",12,"6,221"
"Henrico County",,,"32,939","46,947",156,"80,042"
"Henry County",,,"6,674","9,414",1,"16,089"
"Highland County",,,437,626,2,"1,065"
"Hopewell City",,,"2,781","4,119",0,"6,900"
"Isle of Wight County",,,"4,353","4,442",4,"8,799"
"James City County",,,"5,827","5,850",15,"11,692"
"King and Queen County",,,"1,278","1,119",3,"2,400"
"King George County",,,"1,563","1,819",1,"3,383"
"King William County",,,"1,794","2,265",2,"4,061"
