County/City,,,"Kamala D. Harris","Donald J. Trump","Jill E. Stein","Chase R. Oliver","Cornel R. West","Claudia De La Cruz","All Others","Total Votes Cast"
,,,Democratic,Republican,Green,Libertarian,Independent,Independent
"Lunenburg County",,,"2,253","3,594",6,14,7,5,6,"5,885"
"Lynchburg City",,,"16,664","19,574",118,208,84,67,308,"37,023"
"Madison County",,,"2,700","5,671",15,37,10,6,41,"8,480"
"Manassas City",,,"9,048","6,670",164,68,26,45,79,"16,100"
"Manassas Park City",,,"3,506","2,314",80,29,14,24,30,"5,997"
"Martinsville City",,,"3,435","2,155",14,22,20,12,15,"5,673"
"Mathews County",,,"1,774","4,106",13,25,3,8,16,"5,945"
"Mecklenburg County",,,"6,404","9,791",15,31,10,15,38,"16,304"
"Middlesex County",,,"2,473","4,357",14,24,10,4,25,"6,907"
"Montgomery County",,,"23,811","22,179",342,267,84,84,286,"47,053"
"Nelson County",,,"4,298","5,004",28,30,14,14,42,"9,430"
"New Kent County",,,"5,641","10,974",30,71,12,16,63,"16,807"
"Newport News City",,,"48,169","26,385",340,299,238,198,280,"75,909"
"Norfolk City",,,"59,941","24,377",421,410,258,236,366,"86,009"
"Northampton County",,,"3,603","3,183",7,20,7,12,24,"6,856"
"Northumberland County",,,"3,202","4,938",21,24,7,13,27,"8,232"
"Norton City",,,458,"1,174",4,4,0,3,1,"1,644"
"Nottoway County",,,"2,636","4,168",13,15,10,11,16,"6,869"
"Orange County",,,"8,274","13,764",55,100,22,32,106,"22,353"
"Page County",,,"2,976","10,123",40,45,10,17,40,"13,251"
"Patrick County",,,"1,886","7,746",21,26,10,9,21,"9,719"
"Petersburg City",,,"11,219","1,702",44,25,67,20,42,"13,119"
"Pittsylvania County",,,"9,599","24,310",57,76,24,34,56,"34,156"
"Poquoson City",,,"2,119","5,800",21,58,11,15,41,"8,065"
"Portsmouth City",,,"28,306","12,370",149,144,175,108,101,"41,353"
"Powhatan County",,,"5,734","14,918",43,111,9,26,73,"20,914"
"Prince Edward County",,,"4,539","4,782",33,37,20,13,36,"9,460"
"Prince George County",,,"6,842","10,590",49,45,32,38,37,"17,633"
"Prince William County",,,"131,128","90,203","4,148",911,674,527,"1,121","228,712"
"Pulaski County",,,"4,830","12,732",28,59,23,18,54,"17,744"
"Radford City",,,"3,231","3,197",52,47,12,11,33,"6,583"
"Rappahannock County",,,"2,041","2,943",12,29,5,8,27,"5,065"
"Richmond County",,,"1,439","2,697",10,9,2,4,7,"4,168"
"Richmond City",,,"88,710","17,041",915,509,470,498,588,"108,731"
"Roanoke County",,,"21,693","34,453",210,297,56,80,259,"57,048"
"Roanoke City",,,"25,737","15,787",201,206,89,108,186,"42,314"
"Rockbridge County",,,"4,160","8,468",33,61,16,14,76,"12,828"
"Rockingham County",,,"15,035","33,033",165,214,69,65,272,"48,853"
"Russell County",,,"2,172","11,303",10,24,5,11,22,"13,547"
"Salem City",,,"5,237","7,769",38,60,23,21,59,"13,207"
"Scott County",,,"1,607","9,392",20,28,6,4,20,"11,077"
"Shenandoah County",,,"6,914","17,215",70,110,24,47,109,"24,489"
"Smyth County",,,"2,805","11,521",27,39,11,17,48,"14,468"
"Southampton County",,,"3,626","6,133",15,19,22,16,25,"9,856"
"Spotsylvania County",,,"35,747","42,531",372,319,108,132,305,"79,514"
"Stafford County",,,"41,252","40,590",570,372,193,146,416,"83,539"
"Staunton City",,,"7,592","5,778",74,65,24,29,64,"13,626"
"Suffolk City",,,"30,597","22,112",177,199,146,121,193,"53,545"
"Surry County",,,"2,176","2,205",15,14,9,10,12,"4,441"
"Sussex County",,,"2,539","2,322",11,8,9,3,8,"4,900"
"Tazewell County",,,"3,030","16,711",35,40,20,22,48,"19,906"
"Virginia Beach City",,,"115,412","109,375",905,"1,134",505,439,"1,001","228,771"
"Warren County",,,"6,910","15,400",96,93,19,43,118,"22,679"
"Washington County",,,"6,772","22,455",45,90,20,30,106,"29,518"
"Waynesboro City",,,"5,240","5,882",33,69,20,30,45,"11,319"
"Westmoreland County",,,"4,491","6,003",26,34,14,13,26,"10,607"
"Williamsburg City",,,"5,613","2,119",46,39,17,17,43,"7,894"
"Winchester City",,,"6,407","5,252",50,65,19,29,72,"11,894"
"Wise County",,,"3,036","13,655",34,32,8,11,36,"16,812"
"Wythe County",,,"3,075","12,267",27,42,13,15,36,"15,475"
"York County",,,"18,296","20,722",163,203,80,76,209,"39,749"
TOTALS,,,"2,335,395","2,075,085","34,888","19,814","8,984","8,410","23,365","4,505,941"
