County/City,,,"William Bill T. Bolling","Jody M. Wagner","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"5,133","3,321",3,"8,457"
"Albemarle County",,,"14,908","16,031",13,"30,952"
"Alexandria City",,,"12,158","22,697",35,"34,890"
"Alleghany County",,,"2,210","2,856",4,"5,070"
"Amelia County",,,"2,794","1,207",1,"4,002"
"Amherst County",,,"5,556","2,733",5,"8,294"
"Appomattox County",,,"3,297","1,205",1,"4,503"
"Arlington County",,,"18,178","37,642",56,"55,876"
"Augusta County",,,"15,705","4,283",5,"19,993"
"Bath County",,,797,975,0,"1,772"
"Bedford County",,,"16,411","5,306",12,"21,729"
"Bedford City",,,941,590,0,"1,531"
"Bland County",,,"1,353",442,0,"1,795"
"Botetourt County",,,"7,592","3,158",18,"10,768"
"Bristol City",,,"2,765",975,2,"3,742"
"Brunswick County",,,"2,019","2,075",1,"4,095"
"Buchanan County",,,"3,128","1,876",1,"5,005"
"Buckingham County",,,"2,171","1,391",2,"3,564"
"Buena Vista City",,,829,490,0,"1,319"
"Campbell County",,,"11,348","3,542",14,"14,904"
"Caroline County",,,"3,556","2,947",4,"6,507"
"Carroll County",,,"5,038","2,029",1,"7,068"
"Charles City County",,,864,"1,261",2,"2,127"
"Charlotte County",,,"2,276","1,128",3,"3,407"
"Charlottesville City",,,"2,460","7,537",9,"10,006"
"Chesapeake City",,,"29,920","22,657",34,"52,611"
"Chesterfield County",,,"57,051","32,347",109,"89,507"
"Clarke County",,,"2,660","1,614",3,"4,277"
"Colonial Heights City",,,"4,001","1,066",1,"5,068"
"Covington City",,,571,872,1,"1,444"
"Craig County",,,"1,066",529,1,"1,596"
"Culpeper County",,,"7,001","3,171",3,"10,175"
"Cumberland County",,,"1,633",980,1,"2,614"
"Danville City",,,"5,777","4,593",8,"10,378"
"Dickenson County",,,"2,153","1,337",5,"3,495"
"Dinwiddie County",,,"4,225","2,749",4,"6,978"
"Emporia City",,,652,595,0,"1,247"
"Essex County",,,"1,597","1,036",1,"2,634"
"Fairfax County",,,"131,168","139,563",223,"270,954"
"Fairfax City",,,"3,134","3,004",1,"6,139"
"Falls Church City",,,"1,382","2,766",1,"4,149"
"Fauquier County",,,"11,919","5,850",10,"17,779"
"Floyd County",,,"2,866","1,555",7,"4,428"
"Fluvanna County",,,"4,554","2,978",2,"7,534"
"Franklin County",,,"9,830","4,978",7,"14,815"
"Franklin City",,,953,"1,241",2,"2,196"
"Frederick County",,,"12,754","4,796",18,"17,568"
"Fredericksburg City",,,"2,200","2,285",7,"4,492"
"Galax City",,,809,488,0,"1,297"
"Giles County",,,"2,772","1,751",3,"4,526"
"Gloucester County",,,"7,609","3,568",14,"11,191"
"Goochland County",,,"5,560","2,598",2,"8,160"
"Grayson County",,,"2,910","1,341",0,"4,251"
"Greene County",,,"3,315","1,470",4,"4,789"
"Greensville County",,,"1,217","1,405",2,"2,624"
"Halifax County",,,"5,411","3,104",8,"8,523"
"Hampton City",,,"12,346","19,349",40,"31,735"
"Hanover County",,,"25,402","9,014",45,"34,461"
"Harrisonburg City",,,"3,796","2,733",12,"6,541"
"Henrico County",,,"47,142","40,308",75,"87,525"
"Henry County",,,"7,832","4,817",5,"12,654"
"Highland County",,,691,417,0,"1,108"
"Hopewell City",,,"2,728","1,837",4,"4,569"
"Isle of Wight County",,,"7,262","4,262",4,"11,528"
"James City County",,,"14,333","8,664",17,"23,014"
"King and Queen County",,,"1,139",834,0,"1,973"
"King George County",,,"3,702","1,662",2,"5,366"
"King William County",,,"3,277","1,429",3,"4,709"
"Lancaster County",,,"2,845","1,758",9,"4,612"
"Lee County",,,"3,720","1,240",0,"4,960"
"Lexington City",,,576,903,3,"1,482"
"Loudoun County",,,"38,156","26,725",62,"64,943"
"Louisa County",,,"5,443","3,210",5,"8,658"
"Lunenburg County",,,"1,979","1,205",3,"3,187"
"Lynchburg City",,,"12,108","7,801",21,"19,930"
"Madison County",,,"2,715","1,369",2,"4,086"
"Manassas City",,,"4,085","2,713",7,"6,805"
"Manassas Park City",,,960,698,0,"1,658"
"Martinsville City",,,"1,518","1,626",4,"3,148"
"Mathews County",,,"2,376","1,138",1,"3,515"
"Mecklenburg County",,,"4,782","2,250",0,"7,032"
"Middlesex County",,,"2,512","1,227",0,"3,739"
"Montgomery County",,,"10,993","9,640",21,"20,654"
"Nelson County",,,"2,568","2,381",2,"4,951"
"New Kent County",,,"4,326","1,686",4,"6,016"
"Newport News City",,,"17,165","19,083",37,"36,285"
"Norfolk City",,,"13,912","24,833",36,"38,781"
"Northampton County",,,"1,793","1,977",2,"3,772"
"Northumberland County",,,"3,027","1,742",3,"4,772"
"Norton City",,,555,356,0,911
"Nottoway County",,,"2,396","1,684",1,"4,081"
"Orange County",,,"5,866","3,242",4,"9,112"
"Page County",,,"4,853","2,443",6,"7,302"
"Patrick County",,,"3,281","1,489",2,"4,772"
"Petersburg City",,,"1,195","5,036",4,"6,235"
"Pittsylvania County",,,"11,434","4,759",0,"16,193"
"Poquoson City",,,"3,470","1,161",8,"4,639"
"Portsmouth City",,,"8,034","13,552",20,"21,606"
"Powhatan County",,,"6,997","2,056",7,"9,060"
"Prince Edward County",,,"2,675","2,187",3,"4,865"
"Prince George County",,,"5,536","2,861",6,"8,403"
"Prince William County",,,"41,615","32,808",63,"74,486"
"Pulaski County",,,"5,449","3,206",2,"8,657"
"Radford City",,,"1,507","1,303",1,"2,811"
"Rappahannock County",,,"1,602","1,254",1,"2,857"
"Richmond County",,,"1,429",775,1,"2,205"
"Richmond City",,,"13,310","31,257",53,"44,620"
"Roanoke County",,,"19,995","10,092",34,"30,121"
"Roanoke City",,,"9,524","10,709",14,"20,247"
"Rockbridge County",,,"3,998","2,723",4,"6,725"
"Rockingham County",,,"16,529","4,439",10,"20,978"
"Russell County",,,"4,722","2,735",6,"7,463"
"Salem City",,,"4,584","2,447",9,"7,040"
"Scott County",,,"4,346","1,111",2,"5,459"
