County/City,,,"William Bill T. Bolling","Jody M. Wagner","All Others","Total Votes Cast"
"Shenandoah County",,,"8,765","3,247",7,"12,019"
"Smyth County",,,"5,403","1,817",3,"7,223"
"Southampton County",,,"2,831","2,052",1,"4,884"
"Spotsylvania County",,,"17,221","8,546",32,"25,799"
"Stafford County",,,"18,300","9,770",24,"28,094"
"Staunton City",,,"3,730","2,448",0,"6,178"
"Suffolk City",,,"10,096","9,092",4,"19,192"
"Surry County",,,"1,073","1,279",5,"2,357"
"Sussex County",,,"1,474","1,378",0,"2,852"
"Tazewell County",,,"7,255","2,675",3,"9,933"
"Virginia Beach City",,,"56,814","41,375",75,"98,264"
"Warren County",,,"5,419","2,666",5,"8,090"
"Washington County",,,"10,331","3,225",9,"13,565"
"Waynesboro City",,,"3,355","1,552",2,"4,909"
"Westmoreland County",,,"2,333","1,747",0,"4,080"
"Williamsburg City",,,"1,497","1,958",2,"3,457"
"Winchester City",,,"3,070","2,135",5,"5,210"
"Wise County",,,"5,460","2,161",4,"7,625"
"Wythe County",,,"5,396","2,307",5,"7,708"
"York County",,,"12,702","6,481",19,"19,202"
TOTALS,,,"1,106,793","850,111","1,569","1,958,473"
