County/City,,,"L Douglas Wilder","John H. Chichester","All Others","Total Votes Cast"
"Emporia City",,,682,809,0,"1,491"
"Essex County",,,"1,044","1,469",0,"2,513"
"Fairfax County",,,"82,634","73,425",4,"156,063"
"Fairfax City",,,"2,405","2,596",0,"5,001"
"Falls Church City",,,"1,766","1,227",0,"2,993"
"Fauquier County",,,"3,753","4,527",1,"8,281"
"Floyd County",,,"1,395","1,588",0,"2,983"
"Fluvanna County",,,"1,180","1,188",1,"2,369"
"Franklin County",,,"4,346","3,106",1,"7,453"
"Franklin City",,,"1,330",826,0,"2,156"
"Frederick County",,,"3,094","3,734",1,"6,829"
"Fredericksburg City",,,"1,710","2,309",0,"4,019"
"Galax City",,,"1,022",844,0,"1,866"
"Giles County",,,"2,512","1,958",0,"4,470"
"Gloucester County",,,"3,072","3,472",0,"6,544"
"Goochland County",,,"2,081","2,159",0,"4,240"
"Grayson County",,,"2,217","2,205",0,"4,422"
"Greene County",,,592,"1,041",1,"1,634"
"Greensville County",,,"1,913","1,201",0,"3,114"
"Halifax County",,,"3,480","3,719",0,"7,199"
"Hampton City",,,"16,526","10,618",0,"27,144"
"Hanover County",,,"5,361","11,687",1,"17,049"
"Harrisonburg City",,,"2,208","2,522",0,"4,730"
"Henrico County",,,"23,373","36,843",22,"60,238"
"Henry County",,,"7,230","6,197",0,"13,427"
"Highland County",,,399,459,0,858
"Hopewell City",,,"2,640","3,416",1,"6,057"
"Isle of Wight County",,,"3,544","2,902",0,"6,446"
"James City County",,,"3,558","3,149",0,"6,707"
"King and Queen County",,,"1,081",772,0,"1,853"
"King George County",,,947,"1,309",0,"2,256"
"King William County",,,"1,398","1,609",0,"3,007"
"Lancaster County",,,"1,383","2,465",0,"3,848"
"Lee County",,,"3,688","2,545",0,"6,233"
"Lexington City",,,895,664,0,"1,559"
"Loudoun County",,,"7,393","7,060",0,"14,453"
"Louisa County",,,"2,566","2,362",1,"4,929"
"Lunenburg County",,,"1,542","1,539",0,"3,081"
"Lynchburg City",,,"8,047","8,783",1,"16,831"
"Madison County",,,"1,376","1,472",0,"2,848"
"Manassas City",,,"1,418","1,699",0,"3,117"
"Manassas Park City",,,415,372,0,787
"Martinsville City",,,"2,879","2,256",0,"5,135"
"Mathews County",,,"1,207","1,437",0,"2,644"
"Mecklenburg County",,,"2,704","3,707",0,"6,411"
"Middlesex County",,,"1,355","1,511",0,"2,866"
"Montgomery County",,,"7,475","5,811",0,"13,286"
"Nelson County",,,"1,874","1,154",1,"3,029"
"New Kent County",,,"1,302","1,574",0,"2,876"
"Newport News City",,,"19,443","14,097",5,"33,545"
"Norfolk City",,,"30,076","15,130",4,"45,210"
"Northampton County",,,"2,154","1,664",0,"3,818"
"Northumberland County",,,"1,255","2,392",0,"3,647"
"Norton City",,,806,479,0,"1,285"
"Nottoway County",,,"1,958","2,262",0,"4,220"
"Orange County",,,"1,918","2,383",1,"4,302"
"Page County",,,"2,159","2,065",0,"4,224"
"Patrick County",,,"2,185","1,820",0,"4,005"
"Petersburg City",,,"7,468","3,705",0,"11,173"
"Pittsylvania County",,,"6,188","8,298",0,"14,486"
"Poquoson City",,,"1,087","1,745",0,"2,832"
"Portsmouth City",,,"17,529","10,255",1,"27,785"
"Powhatan County",,,"1,387","2,333",0,"3,720"
"Prince Edward County",,,"2,507","2,210",0,"4,717"
"Prince George County",,,"2,039","2,883",2,"4,924"
"Prince William County",,,"12,388","11,722",3,"24,113"
"Pulaski County",,,"4,933","3,860",0,"8,793"
"Radford City",,,"1,981","1,305",0,"3,286"
"Rappahannock County",,,845,806,0,"1,651"
"Richmond County",,,660,"1,361",0,"2,021"
"Richmond City",,,"42,605","22,058",8,"64,671"
"Roanoke County",,,"9,995","9,795",0,"19,790"
"Roanoke City",,,"12,720","7,717",1,"20,438"
"Rockbridge County",,,"1,799","1,667",0,"3,466"
"Rockingham County",,,"4,289","5,561",0,"9,850"
"Russell County",,,"4,203","2,773",0,"6,976"
"Salem City",,,"2,878","2,606",0,"5,484"
"Scott County",,,"3,031","3,163",0,"6,194"
"Shenandoah County",,,"3,105","4,216",0,"7,321"
"Smyth County",,,"3,832","4,342",0,"8,174"
"S. Boston City",,,813,"1,157",0,"1,970"
"Southampton County",,,"2,699","2,504",1,"5,204"
"Spotsylvania County",,,"3,133","4,447",0,"7,580"
"Stafford County",,,"3,467","6,676",0,"10,143"
"Staunton City",,,"2,403","3,372",0,"5,775"
"Suffolk City",,,"7,362","5,331",0,"12,693"
"Surry County",,,"1,387",758,0,"2,145"
"Sussex County",,,"1,914","1,420",0,"3,334"
"Tazewell County",,,"4,320","3,517",0,"7,837"
"Virginia Beach City",,,"28,317","31,620",7,"59,944"
"Warren County",,,"2,149","1,971",0,"4,120"
"Washington County",,,"4,676","5,511",0,"10,187"
"Waynesboro City",,,"1,829","2,208",0,"4,037"
"Westmoreland County",,,"1,602","1,893",0,"3,495"
"Williamsburg City",,,"1,247",896,0,"2,143"
"Winchester City",,,"2,155","2,345",0,"4,500"
"Wise County",,,"5,767","3,847",0,"9,614"
"Wythe County",,,"3,157","3,256",0,"6,413"
"York County",,,"4,535","4,685",0,"9,220"
TOTALS,,,"685,329","636,695",89,"1,322,113"
