County/City,,,"L Douglas Wilder","John H. Chichester","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,341","4,458",0,"8,799"
"Albemarle County",,,"6,740","6,656",1,"13,397"
"Alexandria City",,,"14,819","8,579",1,"23,399"
"Alleghany County",,,"1,425","1,350",0,"2,775"
"Amelia County",,,"1,403","1,584",0,"2,987"
"Amherst County",,,"3,858","3,487",0,"7,345"
"Appomattox County",,,"2,375","1,933",0,"4,308"
"Arlington County",,,"25,375","14,701",2,"40,078"
"Augusta County",,,"4,524","6,906",0,"11,430"
"Bath County",,,633,549,0,"1,182"
"Bedford County",,,"4,727","4,723",0,"9,450"
"Bedford City",,,"1,005",795,0,"1,800"
"Bland County",,,762,882,0,"1,644"
"Botetourt County",,,"2,372","2,096",2,"4,470"
"Bristol City",,,"2,299","2,352",0,"4,651"
"Brunswick County",,,"2,594","1,779",0,"4,373"
"Buchanan County",,,"4,094","2,451",0,"6,545"
"Buckingham County",,,"1,826","1,671",0,"3,497"
"Buena Vista City",,,"1,007",645,0,"1,652"
"Campbell County",,,"4,631","5,774",0,"10,405"
"Caroline County",,,"2,554","1,914",0,"4,468"
"Carroll County",,,"2,572","3,250",0,"5,822"
"Charles City County",,,"1,540",387,0,"1,927"
"Charlotte County",,,"1,751","1,730",0,"3,481"
"Charlottesville City",,,"5,285","3,264",2,"8,551"
"Chesapeake City",,,"15,487","12,086",0,"27,573"
"Chesterfield County",,,"15,827","32,186",11,"48,024"
"Clarke County",,,"1,010","1,060",0,"2,070"
"Clifton Forge City",,,666,489,0,"1,155"
"Colonial Heights City",,,"1,381","3,900",0,"5,281"
"Covington City",,,"1,300","1,035",0,"2,335"
"Craig County",,,969,661,0,"1,630"
"Culpeper County",,,"2,137","2,808",0,"4,945"
"Cumberland County",,,"1,225","1,432",0,"2,657"
"Danville City",,,"4,493","6,786",0,"11,279"
"Dickenson County",,,"3,058","2,202",0,"5,260"
"Dinwiddie County",,,"2,897","2,750",1,"5,648"
