County/City,,,"Mark Rankin Herring","Mark Dudley Obenshain","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"3,789","5,184",16,"8,989"
"Albemarle County",,,"19,876","14,679",44,"34,599"
"Alexandria City",,,"30,279","10,423",117,"40,819"
"Alleghany County",,,"1,627","2,395",6,"4,028"
"Amelia County",,,"1,448","2,721",7,"4,176"
"Amherst County",,,"3,008","5,857",8,"8,873"
"Appomattox County",,,"1,301","3,692",12,"5,005"
"Arlington County",,,"49,919","16,694",192,"66,805"
"Augusta County",,,"5,160","14,959",30,"20,149"
"Bath County",,,402,785,2,"1,189"
"Bedford County",,,"6,141","18,631",41,"24,813"
"Bland County",,,432,"1,368",2,"1,802"
"Botetourt County",,,"2,920","8,342",20,"11,282"
"Bristol City",,,"1,205","2,740",9,"3,954"
"Brunswick County",,,"2,677","1,760",3,"4,440"
"Buchanan County",,,"1,529","3,209",5,"4,743"
"Buckingham County",,,"1,813","2,226",4,"4,043"
"Buena Vista City",,,425,803,2,"1,230"
"Campbell County",,,"3,787","11,776",26,"15,589"
"Caroline County",,,"3,973","3,722",29,"7,724"
"Carroll County",,,"2,240","5,466",10,"7,716"
"Charles City County",,,"1,581",927,5,"2,513"
"Charlotte County",,,"1,350","2,296",4,"3,650"
"Charlottesville City",,,"9,797","2,506",26,"12,329"
"Chesapeake City",,,"30,706","31,700",162,"62,568"
"Chesterfield County",,,"46,508","57,099",443,"104,050"
"Clarke County",,,"2,150","2,708",5,"4,863"
"Colonial Heights City",,,"1,310","3,631",17,"4,958"
"Covington City",,,562,674,1,"1,237"
"Craig County",,,425,"1,178",2,"1,605"
"Culpeper County",,,"4,231","7,567",29,"11,827"
"Cumberland County",,,"1,243","1,603",4,"2,850"
"Danville City",,,"5,158","5,182",4,"10,344"
"Dickenson County",,,"1,184","2,213",6,"3,403"
"Dinwiddie County",,,"3,502","3,810",13,"7,325"
"Emporia City",,,945,653,2,"1,600"
"Essex County",,,"1,445","1,618",2,"3,065"
"Fairfax County",,,"184,963","117,425",958,"303,346"
"Fairfax City",,,"4,150","2,948",9,"7,107"
"Falls Church City",,,"3,613","1,281",8,"4,902"
"Fauquier County",,,"7,883","12,936",41,"20,860"
"Floyd County",,,"1,565","2,935",3,"4,503"
"Fluvanna County",,,"3,533","4,241",15,"7,789"
"Franklin County",,,"4,981","11,031",27,"16,039"
"Franklin City",,,"1,343",933,4,"2,280"
"Frederick County",,,"6,859","13,525",30,"20,414"
"Fredericksburg City",,,"3,672","2,297",10,"5,979"
"Galax City",,,446,816,1,"1,263"
"Giles County",,,"1,521","3,330",9,"4,860"
"Gloucester County",,,"3,752","7,338",16,"11,106"
"Goochland County",,,"3,369","5,683",21,"9,073"
"Grayson County",,,"1,476","3,277",0,"4,753"
"Greene County",,,"1,850","3,414",12,"5,276"
"Greensville County",,,"1,723","1,105",3,"2,831"
"Halifax County",,,"3,778","5,779",22,"9,579"
"Hampton City",,,"24,557","11,731",73,"36,361"
"Hanover County",,,"12,621","25,705",173,"38,499"
"Harrisonburg City",,,"4,063","3,877",19,"7,959"
"Henrico County",,,"56,503","45,580",321,"102,404"
"Henry County",,,"4,653","8,487",21,"13,161"
"Highland County",,,288,602,0,890
"Hopewell City",,,"2,530","2,685",15,"5,230"
"Isle of Wight County",,,"4,867","7,134",24,"12,025"
"James City County",,,"11,708","14,952",77,"26,737"
"King and Queen County",,,982,"1,153",1,"2,136"
"King George County",,,"2,462","4,125",16,"6,603"
"King William County",,,"1,878","3,277",19,"5,174"
"Lancaster County",,,"1,895","2,564",14,"4,473"
"Lee County",,,"1,146","3,611",5,"4,762"
"Lexington City",,,941,558,3,"1,502"
"Loudoun County",,,"47,349","41,316",189,"88,854"
"Louisa County",,,"3,907","5,907",21,"9,835"
"Lunenburg County",,,"1,419","1,819",7,"3,245"
"Lynchburg City",,,"8,126","11,448",37,"19,611"
"Madison County",,,"1,624","2,756",5,"4,385"
"Manassas City",,,"4,124","3,997",18,"8,139"
"Manassas Park City",,,"1,178",921,5,"2,104"
"Martinsville City",,,"1,788","1,543",8,"3,339"
"Mathews County",,,"1,205","2,214",2,"3,421"
"Mecklenburg County",,,"2,868","4,411",6,"7,285"
"Middlesex County",,,"1,458","2,376",5,"3,839"
"Montgomery County",,,"11,039","11,978",42,"23,059"
"Nelson County",,,"2,685","2,588",16,"5,289"
"New Kent County",,,"2,412","4,791",34,"7,237"
"Newport News City",,,"25,036","16,694",100,"41,830"
"Norfolk City",,,"31,404","13,716",163,"45,283"
"Northampton County",,,"2,020","1,854",6,"3,880"
"Northumberland County",,,"2,101","3,033",10,"5,144"
"Norton City",,,335,524,2,861
"Nottoway County",,,"1,830","2,096",8,"3,934"
"Orange County",,,"3,929","5,954",29,"9,912"
"Page County",,,"1,942","4,095",8,"6,045"
"Patrick County",,,"1,412","3,548",4,"4,964"
"Petersburg City",,,"7,219",953,15,"8,187"
"Pittsylvania County",,,"5,627","12,411",23,"18,061"
"Poquoson City",,,"1,130","3,216",20,"4,366"
"Portsmouth City",,,"17,655","7,784",77,"25,516"
"Powhatan County",,,"2,693","7,356",29,"10,078"
"Prince Edward County",,,"2,680","2,453",11,"5,144"
"Prince George County",,,"3,816","5,375",33,"9,224"
"Prince William County",,,"52,109","44,163",179,"96,451"
"Pulaski County",,,"2,709","5,298",10,"8,017"
"Radford City",,,"1,401","1,500",4,"2,905"
"Rappahannock County",,,"1,325","1,572",8,"2,905"
"Richmond County",,,836,"1,393",6,"2,235"
"Richmond City",,,"44,684","12,678",154,"57,516"
"Roanoke County",,,"10,122","20,550",71,"30,743"
"Roanoke City",,,"11,931","9,462",78,"21,471"
"Rockbridge County",,,"2,546","4,046",10,"6,602"
"Rockingham County",,,"5,426","16,562",71,"22,059"
"Russell County",,,"1,857","4,124",7,"5,988"
"Salem City",,,"2,437","4,652",19,"7,108"
"Scott County",,,"1,084","4,185",5,"5,274"
"Shenandoah County",,,"3,555","7,918",27,"11,500"
"Smyth County",,,"2,113","5,338",9,"7,460"
"Southampton County",,,"2,307","2,737",1,"5,045"
"Spotsylvania County",,,"13,002","18,298",68,"31,368"
"Stafford County",,,"14,460","19,232",76,"33,768"
"Staunton City",,,"3,004","3,345",14,"6,363"
"Suffolk City",,,"12,887","10,825",32,"23,744"
"Surry County",,,"1,559","1,076",7,"2,642"
"Sussex County",,,"1,816","1,373",1,"3,190"
"Tazewell County",,,"2,474","7,268",7,"9,749"
"Virginia Beach City",,,"49,209","57,260",203,"106,672"
"Warren County",,,"3,484","6,087",20,"9,591"
"Washington County",,,"3,767","10,547",16,"14,330"
"Waynesboro City",,,"2,029","2,900",7,"4,936"
"Westmoreland County",,,"2,128","2,181",9,"4,318"
"Williamsburg City",,,"2,770","1,508",18,"4,296"
"Winchester City",,,"2,748","2,918",11,"5,677"
"Wise County",,,"2,080","6,092",17,"8,189"
"Wythe County",,,"2,226","5,408",21,"7,655"
"York County",,,"8,062","12,857",63,"20,982"
TOTALS,,,"1,103,777","1,103,612","5,462","2,212,851"
