County/City,,,"J. H. Webb, Jr","G. F. Allen","G. G. Parker","All Others","Total Votes Cast"
,,,Democratic,Republican,"Independent Greens"
"Rappahannock County",,,"1,741","1,593",34,4,"3,372"
"Richmond County",,,940,"1,578",25,2,"2,545"
"Richmond City",,,"38,527","14,478",681,83,"53,769"
"Roanoke County",,,"14,745","21,520",435,29,"36,729"
"Roanoke City",,,"14,816","10,768",315,24,"25,923"
"Rockbridge County",,,"3,202","4,005",91,9,"7,307"
"Rockingham County",,,"6,917","16,525",251,15,"23,708"
"Russell County",,,"4,364","4,193",34,2,"8,593"
"Salem City",,,"3,648","5,007",98,11,"8,764"
"Scott County",,,"2,785","4,527",40,2,"7,354"
"Shenandoah County",,,"4,867","8,753",205,14,"13,839"
"Smyth County",,,"3,540","5,692",72,2,"9,306"
"Southampton County",,,"2,569","2,805",60,3,"5,437"
"Spotsylvania County",,,"13,208","17,938",396,25,"31,567"
"Stafford County",,,"13,982","17,885",526,55,"32,448"
"Staunton City",,,"3,526","3,858",86,4,"7,474"
"Suffolk City",,,"11,810","11,638",226,18,"23,692"
"Surry County",,,"1,534","1,162",26,0,"2,722"
"Sussex County",,,"1,623","1,504",52,2,"3,181"
"Tazewell County",,,"5,194","6,614",91,1,"11,900"
"Virginia Beach City",,,"57,657","64,852","1,397",144,"124,050"
"Warren County",,,"4,362","5,684",113,5,"10,164"
"Washington County",,,"6,499","10,815",130,4,"17,448"
"Waynesboro City",,,"2,546","3,374",70,5,"5,995"
"Westmoreland County",,,"2,421","2,405",68,4,"4,898"
"Williamsburg City",,,"2,066","1,375",38,2,"3,481"
"Winchester City",,,"3,230","3,351",73,7,"6,661"
"Wise County",,,"4,558","5,224",62,2,"9,846"
"Wythe County",,,"3,199","5,690",145,9,"9,043"
"York County",,,"9,370","13,222",244,29,"22,865"
TOTALS,,,"1,175,606","1,166,277","26,102","2,460","2,370,445"
