County/City,Ward,Pct,"Richard J. Davis","Nathan H. Miller","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"3,753","3,646",0,"7,399"
"Albemarle County",,,"6,957","6,630",23,"13,610"
"Alexandria City",,,"15,836","9,441",5,"25,282"
"Alleghany County",,,"2,422","1,520",1,"3,943"
"Amelia County",,,"1,513","1,331",1,"2,845"
"Amherst County",,,"3,131","3,358",0,"6,489"
"Appomattox County",,,"2,023","1,459",0,"3,482"
"Arlington County",,,"27,768","17,382",26,"45,176"
"Augusta County",,,"6,076","7,590",3,"13,669"
"Bath County",,,756,706,0,"1,462"
"Bedford County",,,"4,686","4,421",2,"9,109"
"Bedford City",,,"1,115",800,0,"1,915"
"Bland County",,,921,958,1,"1,880"
"Botetourt County",,,"3,625","2,962",0,"6,587"
"Bristol City",,,"2,231","1,828",1,"4,060"
"Brunswick County",,,"2,448","1,630",1,"4,079"
"Buchanan County",,,"4,797","2,594",0,"7,391"
"Buckingham County",,,"2,188","1,076",4,"3,268"
"Buena Vista City",,,963,620,0,"1,583"
"Campbell County",,,"4,332","5,987",1,"10,320"
"Caroline County",,,"2,583","1,302",0,"3,885"
"Carroll County",,,"2,888","3,976",0,"6,864"
"Charles City County",,,"1,355",329,2,"1,686"
"Charlotte County",,,"1,720","1,669",38,"3,427"
"Charlottesville City",,,"6,001","3,662",34,"9,697"
"Chesapeake City",,,"17,206","8,890",2,"26,098"
"Chesterfield County",,,"19,109","23,367",7,"42,483"
"Clarke County",,,"1,143","1,263",1,"2,407"
"Clifton Forge City",,,"1,008",505,2,"1,515"
"Colonial Heights City",,,"2,326","3,247",1,"5,574"
"Covington City",,,"1,810",876,0,"2,686"
"Craig County",,,887,577,0,"1,464"
"Culpeper County",,,"2,287","3,141",0,"5,428"
"Cumberland County",,,"1,237","1,049",0,"2,286"
"Danville City",,,"5,277","8,875",15,"14,167"
"Dickenson County",,,"3,850","2,504",1,"6,355"
"Dinwiddie County",,,"3,220","2,113",0,"5,333"
"Emporia City",,,773,649,0,"1,422"
"Essex County",,,"1,173","1,167",0,"2,340"
"Fairfax County",,,"86,307","73,558",30,"159,895"
"Fairfax City",,,"2,987","2,802",1,"5,790"
"Falls Church City",,,"1,910","1,544",0,"3,454"
"Fauquier County",,,"3,570","4,357",0,"7,927"
"Floyd County",,,"1,482","1,770",1,"3,253"
"Fluvanna County",,,"1,195","1,066",4,"2,265"
"Franklin County",,,"5,635","3,010",10,"8,655"
"Franklin City",,,"1,194",646,0,"1,840"
"Frederick County",,,"3,346","4,500",2,"7,848"
"Fredericksburg City",,,"2,103","1,718",0,"3,821"
"Galax City",,,972,841,0,"1,813"
"Giles County",,,"2,972","2,159",0,"5,131"
"Gloucester County",,,"3,140","2,986",3,"6,129"
"Goochland County",,,"2,316","1,573",0,"3,889"
"Grayson County",,,"2,518","2,544",0,"5,062"
"Greene County",,,745,986,0,"1,731"
"Greensville County",,,"1,674","1,142",0,"2,816"
"Halifax County",,,"3,056","3,590",156,"6,802"
"Hampton City",,,"16,812","10,099",6,"26,917"
"Hanover County",,,"7,189","8,767",1,"15,957"
"Harrisonburg City",,,"2,238","2,274",9,"4,521"
"Henrico County",,,"28,787","31,570",24,"60,381"
"Henry County",,,"7,041","5,049",1,"12,091"
"Highland County",,,485,623,1,"1,109"
"Hopewell City",,,"3,118","3,085",0,"6,203"
"Isle of Wight County",,,"3,836","2,393",0,"6,229"
"James City County",,,"3,288","2,762",1,"6,051"
"King and Queen County",,,"1,036",612,0,"1,648"
"King George County",,,"1,161","1,142",0,"2,303"
"King William County",,,"1,564","1,303",1,"2,868"
"Lancaster County",,,"1,485","1,997",0,"3,482"
"Lee County",,,"4,205","2,870",0,"7,075"
"Lexington City",,,977,679,1,"1,657"
"Loudoun County",,,"6,888","7,542",2,"14,432"
"Louisa County",,,"2,569","1,898",27,"4,494"
"Lunenburg County",,,"1,818","1,374",3,"3,195"
"Lynchburg City",,,"7,901","10,109",13,"18,023"
"Madison County",,,"1,324","1,641",1,"2,966"
"Manassas City",,,"1,646","1,673",0,"3,319"
"Manassas Park City",,,427,383,0,810
"Martinsville City",,,"3,016","2,265",4,"5,285"
"Mathews County",,,"1,499","1,467",0,"2,966"
"Mecklenburg County",,,"3,148","3,173",1,"6,322"
"Middlesex County",,,"1,395","1,249",0,"2,644"
"Montgomery County",,,"7,281","5,948",1,"13,230"
"Nelson County",,,"2,040","1,338",0,"3,378"
"New Kent County",,,"1,326","1,073",0,"2,399"
"Newport News City",,,"19,563","13,649",14,"33,226"
"Norfolk City",,,"33,914","14,356",8,"48,278"
"Northampton County",,,"2,210","1,401",0,"3,611"
"Northumberland County",,,"1,524","1,886",0,"3,410"
"Norton City",,,678,338,0,"1,016"
"Nottoway County",,,"2,501","2,050",4,"4,555"
"Orange County",,,"2,390","2,303",1,"4,694"
"Page County",,,"2,449","2,944",1,"5,394"
"Patrick County",,,"2,612","1,768",1,"4,381"
"Petersburg City",,,"7,012","3,446",0,"10,458"
"Pittsylvania County",,,"5,852","8,402",0,"14,254"
"Poquoson City",,,"1,060","1,567",0,"2,627"
"Portsmouth City",,,"20,522","5,995",7,"26,524"
"Powhatan County",,,"1,782","1,803",1,"3,586"
"Prince Edward County",,,"2,296","1,929",9,"4,234"
"Prince George County",,,"2,330","2,219",1,"4,550"
"Prince William County",,,"13,212","11,828",2,"25,042"
"Pulaski County",,,"5,000","3,968",0,"8,968"
"Radford City",,,"2,076","1,432",0,"3,508"
"Rappahannock County",,,887,820,0,"1,707"
"Richmond County",,,"1,049","1,034",1,"2,084"
"Richmond City",,,"43,847","21,550",42,"65,439"
"Roanoke County",,,"12,267","11,265",4,"23,536"
"Roanoke City",,,"16,373","9,517",7,"25,897"
"Rockbridge County",,,"2,419","2,003",4,"4,426"
"Rockingham County",,,"6,322","7,830",12,"14,164"
"Russell County",,,"4,634","3,040",0,"7,674"
"Salem City",,,"3,792","3,118",1,"6,911"
"Scott County",,,"3,141","3,347",0,"6,488"
"Shenandoah County",,,"3,362","5,317",0,"8,679"
"Smyth County",,,"4,476","4,102",0,"8,578"
"S. Boston City",,,766,"1,000",14,"1,780"
"Southampton County",,,"2,859","1,866",0,"4,725"
"Spotsylvania County",,,"3,885","3,321",0,"7,206"
"Stafford County",,,"4,228","5,151",0,"9,379"
"Staunton City",,,"3,140","2,984",0,"6,124"
"Suffolk City",,,"8,375","3,989",2,"12,366"
"Surry County",,,"1,525",689,0,"2,214"
"Sussex County",,,"2,089","1,102",0,"3,191"
"Tazewell County",,,"5,684","4,158",0,"9,842"
"Virginia Beach City",,,"30,084","23,048",7,"53,139"
"Warren County",,,"2,709","2,532",0,"5,241"
"Washington County",,,"5,348","5,274",0,"10,622"
"Waynesboro City",,,"1,953","2,738",0,"4,691"
"Westmoreland County",,,"2,200","1,585",0,"3,785"
"Williamsburg City",,,"1,263",885,1,"2,149"
"Winchester City",,,"2,399","2,627",1,"5,027"
"Wise County",,,"6,322","3,584",0,"9,906"
"Wythe County",,,"3,699","3,412",0,"7,111"
"York County",,,"4,647","4,292",0,"8,939"
TOTALS,,,"750,743","602,714",621,"1,354,078"
