County/City,,,"G. F. Allen","C. S. Robb","All Others","Total Votes Cast"
"Essex County",,,"2,004","1,774",0,"3,778"
"Fairfax County",,,"196,827","213,311",337,"410,475"
"Fairfax City",,,"4,677","4,777",8,"9,462"
"Falls Church City",,,"1,988","3,528",16,"5,532"
"Fauquier County",,,"14,457","8,932",13,"23,402"
"Floyd County",,,"3,606","2,154",1,"5,761"
"Fluvanna County",,,"4,991","3,605",0,"8,596"
"Franklin County",,,"11,568","6,953",1,"18,522"
"Franklin City",,,"1,363","1,871",2,"3,236"
"Frederick County",,,"14,766","7,320",2,"22,088"
"Fredericksburg City",,,"2,809","3,889",13,"6,711"
"Galax City",,,"1,162",986,0,"2,148"
"Giles County",,,"3,687","3,027",3,"6,717"
"Gloucester County",,,"8,216","5,274",0,"13,490"
"Goochland County",,,"5,321","3,411",0,"8,732"
"Grayson County",,,"4,164","2,478",0,"6,642"
"Greene County",,,"3,386","1,989",0,"5,375"
"Greensville County",,,"1,606","2,244",0,"3,850"
"Halifax County",,,"7,514","6,263",0,"13,777"
"Hampton City",,,"19,149","28,892",64,"48,105"
"Hanover County",,,"28,077","13,209",9,"41,295"
"Harrisonburg City",,,"5,735","4,144",24,"9,903"
"Henrico County",,,"62,143","52,580",98,"114,821"
"Henry County",,,"11,895","8,959",2,"20,856"
"Highland County",,,952,499,1,"1,452"
"Hopewell City",,,"3,832","2,927",0,"6,759"
"Isle of Wight County",,,"7,318","5,782",15,"13,115"
"James City County",,,"13,379","11,088",21,"24,488"
"King and Queen County",,,"1,494","1,338",0,"2,832"
"King George County",,,"3,473","2,397",10,"5,880"
"King William County",,,"3,629","2,211",6,"5,846"
"Lancaster County",,,"3,323","2,156",3,"5,482"
"Lee County",,,"4,678","3,651",0,"8,329"
"Lexington City",,,901,"1,177",0,"2,078"
"Loudoun County",,,"43,009","31,862",108,"74,979"
"Louisa County",,,"5,688","4,320",2,"10,010"
"Lunenburg County",,,"2,552","2,095",0,"4,647"
"Lynchburg City",,,"12,421","11,147",36,"23,604"
"Madison County",,,"3,010","1,943",1,"4,954"
"Manassas City",,,"6,866","5,233",1,"12,100"
"Manassas Park City",,,"1,497","1,029",1,"2,527"
"Martinsville City",,,"2,693","3,009",8,"5,710"
"Mathews County",,,"2,844","1,738",0,"4,582"
"Mecklenburg County",,,"6,642","4,709",0,"11,351"
"Middlesex County",,,"2,777","1,841",0,"4,618"
"Montgomery County",,,"13,774","12,964",3,"26,741"
"Nelson County",,,"3,110","3,068",4,"6,182"
"New Kent County",,,"3,929","2,238",4,"6,171"
"Newport News City",,,"26,099","31,830",69,"57,998"
"Norfolk City",,,"21,717","40,753",43,"62,513"
"Northampton County",,,"2,121","2,688",0,"4,809"
"Northumberland County",,,"3,439","2,209",3,"5,651"
"Norton City",,,741,785,1,"1,527"
"Nottoway County",,,"2,912","2,592",0,"5,504"
"Orange County",,,"6,052","4,363",0,"10,415"
"Page County",,,"5,360","2,821",8,"8,189"
"Patrick County",,,"4,597","2,357",3,"6,957"
"Petersburg City",,,"2,423","8,255",1,"10,679"
"Pittsylvania County",,,"15,357","8,079",0,"23,436"
"Poquoson City",,,"3,920","1,909",10,"5,839"
"Portsmouth City",,,"12,571","23,208",45,"35,824"
"Powhatan County",,,"6,767","2,888",1,"9,656"
"Prince Edward County",,,"3,236","3,305",0,"6,541"
"Prince George County",,,"6,687","4,290",11,"10,988"
"Prince William County",,,"52,783","45,023",19,"97,825"
"Pulaski County",,,"7,270","5,432",1,"12,703"
"Radford City",,,"2,146","2,240",0,"4,386"
"Rappahannock County",,,"1,936","1,576",3,"3,515"
"Richmond County",,,"1,774","1,080",0,"2,854"
"Richmond City",,,"20,211","44,966",16,"65,193"
"Roanoke County",,,"25,082","17,292",10,"42,384"
"Roanoke City",,,"14,696","18,165",4,"32,865"
"Rockbridge County",,,"4,581","3,217",0,"7,798"
"Rockingham County",,,"17,475","6,481",3,"23,959"
"Russell County",,,"5,348","5,316",1,"10,665"
"Salem City",,,"6,011","4,631",4,"10,646"
"Scott County",,,"5,662","3,331",1,"8,994"
"Shenandoah County",,,"9,800","4,703",22,"14,525"
"Smyth County",,,"6,858","4,532",0,"11,390"
"Southampton County",,,"3,285","3,569",7,"6,861"
"Spotsylvania County",,,"20,308","14,510",44,"34,862"
"Stafford County",,,"20,163","13,908",46,"34,117"
"Staunton City",,,"4,642","3,740",7,"8,389"
"Suffolk City",,,"11,535","12,744",8,"24,287"
"Surry County",,,"1,322","1,863",0,"3,185"
"Sussex County",,,"1,774","2,225",0,"3,999"
"Tazewell County",,,"8,602","6,941",0,"15,543"
"Virginia Beach City",,,"80,946","69,132",119,"150,197"
"Warren County",,,"6,645","4,347",1,"10,993"
"Washington County",,,"12,315","7,278",2,"19,595"
"Waynesboro City",,,"4,070","2,920",3,"6,993"
"Westmoreland County",,,"2,970","3,078",1,"6,049"
"Williamsburg City",,,"1,587","2,064",0,"3,651"
"Winchester City",,,"4,265","3,490",1,"7,756"
"Wise County",,,"6,770","6,192",0,"12,962"
"Wythe County",,,"6,704","3,674",16,"10,394"
"York County",,,"14,207","10,374",36,"24,617"
TOTALS,,,"1,420,460","1,296,093","1,748","2,718,301"
