County/City,,,"G. F. Allen","C. S. Robb","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"6,027","5,396",0,"11,423"
"Albemarle County",,,"17,503","18,807",31,"36,341"
"Alexandria City",,,"18,624","36,107",115,"54,846"
"Alleghany County",,,"2,855","2,297",0,"5,152"
"Amelia County",,,"3,076","1,661",0,"4,737"
"Amherst County",,,"6,661","4,888",2,"11,551"
"Appomattox County",,,"3,639","2,304",0,"5,943"
"Arlington County",,,"27,871","54,651",40,"82,562"
"Augusta County",,,"17,269","7,639",2,"24,910"
"Bath County",,,"1,366",787,0,"2,153"
"Bedford County",,,"16,868","8,415",1,"25,284"
"Bedford City",,,"1,218","1,161",0,"2,379"
"Bland County",,,"1,759",840,0,"2,599"
"Botetourt County",,,"8,830","4,960",1,"13,791"
"Bristol City",,,"3,706","2,528",5,"6,239"
"Brunswick County",,,"2,660","3,502",16,"6,178"
"Buchanan County",,,"3,928","5,619",0,"9,547"
"Buckingham County",,,"2,815","2,560",1,"5,376"
"Buena Vista City",,,"1,024",931,0,"1,955"
"Campbell County",,,"12,897","7,069",0,"19,966"
"Caroline County",,,"3,936","4,285",0,"8,221"
"Carroll County",,,"6,919","3,754",0,"10,673"
"Charles City County",,,"1,054","1,983",0,"3,037"
"Charlotte County",,,"2,955","2,087",0,"5,042"
"Charlottesville City",,,"4,012","9,177",17,"13,206"
"Chesapeake City",,,"38,833","36,120",41,"74,994"
"Chesterfield County",,,"69,712","41,524",74,"111,310"
"Clarke County",,,"2,921","2,275",0,"5,196"
"Clifton Forge City",,,616,894,0,"1,510"
"Colonial Heights City",,,"5,521","2,334",10,"7,865"
"Covington City",,,995,"1,203",0,"2,198"
"Craig County",,,"1,611",873,1,"2,485"
"Culpeper County",,,"7,605","4,416",3,"12,024"
"Cumberland County",,,"2,003","1,483",0,"3,486"
"Danville City",,,"9,152","8,365",1,"17,518"
"Dickenson County",,,"3,308","3,815",0,"7,123"
"Dinwiddie County",,,"5,081","3,957",0,"9,038"
"Emporia City",,,986,"1,068",0,"2,054"
