County/City,,,"J. H. Hager","L. F. Payne, Jr","B. E. Evans","All Others","Total Votes Cast"
,,,Republican,Democratic,Reform
"Accomack County",,,"3,943","2,354",520,0,"6,817"
"Albemarle County",,,"10,077","12,892",667,15,"23,651"
"Alexandria City",,,"9,636","16,689","1,385",43,"27,753"
"Alleghany County",,,"1,896","1,873",239,0,"4,008"
"Amelia County",,,"1,755","1,135",158,0,"3,048"
"Amherst County",,,"3,081","4,737",227,1,"8,046"
"Appomattox County",,,"1,501","2,321",136,0,"3,958"
"Arlington County",,,"16,700","29,243","1,729",39,"47,711"
"Augusta County",,,"11,536","4,199",462,1,"16,198"
"Bath County",,,663,671,90,0,"1,424"
"Bedford County",,,"8,712","6,966",565,2,"16,245"
"Bedford City",,,650,936,42,0,"1,628"
"Bland County",,,"1,009",606,114,0,"1,729"
"Botetourt County",,,"5,446","3,708",281,0,"9,435"
"Bristol City",,,"1,782","1,486",199,2,"3,469"
"Brunswick County",,,"1,516","2,323",300,0,"4,139"
"Buchanan County",,,"2,461","3,206",275,1,"5,943"
"Buckingham County",,,"1,160","2,029",203,0,"3,392"
"Buena Vista City",,,728,690,30,0,"1,448"
"Campbell County",,,"6,877","6,729",393,1,"14,000"
"Caroline County",,,"2,151","2,863",282,0,"5,296"
"Carroll County",,,"3,661","2,686",348,0,"6,695"
"Charles City County",,,599,"1,313",121,0,"2,033"
"Charlotte County",,,"1,574","1,759",164,0,"3,497"
"Charlottesville City",,,"2,474","5,895",239,74,"8,682"
"Chesapeake City",,,"22,465","17,890","2,452",559,"43,366"
"Chesterfield County",,,"41,964","22,739","2,410","1,069","68,182"
"Clarke County",,,"1,578","1,239",168,0,"2,985"
"Clifton Forge City",,,491,724,61,0,"1,276"
"Colonial Heights City",,,"4,058","1,673",186,9,"5,926"
"Covington City",,,727,954,70,1,"1,752"
"Craig County",,,902,925,79,0,"1,906"
"Culpeper County",,,"4,394","2,867",286,1,"7,548"
"Cumberland County",,,"1,183","1,113",97,0,"2,393"
"Danville City",,,"5,171","6,464",270,1,"11,906"
"Dickenson County",,,"1,984","2,278",274,0,"4,536"
"Dinwiddie County",,,"3,015","2,441",416,0,"5,872"
"Emporia City",,,754,563,89,0,"1,406"
"Essex County",,,"1,238","1,202",129,0,"2,569"
"Fairfax County",,,"117,440","110,834","8,280",126,"236,680"
"Fairfax City",,,"3,060","2,845",272,3,"6,180"
"Falls Church City",,,"1,311","2,413",134,2,"3,860"
"Fauquier County",,,"8,127","4,812",643,16,"13,598"
"Floyd County",,,"1,882","1,453",147,0,"3,482"
"Fluvanna County",,,"2,739","2,273",149,0,"5,161"
"Franklin County",,,"4,620","6,972",422,0,"12,014"
"Franklin City",,,"1,036","1,050",158,0,"2,244"
"Frederick County",,,"8,500","3,754",782,0,"13,036"
"Fredericksburg City",,,"1,712","2,282",179,13,"4,186"
"Galax City",,,690,692,38,0,"1,420"
"Giles County",,,"2,278","1,994",211,1,"4,484"
"Gloucester County",,,"4,927","2,941",603,0,"8,471"
"Goochland County",,,"3,405","2,543",252,0,"6,200"
"Grayson County",,,"2,218","1,878",311,0,"4,407"
"Greene County",,,"1,886","1,082",120,2,"3,090"
"Greensville County",,,961,"1,551",125,0,"2,637"
"Halifax County",,,"4,468","4,138",398,0,"9,004"
"Hampton City",,,"13,682","15,449","1,850",47,"31,028"
"Hanover County",,,"17,135","8,340",953,2,"26,430"
"Harrisonburg City",,,"3,629","2,104",254,4,"5,991"
"Henrico County",,,"42,116","31,095","2,353","1,079","76,643"
"Henry County",,,"5,860","8,118",430,0,"14,408"
"Highland County",,,579,323,42,0,944
"Hopewell City",,,"2,629","1,678",180,1,"4,488"
"Isle of Wight County",,,"4,113","3,369",456,11,"7,949"
"James City County",,,"7,760","6,000",775,37,"14,572"
"King and Queen County",,,810,993,160,0,"1,963"
"King George County",,,"1,773","1,579",167,3,"3,522"
"King William County",,,"2,028","1,439",175,2,"3,644"
"Lancaster County",,,"2,318","1,396",166,2,"3,882"
"Lee County",,,"3,333","2,542",725,0,"6,600"
"Lexington City",,,569,876,36,0,"1,481"
"Loudoun County",,,"18,201","12,638","1,874",55,"32,768"
"Louisa County",,,"3,203","2,988",398,1,"6,590"
"Lunenburg County",,,"1,378","2,244",89,0,"3,711"
"Lynchburg City",,,"7,472","9,466",266,11,"17,215"
"Madison County",,,"1,873","1,364",202,0,"3,439"
"Manassas City",,,"3,943","2,591",195,0,"6,729"
"Manassas Park City",,,642,330,57,0,"1,029"
"Martinsville City",,,"1,492","3,082",82,1,"4,657"
"Mathews County",,,"1,868","1,189",254,0,"3,311"
"Mecklenburg County",,,"2,736","3,673",371,0,"6,780"
"Middlesex County",,,"1,981","1,220",269,0,"3,470"
"Montgomery County",,,"8,084","8,570",640,2,"17,296"
"Nelson County",,,"1,169","2,951",135,0,"4,255"
"New Kent County",,,"2,368","1,747",229,76,"4,420"
"Newport News City",,,"17,279","16,505","2,330",4,"36,118"
"Norfolk City",,,"14,683","23,973","2,277",460,"41,393"
"Northampton County",,,"1,603","1,593",191,0,"3,387"
"Northumberland County",,,"2,063","1,345",213,7,"3,628"
"Norton City",,,555,658,122,1,"1,336"
"Nottoway County",,,"1,902","1,850",127,0,"3,879"
"Orange County",,,"3,585","2,600",250,0,"6,435"
"Page County",,,"3,087","1,794",167,10,"5,058"
"Patrick County",,,"1,662","2,546",163,0,"4,371"
"Petersburg City",,,"2,133","5,185",424,0,"7,742"
"Pittsylvania County",,,"7,293","7,560",418,2,"15,273"
"Poquoson City",,,"2,220","1,123",200,4,"3,547"
"Portsmouth City",,,"8,540","12,976","2,925",37,"24,478"
"Powhatan County",,,"3,868","1,590",244,0,"5,702"
"Prince Edward County",,,"1,878","2,586",158,0,"4,622"
"Prince George County",,,"3,817","2,589",250,6,"6,662"
"Prince William County",,,"29,214","18,343","1,772",14,"49,343"
"Pulaski County",,,"4,672","3,647",353,0,"8,672"
"Radford City",,,"1,232","1,514",124,0,"2,870"
"Rappahannock County",,,"1,149",948,112,0,"2,209"
"Richmond County",,,916,741,130,0,"1,787"
"Richmond City",,,"16,588","28,098","2,060",11,"46,757"
"Roanoke County",,,"15,443","12,577",868,3,"28,891"
"Roanoke City",,,"9,518","12,683","1,075",3,"23,279"
"Rockbridge County",,,"2,787","2,320",149,1,"5,257"
"Rockingham County",,,"11,537","3,864",586,1,"15,988"
"Russell County",,,"3,242","3,602",315,0,"7,159"
