County/City,,,"J. H. Hager","L. F. Payne, Jr","B. E. Evans","All Others","Total Votes Cast"
"Salem City",,,"3,719","3,376",258,0,"7,353"
"Scott County",,,"3,722","1,991",256,0,"5,969"
"Shenandoah County",,,"6,513","2,824",453,6,"9,796"
"Smyth County",,,"4,535","3,315",810,0,"8,660"
"Southampton County",,,"2,028","1,925",389,0,"4,342"
"Spotsylvania County",,,"9,132","7,353",837,1,"17,323"
"Stafford County",,,"9,691","7,506",945,34,"18,176"
"Staunton City",,,"3,694","2,128",153,0,"5,975"
"Suffolk City",,,"7,188","6,524",998,5,"14,715"
"Surry County",,,818,"1,182",135,0,"2,135"
"Sussex County",,,"1,227","1,381",184,0,"2,792"
"Tazewell County",,,"4,767","4,391",445,3,"9,606"
"Virginia Beach City",,,"46,858","32,107","5,091","1,224","85,280"
"Warren County",,,"3,940","2,533",188,4,"6,665"
"Washington County",,,"6,880","4,576",503,1,"11,960"
"Waynesboro City",,,"2,910","1,768",168,0,"4,846"
"Westmoreland County",,,"1,903","1,774",205,0,"3,882"
"Williamsburg City",,,"1,160","1,352",76,0,"2,588"
"Winchester City",,,"2,745","1,851",277,1,"4,874"
"Wise County",,,"4,296","4,196",329,0,"8,821"
"Wythe County",,,"3,556","3,030",316,14,"6,916"
"York County",,,"8,631","5,269",842,25,"14,767"
TOTALS,,,"839,895","754,404","75,024","5,198","1,674,521"
