County/City,,,"John W. Warner","Edythe C. Harrison","All Others","Total Votes Cast"
"Hopewell City",,,"5,784","1,740",0,"7,524"
"Isle of Wight County",,,"6,203","2,504",0,"8,707"
"James City County",,,"7,182","2,873",0,"10,055"
"King and Queen County",,,"1,623",795,0,"2,418"
"King George County",,,"2,725",863,0,"3,588"
"King William County",,,"2,990",907,0,"3,897"
"Lancaster County",,,"3,452","1,210",0,"4,662"
"Lee County",,,"5,703","3,621",0,"9,324"
"Lexington City",,,"1,341",691,0,"2,032"
"Loudoun County",,,"18,680","5,985",0,"24,665"
"Louisa County",,,"4,096","1,731",1,"5,828"
"Lunenburg County",,,"2,808","1,095",0,"3,903"
"Lynchburg City (CD 5)",,,"4,761","1,016",0,"5,777"
"Lynchburg City (CD 6)",,,"13,536","5,995",1,"19,532"
"Madison County",,,"2,809",962,4,"3,775"
"Manassas City (CD 7)",,,"4,779","1,382",1,"6,162"
"Manassas County (CD 8)",,,11,3,0,14
"Manassas Park City",,,982,301,0,"1,283"
"Martinsville City",,,"4,306","2,212",2,"6,520"
"Mathews County",,,"2,846",779,0,"3,625"
"Mecklenburg County",,,"6,788","2,298",1,"9,087"
"Middlesex County",,,"2,638",907,1,"3,546"
"Montgomery County",,,"13,054","5,535",0,"18,589"
"Nelson County",,,"3,192","1,373",1,"4,566"
"New Kent County",,,"2,799",948,1,"3,748"
"Newport News City",,,"34,754","16,477",0,"51,231"
"Norfolk City",,,"38,676","34,029",15,"72,720"
"Northampton County",,,"2,954","1,787",0,"4,741"
"Northumberland County",,,"3,212","1,033",0,"4,245"
"Norton City",,,847,691,0,"1,538"
"Nottoway County",,,"3,657","1,527",0,"5,184"
"Orange County",,,"4,673","1,648",0,"6,321"
"Page County",,,"5,307","1,557",0,"6,864"
"Patrick County",,,"4,218","1,252",0,"5,470"
"Petersburg City",,,"6,906","6,788",1,"13,695"
"Pittsylvania County",,,"15,553","5,765",1,"21,319"
"Poquoson City",,,"3,645",539,0,"4,184"
"Portsmouth City",,,"21,324","16,466",0,"37,790"
"Powhatan County",,,"3,778","1,055",0,"4,833"
"Prince Edward County",,,"3,695","1,956",0,"5,651"
"Prince George County",,,"5,229","1,534",2,"6,765"
"Prince William County (CD 7)",,,"9,216","2,483",1,"11,700"
"Prince William County (CD 8)",,,"27,121","8,903",1,"36,025"
"Pulaski County",,,"8,293","3,627",0,"11,920"
"Radford City",,,"3,013","1,228",0,"4,241"
"Rappahannock County",,,"1,849",781,2,"2,632"
"Richmond County",,,"1,993",494,0,"2,487"
"Richmond City",,,"46,638","33,657",5,"80,300"
"Roanoke County",,,"25,239","7,017",1,"32,257"
"Roanoke City",,,"21,253","11,879",0,"33,132"
"Rockbridge County",,,"4,300","1,466",0,"5,766"
"Rockingham County",,,"13,846","2,952",0,"16,798"
"Russell County",,,"6,064","5,632",0,"11,696"
"Salem City",,,"6,811","2,252",0,"9,063"
"Scott County",,,"5,779","2,873",0,"8,652"
"Shenandoah County",,,"9,440","1,734",1,"11,175"
"Smyth County",,,"8,567","3,136",0,"11,703"
"S. Boston City",,,"2,014",517,0,"2,531"
"Southampton County",,,"5,002","1,911",0,"6,913"
"Spotsylvania County",,,"8,917","2,522",0,"11,439"
"Stafford County (CD 7)",,,"6,267","1,450",0,"7,717"
"Stafford County (CD 8)",,,"5,039","1,282",0,"6,321"
"Staunton City",,,"6,306","1,372",0,"7,678"
"Suffolk City",,,"10,841","6,414",0,"17,255"
"Surry County",,,"1,654","1,342",0,"2,996"
"Sussex County",,,"2,416","1,622",0,"4,038"
"Tazewell County",,,"9,632","6,336",0,"15,968"
"Virginia Beach City",,,"72,981","22,330",17,"95,328"
"Warren County",,,"5,329","1,828",0,"7,157"
"Washington County",,,"12,199","3,971",0,"16,170"
"Waynesboro City",,,"4,681","1,077",0,"5,758"
"Westmoreland County",,,"3,442","1,747",0,"5,189"
"Williamsburg City",,,"2,037","1,183",0,"3,220"
"Winchester City",,,"5,399","1,287",1,"6,687"
"Wise County",,,"8,059","6,407",0,"14,466"
"Wythe County",,,"6,738","2,377",0,"9,115"
"York County",,,"10,529","3,037",0,"13,566"
TOTALS,,,"1,406,194","601,142",151,"2,007,487"
