County/City,,,"John W. Warner","Edythe C. Harrison","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"8,466","2,932",0,"11,398"
"Albemarle County",,,"15,606","5,818",0,"21,424"
"Alexandria City",,,"23,452","18,435",7,"41,894"
"Alleghany County",,,"3,297","1,451",0,"4,748"
"Amelia County",,,"2,472",982,0,"3,454"
"Amherst County",,,"7,407","2,279",0,"9,686"
"Appomattox County",,,"3,450","1,053",1,"4,504"
"Arlington County",,,"39,174","30,819",6,"69,999"
"Augusta County",,,"15,597","2,698",1,"18,296"
"Bath County",,,"1,595",490,0,"2,085"
"Bedford County",,,"10,978","3,446",2,"14,426"
"Bedford City",,,"1,636",697,0,"2,333"
"Bland County",,,"1,850",647,0,"2,497"
"Botetourt County",,,"6,217","2,506",0,"8,723"
"Bristol City",,,"5,267","1,279",0,"6,546"
"Brunswick County",,,"3,337","1,957",0,"5,294"
"Buchanan County",,,"5,293","6,681",0,"11,974"
"Buckingham County",,,"2,970","1,070",0,"4,040"
"Buena Vista City",,,"1,363",521,0,"1,884"
"Campbell County",,,"13,509","3,290",1,"16,800"
"Caroline County",,,"3,340","2,174",1,"5,515"
"Carroll County",,,"7,022","2,187",0,"9,209"
"Charles City County",,,936,"1,374",0,"2,310"
"Charlotte County",,,"3,239","1,130",0,"4,369"
"Charlottesville City",,,"8,163","5,545",6,"13,714"
"Chesapeake City",,,"27,699","14,423",1,"42,123"
"Chesterfield County (CD 3)",,,"53,927","10,051",8,"63,986"
"Chesterfield County (CD 4)",,,"2,098",789,0,"2,887"
"Clarke County",,,"2,796",716,0,"3,512"
"Clifton Forge City",,,"1,057",611,0,"1,668"
"Colonial Heights City",,,"6,460",915,1,"7,376"
"Covington City",,,"1,799","1,044",1,"2,844"
"Craig County",,,"1,251",695,0,"1,946"
"Culpeper County",,,"5,756","1,443",0,"7,199"
"Cumberland County",,,"2,045","1,000",0,"3,045"
"Danville City",,,"12,372","3,639",1,"16,012"
"Dickenson County",,,"4,332","3,462",0,"7,794"
"Dinwiddie County",,,"4,996","2,406",0,"7,402"
"Emporia City",,,"1,363",506,0,"1,869"
"Essex County",,,"2,245",845,0,"3,090"
"Fairfax City",,,"6,651","2,476",1,"9,128"
"Fairfax County (CD 010)",,,"98,961","43,908",17,"142,886"
"Fairfax County (CD 8)",,,"96,225","38,891",9,"135,125"
"Falls Church City",,,"3,117","1,719",0,"4,836"
"Fauquier County",,,"10,753","2,810",1,"13,564"
"Floyd County",,,"3,430","1,284",0,"4,714"
"Fluvanna County",,,"2,527",820,0,"3,347"
"Franklin County",,,"8,334","2,955",0,"11,289"
"Franklin City",,,"1,791",809,0,"2,600"
"Frederick County",,,"9,896","1,763",1,"11,660"
"Fredericksburg City",,,"3,994","1,559",2,"5,555"
"Galax City",,,"1,572",618,0,"2,190"
"Giles County",,,"4,369","2,127",0,"6,496"
"Gloucester County",,,"7,086","2,240",0,"9,326"
"Goochland County",,,"3,442","1,762",0,"5,204"
"Grayson County",,,"4,484","1,856",0,"6,340"
"Greene County",,,"2,190",553,0,"2,743"
"Greensville County",,,"2,523","1,540",0,"4,063"
"Halifax County",,,"6,828","2,613",0,"9,441"
"Hampton City",,,"25,802","14,972",5,"40,779"
"Hanover County",,,"18,765","3,723",7,"22,495"
"Harrisonburg City",,,"5,599","1,694",2,"7,295"
"Henrico County",,,"65,830","16,967",8,"82,805"
"Henry County",,,"12,762","5,153",0,"17,915"
"Highland County",,,991,368,0,"1,359"
