County/City,,,"Mark Rankin Herring","John Donley Adams","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,521","6,003",5,"10,529"
"Albemarle County",,,"26,594","15,439",26,"42,059"
"Alexandria City",,,"40,306","11,463",54,"51,823"
"Alleghany County",,,"1,487","2,886",3,"4,376"
"Amelia County",,,"1,391","3,190",3,"4,584"
"Amherst County",,,"3,232","6,462",14,"9,708"
"Appomattox County",,,"1,219","3,929",4,"5,152"
"Arlington County",,,"67,190","17,383",89,"84,662"
"Augusta County",,,"5,911","17,536",13,"23,460"
"Bath County",,,449,"1,009",2,"1,460"
"Bedford County",,,"6,804","20,800",26,"27,630"
"Bland County",,,387,"1,666",2,"2,055"
"Botetourt County",,,"3,332","9,095",15,"12,442"
"Bristol City",,,"1,191","3,040",3,"4,234"
"Brunswick County",,,"2,698","2,011",0,"4,709"
"Buchanan County",,,"1,106","3,314",4,"4,424"
"Buckingham County",,,"1,913","2,663",3,"4,579"
"Buena Vista City",,,537,"1,068",2,"1,607"
"Campbell County",,,"4,364","12,879",14,"17,257"
"Caroline County",,,"4,082","4,234",7,"8,323"
"Carroll County",,,"1,867","6,350",5,"8,222"
"Charles City County",,,"1,683","1,020",3,"2,706"
"Charlotte County",,,"1,416","2,565",7,"3,988"
"Charlottesville City",,,"13,725","2,498",21,"16,244"
"Chesapeake City",,,"37,506","34,486",60,"72,052"
"Chesterfield County",,,"57,559","60,616",96,"118,271"
"Clarke County",,,"2,409","3,122",6,"5,537"
"Colonial Heights City",,,"1,419","3,700",3,"5,122"
"Covington City",,,543,788,2,"1,333"
"Craig County",,,430,"1,401",0,"1,831"
"Culpeper County",,,"4,938","8,553",16,"13,507"
"Cumberland County",,,"1,258","1,856",3,"3,117"
"Danville City",,,"6,208","4,685",10,"10,903"
"Dickenson County",,,958,"2,446",5,"3,409"
"Dinwiddie County",,,"3,680","4,602",5,"8,287"
"Emporia City",,,913,708,1,"1,622"
"Essex County",,,"1,700","1,997",2,"3,699"
"Fairfax County",,,"251,486","122,291",402,"374,179"
"Fairfax City",,,"5,303","2,911",8,"8,222"
"Falls Church City",,,"4,653","1,307",8,"5,968"
"Fauquier County",,,"9,329","14,615",38,"23,982"
"Floyd County",,,"1,922","3,531",4,"5,457"
"Fluvanna County",,,"4,243","4,935",4,"9,182"
"Franklin County",,,"5,230","12,179",18,"17,427"
"Franklin City",,,"1,533","1,015",1,"2,549"
"Frederick County",,,"8,374","15,830",19,"24,223"
"Fredericksburg City",,,"4,584","2,549",8,"7,141"
"Galax City",,,401,933,7,"1,341"
"Giles County",,,"1,648","4,097",2,"5,747"
"Gloucester County",,,"4,134","8,418",6,"12,558"
"Goochland County",,,"3,788","6,712",8,"10,508"
"Grayson County",,,"1,052","3,440",5,"4,497"
"Greene County",,,"2,283","3,977",2,"6,262"
"Greensville County",,,"1,651","1,219",1,"2,871"
"Halifax County",,,"4,023","6,270",5,"10,298"
"Hampton City",,,"28,499","11,583",50,"40,132"
"Hanover County",,,"14,365","28,590",65,"43,020"
"Harrisonburg City",,,"6,430","3,769",15,"10,214"
"Henrico County",,,"68,787","45,756",114,"114,657"
"Henry County",,,"4,870","9,073",5,"13,948"
"Highland County",,,334,699,1,"1,034"
"Hopewell City",,,"2,682","2,721",16,"5,419"
"Isle of Wight County",,,"5,758","8,289",14,"14,061"
"James City County",,,"14,944","16,648",29,"31,621"
"King and Queen County",,,"1,024","1,438",2,"2,464"
"King George County",,,"2,611","4,499",7,"7,117"
"King William County",,,"1,991","3,945",7,"5,943"
"Lancaster County",,,"2,010","2,757",4,"4,771"
"Lee County",,,"1,336","5,235",7,"6,578"
"Lexington City",,,"1,129",606,2,"1,737"
"Loudoun County",,,"69,514","47,220",90,"116,824"
"Louisa County",,,"4,424","7,305",10,"11,739"
"Lunenburg County",,,"1,467","2,159",3,"3,629"
"Lynchburg City",,,"9,822","11,248",24,"21,094"
"Madison County",,,"1,756","3,126",6,"4,888"
"Manassas City",,,"5,255","3,999",6,"9,260"
"Manassas Park City",,,"1,947","1,112",2,"3,061"
"Martinsville City",,,"2,179","1,505",5,"3,689"
"Mathews County",,,"1,330","2,583",5,"3,918"
"Mecklenburg County",,,"3,348","5,172",0,"8,520"
"Middlesex County",,,"1,567","2,725",4,"4,296"
"Montgomery County",,,"14,870","13,057",19,"27,946"
"Nelson County",,,"3,023","3,081",7,"6,111"
"New Kent County",,,"2,637","5,868",13,"8,518"
"Newport News City",,,"29,760","16,779",58,"46,597"
"Norfolk City",,,"38,430","14,763",68,"53,261"
"Northampton County",,,"2,297","2,011",3,"4,311"
"Northumberland County",,,"1,983","3,326",3,"5,312"
"Norton City",,,281,567,1,849
"Nottoway County",,,"1,774","2,452",3,"4,229"
"Orange County",,,"4,095","6,754",8,"10,857"
"Page County",,,"1,806","4,829",6,"6,641"
"Patrick County",,,"1,283","4,277",7,"5,567"
