County/City,,,"Mark Rankin Herring","John Donley Adams","All Others","Total Votes Cast"
"Petersburg City",,,"7,097",995,10,"8,102"
"Pittsylvania County",,,"5,727","13,708",10,"19,445"
"Poquoson City",,,"1,261","3,531",8,"4,800"
"Portsmouth City",,,"19,884","8,550",38,"28,472"
"Powhatan County",,,"3,017","8,443",6,"11,466"
"Prince Edward County",,,"2,831","2,767",11,"5,609"
"Prince George County",,,"4,099","6,128",10,"10,237"
"Prince William County",,,"73,909","48,172",166,"122,247"
"Pulaski County",,,"3,590","8,042",15,"11,647"
"Radford City",,,"2,142","1,747",8,"3,897"
"Rappahannock County",,,"1,498","1,762",4,"3,264"
"Richmond County",,,856,"1,503",0,"2,359"
"Richmond City",,,"57,170","13,518",76,"70,764"
"Roanoke County",,,"12,182","20,904",53,"33,139"
"Roanoke City",,,"14,934","9,169",18,"24,121"
"Rockbridge County",,,"2,907","4,946",6,"7,859"
"Rockingham County",,,"6,943","18,138",17,"25,098"
"Russell County",,,"1,483","5,160",7,"6,650"
"Salem City",,,"3,061","5,058",6,"8,125"
"Scott County",,,"1,096","4,972",9,"6,077"
"Shenandoah County",,,"3,914","9,258",12,"13,184"
"Smyth County",,,"1,718","6,149",2,"7,869"
"Southampton County",,,"2,517","3,603",4,"6,124"
"Spotsylvania County",,,"15,713","20,869",37,"36,619"
"Stafford County",,,"18,705","21,684",38,"40,427"
"Staunton City",,,"3,990","3,522",11,"7,523"
"Suffolk City",,,"16,344","11,988",16,"28,348"
"Surry County",,,"1,637","1,307",3,"2,947"
"Sussex County",,,"1,797","1,437",0,"3,234"
"Tazewell County",,,"1,890","8,087",17,"9,994"
"Virginia Beach City",,,"63,787","63,334",126,"127,247"
"Warren County",,,"3,567","6,726",12,"10,305"
"Washington County",,,"3,937","12,334",14,"16,285"
"Waynesboro City",,,"2,615","3,211",4,"5,830"
"Westmoreland County",,,"2,427","2,879",4,"5,310"
"Williamsburg City",,,"3,689","1,549",4,"5,242"
"Winchester City",,,"3,543","3,039",6,"6,588"
"Wise County",,,"1,886","6,607",9,"8,502"
"Wythe County",,,"2,146","6,280",11,"8,437"
"York County",,,"9,700","13,246",37,"22,983"
TOTALS,,,"1,385,390","1,209,540","2,614","2,597,544"
