County/City,,,"Ralph Shearer Northam","Earl Walker Jackson, Sr.","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"5,136","3,938",5,"9,079"
"Albemarle County",,,"20,570","13,737",69,"34,376"
"Alexandria City",,,"31,047","9,163",304,"40,514"
"Alleghany County",,,"2,261","1,766",10,"4,037"
"Amelia County",,,"1,679","2,470",4,"4,153"
"Amherst County",,,"3,795","4,981",19,"8,795"
"Appomattox County",,,"1,757","3,192",16,"4,965"
"Arlington County",,,"51,115","14,843",406,"66,364"
"Augusta County",,,"5,717","14,054",43,"19,814"
"Bath County",,,546,639,2,"1,187"
"Bedford County",,,"7,931","16,669",45,"24,645"
"Bland County",,,524,"1,251",6,"1,781"
"Botetourt County",,,"4,006","7,160",37,"11,203"
"Bristol City",,,"1,297","2,595",8,"3,900"
"Brunswick County",,,"3,025","1,414",4,"4,443"
"Buchanan County",,,"1,588","3,084",6,"4,678"
"Buckingham County",,,"2,084","1,934",10,"4,028"
"Buena Vista City",,,562,657,2,"1,221"
"Campbell County",,,"5,134","10,268",38,"15,440"
"Caroline County",,,"4,373","3,278",39,"7,690"
"Carroll County",,,"2,757","4,885",14,"7,656"
"Charles City County",,,"1,683",805,8,"2,496"
"Charlotte County",,,"1,662","1,947",8,"3,617"
"Charlottesville City",,,"9,929","2,273",53,"12,255"
"Chesapeake City",,,"34,043","28,370",158,"62,571"
"Chesterfield County",,,"54,135","48,339",728,"103,202"
"Clarke County",,,"2,266","2,573",8,"4,847"
"Colonial Heights City",,,"1,943","2,929",20,"4,892"
"Covington City",,,757,471,3,"1,231"
"Craig County",,,606,982,4,"1,592"
"Culpeper County",,,"4,606","7,172",32,"11,810"
"Cumberland County",,,"1,463","1,370",6,"2,839"
"Danville City",,,"5,585","4,566",10,"10,161"
"Dickenson County",,,"1,264","2,077",5,"3,346"
"Dinwiddie County",,,"4,091","3,205",19,"7,315"
"Emporia City",,,"1,070",504,2,"1,576"
"Essex County",,,"1,669","1,372",3,"3,044"
"Fairfax County",,,"192,855","108,222","1,437","302,514"
"Fairfax City",,,"4,355","2,661",27,"7,043"
"Falls Church City",,,"3,695","1,159",20,"4,874"
"Fauquier County",,,"8,468","12,267",51,"20,786"
"Floyd County",,,"1,959","2,516",8,"4,483"
"Fluvanna County",,,"3,699","4,034",15,"7,748"
"Franklin County",,,"6,513","9,360",35,"15,908"
"Franklin City",,,"1,526",752,6,"2,284"
"Frederick County",,,"7,328","12,890",52,"20,270"
"Fredericksburg City",,,"3,844","2,107",20,"5,971"
"Galax City",,,544,706,3,"1,253"
"Giles County",,,"2,106","2,658",7,"4,771"
"Gloucester County",,,"4,738","6,343",15,"11,096"
"Goochland County",,,"4,262","4,669",54,"8,985"
"Grayson County",,,"1,709","2,962",0,"4,671"
"Greene County",,,"1,905","3,301",19,"5,225"
"Greensville County",,,"1,943",879,3,"2,825"
"Halifax County",,,"4,722","4,764",20,"9,506"
"Hampton City",,,"25,828","10,497",90,"36,415"
"Hanover County",,,"15,820","22,143",251,"38,214"
"Harrisonburg City",,,"4,349","3,499",31,"7,879"
"Henrico County",,,"64,209","36,761",779,"101,749"
"Henry County",,,"5,709","7,321",26,"13,056"
"Highland County",,,369,506,0,875
"Hopewell City",,,"3,015","2,163",16,"5,194"
"Isle of Wight County",,,"5,721","6,303",31,"12,055"
"James City County",,,"13,450","13,168",72,"26,690"
"King and Queen County",,,"1,166",983,3,"2,152"
"King George County",,,"2,667","3,897",16,"6,580"
"King William County",,,"2,274","2,861",22,"5,157"
"Lancaster County",,,"2,358","2,084",16,"4,458"
"Lee County",,,"1,229","3,459",6,"4,694"
"Lexington City",,,"1,058",428,5,"1,491"
"Loudoun County",,,"48,164","40,062",267,"88,493"
"Louisa County",,,"4,473","5,333",22,"9,828"
"Lunenburg County",,,"1,708","1,536",8,"3,252"
"Lynchburg City",,,"9,187","10,296",49,"19,532"
"Madison County",,,"1,692","2,644",8,"4,344"
"Manassas City",,,"4,278","3,819",21,"8,118"
"Manassas Park City",,,"1,212",873,4,"2,089"
"Martinsville City",,,"1,970","1,335",13,"3,318"
"Mathews County",,,"1,706","1,755",4,"3,465"
"Mecklenburg County",,,"3,242","4,045",7,"7,294"
"Middlesex County",,,"1,923","1,891",5,"3,819"
"Montgomery County",,,"12,767","10,084",61,"22,912"
"Nelson County",,,"2,971","2,270",17,"5,258"
"New Kent County",,,"2,954","4,223",44,"7,221"
"Newport News City",,,"26,732","15,027",78,"41,837"
"Norfolk City",,,"34,515","10,394",154,"45,063"
"Northampton County",,,"2,783","1,171",6,"3,960"
"Northumberland County",,,"2,600","2,518",25,"5,143"
"Norton City",,,355,489,4,848
"Nottoway County",,,"2,188","1,731",8,"3,927"
"Orange County",,,"4,242","5,590",27,"9,859"
"Page County",,,"2,284","3,664",12,"5,960"
"Patrick County",,,"1,580","3,343",4,"4,927"
"Petersburg City",,,"7,296",879,15,"8,190"
"Pittsylvania County",,,"6,922","10,973",36,"17,931"
"Poquoson City",,,"1,469","2,899",11,"4,379"
"Portsmouth City",,,"18,850","6,697",70,"25,617"
"Powhatan County",,,"3,620","6,335",56,"10,011"
"Prince Edward County",,,"3,024","2,084",12,"5,120"
"Prince George County",,,"4,443","4,704",34,"9,181"
"Prince William County",,,"54,009","41,913",278,"96,200"
"Pulaski County",,,"3,437","4,509",19,"7,965"
"Radford City",,,"1,634","1,240",11,"2,885"
"Rappahannock County",,,"1,433","1,442",10,"2,885"
"Richmond County",,,"1,092","1,142",3,"2,237"
"Richmond City",,,"46,897","10,056",308,"57,261"
"Roanoke County",,,"12,978","17,487",100,"30,565"
"Roanoke City",,,"13,402","7,770",113,"21,285"
"Rockbridge County",,,"3,293","3,267",13,"6,573"
"Rockingham County",,,"6,166","15,501",100,"21,767"
"Russell County",,,"1,990","3,897",10,"5,897"
"Salem City",,,"3,158","3,842",29,"7,029"
"Scott County",,,"1,157","4,012",7,"5,176"
"Shenandoah County",,,"4,124","7,236",24,"11,384"
"Smyth County",,,"2,400","4,908",21,"7,329"
"Southampton County",,,"2,716","2,325",4,"5,045"
"Spotsylvania County",,,"13,868","17,410",83,"31,361"
"Stafford County",,,"15,513","18,106",127,"33,746"
"Staunton City",,,"3,268","3,012",19,"6,299"
"Suffolk City",,,"14,037","9,699",35,"23,771"
"Surry County",,,"1,644",998,6,"2,648"
"Sussex County",,,"2,073","1,094",9,"3,176"
"Tazewell County",,,"2,559","7,179",14,"9,752"
"Virginia Beach City",,,"57,485","47,715",257,"105,457"
"Warren County",,,"3,789","5,712",29,"9,530"
"Washington County",,,"4,104","10,028",18,"14,150"
"Waynesboro City",,,"2,139","2,700",12,"4,851"
"Westmoreland County",,,"2,320","2,001",8,"4,329"
"Williamsburg City",,,"2,970","1,313",22,"4,305"
"Winchester City",,,"2,929","2,668",22,"5,619"
"Wise County",,,"2,296","5,699",24,"8,019"
"Wythe County",,,"2,794","4,795",29,"7,618"
"York County",,,"9,262","11,661",69,"20,992"
TOTALS,,,"1,213,155","980,257","8,225","2,201,637"
