County/City,Ward,Pct,"Mary Sue Terry","W. R. O'Brien","All Others","Total Votes Cast"
"Northampton County",,,"2,541","1,334",0,"3,875"
"Northumberland County",,,"1,797","1,635",0,"3,432"
"Norton City",,,877,402,0,"1,279"
"Nottoway County",,,"2,335","1,855",0,"4,190"
"Orange County",,,"2,481","1,825",0,"4,306"
"Page County",,,"2,233","2,025",0,"4,258"
"Patrick County",,,"2,852","1,648",0,"4,500"
"Petersburg City",,,"8,209","2,785",0,"10,994"
"Pittsylvania County",,,"8,168","6,627",0,"14,795"
"Poquoson City",,,"1,384","1,476",0,"2,860"
"Portsmouth City",,,"19,229","8,525",0,"27,754"
"Powhatan County",,,"1,952","1,783",0,"3,735"
"Prince Edward County",,,"2,972","1,772",4,"4,748"
"Prince George County",,,"2,897","2,034",0,"4,931"
"Prince William County",,,"14,811","9,353",1,"24,165"
"Pulaski County",,,"5,799","3,072",0,"8,871"
"Radford City",,,"2,344",967,0,"3,311"
"Rappahannock County",,,"1,011",649,1,"1,661"
"Richmond County",,,"1,122",754,0,"1,876"
"Richmond City",,,"46,578","16,782",7,"63,367"
"Roanoke County",,,"13,249","6,717",1,"19,967"
"Roanoke City",,,"15,071","5,431",0,"20,502"
"Rockbridge County",,,"2,159","1,337",0,"3,496"
"Rockingham County",,,"4,582","5,275",0,"9,857"
"Russell County",,,"4,439","2,590",0,"7,029"
"Salem City",,,"3,650","1,858",0,"5,508"
"Scott County",,,"3,350","2,925",0,"6,275"
"Shenandoah County",,,"3,270","4,107",0,"7,377"
"Smyth County",,,"4,807","3,473",0,"8,280"
"S. Boston City",,,951,"1,024",0,"1,975"
"Southampton County",,,"3,484","1,750",0,"5,234"
"Spotsylvania County",,,"4,574","2,999",0,"7,573"
"Stafford County",,,"5,631","4,362",0,"9,993"
"Staunton City",,,"3,089","2,637",0,"5,726"
"Suffolk City",,,"8,630","4,051",0,"12,681"
"Surry County",,,"1,514",614,0,"2,128"
"Sussex County",,,"2,309","1,036",0,"3,345"
"Tazewell County",,,"4,463","3,371",1,"7,835"
"Virginia Beach City",,,"32,469","28,707",6,"61,182"
"Warren County",,,"2,454","1,640",0,"4,094"
"Washington County",,,"6,119","4,230",0,"10,349"
"Waynesboro City",,,"2,329","1,704",0,"4,033"
"Westmoreland County",,,"2,099","1,262",0,"3,361"
"Williamsburg City",,,"1,373",780,0,"2,153"
"Winchester City",,,"2,709","1,823",2,"4,534"
"Wise County",,,"6,043","3,634",0,"9,677"
"Wythe County",,,"3,930","2,710",0,"6,640"
"York County",,,"5,331","3,908",0,"9,239"
TOTALS,,,"814,808","512,169",67,"1,327,144"
