County/City,,,"Gerald L. Baliles","Wyatt B. Durrette, Jr","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,476","4,596",0,"9,072"
"Albemarle County",,,"7,528","6,096",1,"13,625"
"Alexandria City",,,"15,506","8,304",3,"23,813"
"Alleghany County",,,"1,791","1,111",0,"2,902"
"Amelia County",,,"1,522","1,490",0,"3,012"
"Amherst County",,,"4,001","3,438",0,"7,439"
"Appomattox County",,,"2,623","1,872",0,"4,495"
"Arlington County",,,"26,436","14,124",7,"40,567"
"Augusta County",,,"4,936","6,771",0,"11,707"
"Bath County",,,685,502,0,"1,187"
"Bedford County",,,"5,070","4,692",1,"9,763"
"Bedford City",,,"1,171",797,0,"1,968"
"Bland County",,,874,816,0,"1,690"
"Botetourt County",,,"2,528","2,051",1,"4,580"
"Bristol City",,,"2,734","2,082",0,"4,816"
"Brunswick County",,,"2,760","1,639",0,"4,399"
"Buchanan County",,,"4,390","2,277",0,"6,667"
"Buckingham County",,,"2,075","1,542",0,"3,617"
"Buena Vista City",,,"1,041",708,0,"1,749"
"Campbell County",,,"4,932","5,808",0,"10,740"
"Caroline County",,,"2,836","1,583",0,"4,419"
"Carroll County",,,"2,687","3,276",0,"5,963"
"Charles City County",,,"1,487",432,0,"1,919"
"Charlotte County",,,"1,923","1,627",0,"3,550"
"Charlottesville City",,,"5,715","2,941",1,"8,657"
"Chesapeake City",,,"16,495","11,364",1,"27,860"
"Chesterfield County",,,"18,850","29,540",16,"48,406"
"Clarke County",,,"1,166",948,0,"2,114"
"Clifton Forge City",,,815,399,0,"1,214"
"Colonial Heights City",,,"1,950","3,437",1,"5,388"
"Covington City",,,"1,625",792,0,"2,417"
"Craig County",,,909,737,0,"1,646"
"Culpeper County",,,"2,455","2,619",0,"5,074"
"Cumberland County",,,"1,355","1,380",0,"2,735"
"Danville City",,,"4,718","6,548",1,"11,267"
"Dickenson County",,,"3,325","2,054",0,"5,379"
"Dinwiddie County",,,"3,310","2,372",1,"5,683"
"Emporia City",,,779,748,0,"1,527"
"Essex County",,,"1,224","1,270",0,"2,494"
"Fairfax County",,,"87,542","70,656",8,"158,206"
"Fairfax City",,,"2,577","2,538",0,"5,115"
"Falls Church City",,,"1,816","1,206",1,"3,023"
"Fauquier County",,,"4,175","4,168",2,"8,345"
"Floyd County",,,"1,522","1,566",0,"3,088"
"Fluvanna County",,,"1,260","1,109",0,"2,369"
"Franklin County",,,"4,826","2,950",1,"7,777"
"Franklin City",,,"1,307",893,0,"2,200"
"Frederick County",,,"3,475","3,455",0,"6,930"
"Fredericksburg City",,,"2,186","1,827",1,"4,014"
"Galax City",,,"1,087",854,0,"1,941"
"Giles County",,,"2,650","1,944",0,"4,594"
"Gloucester County",,,"3,418","3,394",0,"6,812"
"Goochland County",,,"2,224","2,072",0,"4,296"
"Grayson County",,,"2,448","2,121",0,"4,569"
"Greene County",,,700,"1,000",1,"1,701"
"Greensville County",,,"1,997","1,171",0,"3,168"
"Halifax County",,,"3,778","3,670",0,"7,448"
"Hampton City",,,"16,634","10,671",1,"27,306"
"Hanover County",,,"6,535","10,726",5,"17,266"
"Harrisonburg City",,,"2,298","2,553",1,"4,852"
"Henrico County",,,"27,424","33,218",32,"60,674"
"Henry County",,,"9,184","5,437",0,"14,621"
"Highland County",,,437,425,0,862
"Hopewell City",,,"2,999","3,173",1,"6,173"
"Isle of Wight County",,,"3,761","2,817",0,"6,578"
"James City County",,,"3,621","3,193",0,"6,814"
"King and Queen County",,,"1,138",730,0,"1,868"
"King George County",,,"1,271",984,0,"2,255"
"King William County",,,"1,532","1,494",0,"3,026"
"Lancaster County",,,"1,708","2,159",0,"3,867"
"Lee County",,,"3,984","2,398",0,"6,382"
"Lexington City",,,883,726,0,"1,609"
"Loudoun County",,,"7,925","6,802",1,"14,728"
"Louisa County",,,"2,856","2,104",2,"4,962"
"Lunenburg County",,,"1,804","1,369",0,"3,173"
"Lynchburg City",,,"8,389","8,784",0,"17,173"
"Madison County",,,"1,538","1,385",0,"2,923"
"Manassas City",,,"1,534","1,626",0,"3,160"
"Manassas Park City",,,457,379,0,836
"Martinsville City",,,"3,220","2,068",0,"5,288"
"Mathews County",,,"1,298","1,460",0,"2,758"
"Mecklenburg County",,,"3,195","3,365",0,"6,560"
"Middlesex County",,,"1,500","1,421",0,"2,921"
"Montgomery County",,,"7,702","5,801",1,"13,504"
"Nelson County",,,"2,043","1,043",0,"3,086"
"New Kent County",,,"1,436","1,447",0,"2,883"
"Newport News City",,,"19,429","14,433",7,"33,869"
"Norfolk City",,,"30,857","14,652",8,"45,517"
"Northampton County",,,"2,375","1,539",0,"3,914"
"Northumberland County",,,"1,657","2,015",0,"3,672"
"Norton City",,,945,401,0,"1,346"
"Nottoway County",,,"2,269","1,993",0,"4,262"
"Orange County",,,"2,243","2,117",0,"4,360"
"Page County",,,"2,330","2,037",0,"4,367"
"Patrick County",,,"3,249","1,364",0,"4,613"
"Petersburg City",,,"7,556","3,604",0,"11,160"
"Pittsylvania County",,,"6,886","8,014",0,"14,900"
"Poquoson City",,,"1,154","1,750",0,"2,904"
"Portsmouth City",,,"19,098","9,059",3,"28,160"
"Powhatan County",,,"1,498","2,273",0,"3,771"
"Prince Edward County",,,"2,736","2,140",2,"4,878"
"Prince George County",,,"2,400","2,568",0,"4,968"
"Prince William County",,,"13,499","10,909",4,"24,412"
"Pulaski County",,,"5,380","3,626",0,"9,006"
"Radford City",,,"1,977","1,363",0,"3,340"
"Rappahannock County",,,930,743,0,"1,673"
"Richmond County",,,929,"1,084",0,"2,013"
"Richmond City",,,"42,953","20,904",22,"63,879"
"Roanoke County",,,"10,710","9,332",1,"20,043"
"Roanoke City",,,"13,380","7,272",2,"20,654"
"Rockbridge County",,,"1,878","1,672",2,"3,552"
"Rockingham County",,,"4,229","5,904",0,"10,133"
"Russell County",,,"4,622","2,541",0,"7,163"
"Salem City",,,"3,082","2,493",1,"5,576"
"Scott County",,,"3,453","2,909",0,"6,362"
"Shenandoah County",,,"3,138","4,305",0,"7,443"
"Smyth County",,,"4,426","3,996",0,"8,422"
"S. Boston City",,,890,"1,121",0,"2,011"
"Southampton County",,,"2,721","2,557",0,"5,278"
"Spotsylvania County",,,"4,146","3,446",0,"7,592"
"Stafford County",,,"5,078","4,980",2,"10,060"
"Staunton City",,,"2,729","3,299",0,"6,028"
"Suffolk City",,,"7,937","5,037",0,"12,974"
"Surry County",,,"1,405",742,0,"2,147"
"Sussex County",,,"2,066","1,311",0,"3,377"
"Tazewell County",,,"4,722","3,285",0,"8,007"
"Virginia Beach City",,,"29,967","31,144",5,"61,116"
"Warren County",,,"2,327","1,811",0,"4,138"
"Washington County",,,"5,691","4,936",0,"10,627"
"Waynesboro City",,,"2,217","1,945",0,"4,162"
"Westmoreland County",,,"1,972","1,484",0,"3,456"
"Williamsburg City",,,"1,284",905,0,"2,189"
"Winchester City",,,"2,443","2,137",0,"4,580"
"Wise County",,,"6,445","3,384",0,"9,829"
"Wythe County",,,"3,597","3,186",0,"6,783"
"York County",,,"4,536","4,795",2,"9,333"
TOTALS,,,"741,438","601,652",153,"1,343,243"
