County/City,,,"T. M. Kaine","J. K. Katzen","G. A. Reams","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",,,"3,151","3,553",252,0,"6,956"
"Albemarle County",,,"13,472","11,607",882,12,"25,973"
"Alexandria City",,,"22,990","10,944",384,21,"34,339"
"Alleghany County",,,"2,492","2,075",150,0,"4,717"
"Amelia County",,,"1,572","1,852",46,0,"3,470"
"Amherst County",,,"3,594","4,382",81,0,"8,057"
"Appomattox County",,,"1,826","2,100",124,0,"4,050"
"Arlington County",,,"35,342","16,257",815,16,"52,430"
"Augusta County",,,"5,556","11,404",380,1,"17,341"
"Bath County",,,674,707,58,0,"1,439"
"Bedford County",,,"6,840","11,484",426,0,"18,750"
"Bedford City",,,877,776,60,0,"1,713"
"Bland County",,,661,927,48,0,"1,636"
"Botetourt County",,,"3,971","5,957",235,0,"10,163"
"Bristol City",,,"2,089","2,145",53,2,"4,289"
"Brunswick County",,,"2,831","1,447",30,2,"4,310"
"Buchanan County",,,"3,368","1,819",136,0,"5,323"
"Buckingham County",,,"2,167","1,629",73,0,"3,869"
"Buena Vista City",,,743,573,42,0,"1,358"
"Campbell County",,,"5,888","8,560",383,1,"14,832"
"Caroline County",,,"3,458","2,272",55,0,"5,785"
"Carroll County",,,"2,707","4,751",106,0,"7,564"
"Charles City County",,,"1,695",594,15,0,"2,304"
"Charlotte County",,,"1,820","2,002",166,0,"3,988"
"Charlottesville City",,,"6,231","2,330",563,7,"9,131"
"Chesapeake City",,,"23,164","27,494",428,15,"51,101"
"Chesterfield County",,,"37,209","42,140",662,25,"80,036"
"Clarke County",,,"1,639","1,943",64,0,"3,646"
"Colonial Heights City",,,"1,999","3,359",49,5,"5,412"
"Covington City",,,897,634,45,0,"1,576"
"Craig County",,,791,952,34,0,"1,777"
"Culpeper County",,,"3,055","5,117",311,0,"8,483"
"Cumberland County",,,"1,191","1,225",89,0,"2,505"
"Danville City",,,"6,133","5,998",278,0,"12,409"
"Dickenson County",,,"2,629","1,882",35,0,"4,546"
"Dinwiddie County",,,"3,510","3,003",82,0,"6,595"
"Emporia City",,,843,594,12,1,"1,450"
"Essex County",,,"1,358","1,153",30,0,"2,541"
"Fairfax County",,,"139,870","123,454","3,063",64,"266,451"
"Fairfax City",,,"3,367","3,192",95,1,"6,655"
"Falls Church City",,,"2,575","1,312",58,2,"3,947"
"Fauquier County",,,"6,552","9,543",224,0,"16,319"
"Floyd County",,,"1,770","2,303",160,0,"4,233"
"Fluvanna County",,,"2,827","3,484",177,0,"6,488"
"Franklin County",,,"6,162","7,032",207,0,"13,401"
"Franklin City",,,"1,328",829,16,1,"2,174"
"Frederick County",,,"5,439","10,284",275,0,"15,998"
"Fredericksburg City",,,"2,611","1,664",107,3,"4,385"
"Galax City",,,762,773,17,1,"1,553"
"Giles County",,,"2,621","2,188",165,2,"4,976"
"Gloucester County",,,"3,685","5,196",164,3,"9,048"
"Goochland County",,,"3,257","3,183",48,1,"6,489"
"Grayson County",,,"2,097","2,995",77,0,"5,169"
"Greene County",,,"1,301","2,265",159,0,"3,725"
"Greensville County",,,"1,790",790,25,1,"2,606"
"Halifax County",,,"4,335","4,407",306,1,"9,049"
"Hampton City",,,"19,725","11,363",446,21,"31,555"
"Hanover County",,,"12,720","17,535",239,1,"30,495"
"Harrisonburg City",,,"2,723","3,495",105,5,"6,328"
"Henrico County",,,"45,568","35,040",655,31,"81,294"
"Henry County",,,"7,816","6,095",561,0,"14,472"
"Highland County",,,429,637,21,0,"1,087"
"Hopewell City",,,"2,446","2,055",120,0,"4,621"
"Isle of Wight County",,,"4,309","4,865",100,4,"9,278"
"James City County",,,"7,757","9,099",180,7,"17,043"
"King and Queen County",,,"1,115",867,20,0,"2,002"
"King George County",,,"1,905","2,235",77,2,"4,219"
"King William County",,,"2,013","1,829",34,0,"3,876"
"Lancaster County",,,"2,044","2,290",42,3,"4,379"
"Lee County",,,"2,660","2,522",60,0,"5,242"
"Lexington City",,,969,550,44,0,"1,563"
"Loudoun County",,,"19,638","24,826",580,14,"45,058"
"Louisa County",,,"3,866","3,507",141,0,"7,514"
"Lunenburg County",,,"1,965","1,583",27,1,"3,576"
"Lynchburg City",,,"8,475","8,445",224,5,"17,149"
"Madison County",,,"1,411","2,096",147,0,"3,654"
"Manassas City",,,"2,734","3,552",90,0,"6,376"
"Manassas Park City",,,593,786,43,0,"1,422"
"Martinsville City",,,"2,404","1,533",52,0,"3,989"
"Mathews County",,,"1,234","1,675",97,0,"3,006"
"Mecklenburg County",,,"3,022","3,864",309,1,"7,196"
"Middlesex County",,,"1,496","1,823",113,0,"3,432"
"Montgomery County",,,"10,301","8,962",416,3,"19,682"
"Nelson County",,,"2,452","1,802",169,3,"4,426"
"New Kent County",,,"2,238","2,362",58,8,"4,666"
"Newport News City",,,"20,189","15,979",459,18,"36,645"
"Norfolk City",,,"26,841","14,386",597,38,"41,862"
"Northampton County",,,"1,928","1,279",172,0,"3,379"
"Northumberland County",,,"2,061","2,138",57,2,"4,258"
"Norton City",,,731,326,22,0,"1,079"
"Nottoway County",,,"2,366","1,734",107,0,"4,207"
"Orange County",,,"3,217","3,897",222,0,"7,336"
"Page County",,,"2,152","3,434",56,2,"5,644"
"Patrick County",,,"1,971","2,760",178,0,"4,909"
"Petersburg City",,,"6,893","1,357",67,0,"8,317"
"Pittsylvania County",,,"6,196","9,767",463,0,"16,426"
"Poquoson City",,,"1,265","2,787",59,1,"4,112"
"Portsmouth City",,,"16,860","8,397",335,16,"25,608"
"Powhatan County",,,"2,665","4,147",81,0,"6,893"
"Prince Edward County",,,"2,594","1,969",113,0,"4,676"
"Prince George County",,,"3,609","3,844",59,1,"7,513"
"Prince William County",,,"25,535","30,721",971,4,"57,231"
"Pulaski County",,,"4,647","4,456",235,3,"9,341"
"Radford City",,,"1,682","1,354",53,0,"3,089"
"Rappahannock County",,,"1,174","1,457",26,2,"2,659"
"Richmond County",,,"1,005","1,100",35,0,"2,140"
"Richmond City",,,"36,549","10,792",660,5,"48,006"
"Roanoke County",,,"13,562","17,400",370,1,"31,333"
"Roanoke City",,,"14,328","9,154",383,0,"23,865"
"Rockbridge County",,,"2,632","2,935",125,0,"5,692"
"Rockingham County",,,"5,402","12,343",265,7,"18,017"
"Russell County",,,"4,042","2,798",177,0,"7,017"
"Salem City",,,"3,674","4,177",96,0,"7,947"
"Scott County",,,"2,250","3,649",200,0,"6,099"
"Shenandoah County",,,"3,639","7,205",161,5,"11,010"
"Smyth County",,,"4,127","3,958",272,0,"8,357"
"Southampton County",,,"2,528","1,939",49,0,"4,516"
"Spotsylvania County",,,"9,246","11,595",231,4,"21,076"
"Stafford County",,,"8,676","12,177",292,13,"21,158"
"Staunton City",,,"2,662","3,444",90,4,"6,200"
"Suffolk City",,,"8,394","8,081",113,2,"16,590"
"Surry County",,,"1,443",798,35,0,"2,276"
"Sussex County",,,"1,674","1,050",136,0,"2,860"
"Tazewell County",,,"4,524","4,519",188,1,"9,232"
"Virginia Beach City",,,"40,235","50,801","1,039",40,"92,115"
"Warren County",,,"2,729","4,709",171,3,"7,612"
"Washington County",,,"6,014","7,411",298,1,"13,724"
"Waynesboro City",,,"1,970","2,785",61,0,"4,816"
"Westmoreland County",,,"2,261","1,700",125,0,"4,086"
"Williamsburg City",,,"1,372","1,058",43,0,"2,473"
