County/City,,,"Timothy Michael Kaine","Corey Alan Stewart","Matthew Joseph Waters","All Others","Total Votes Cast"
"Madison County",,,"2,273","3,655",88,13,"6,029"
"Manassas City",,,"8,130","4,496",287,16,"12,929"
"Manassas Park City",,,"3,032","1,260",89,4,"4,385"
"Martinsville City",,,"2,889","1,566",82,7,"4,544"
"Mathews County",,,"1,566","2,791",58,1,"4,416"
"Mecklenburg County",,,"5,149","6,533",118,5,"11,805"
"Middlesex County",,,"2,031","3,014",83,2,"5,130"
"Montgomery County",,,"20,109","14,382",966,51,"35,508"
"Nelson County",,,"3,808","3,417",138,15,"7,378"
"New Kent County",,,"3,736","6,774",159,14,"10,683"
"Newport News City",,,"39,398","17,891",974,68,"58,331"
"Norfolk City",,,"50,565","15,603","1,233",104,"67,505"
"Northampton County",,,"2,924","2,124",59,9,"5,116"
"Northumberland County",,,"2,631","3,567",63,8,"6,269"
"Norton City",,,408,672,16,3,"1,099"
"Nottoway County",,,"2,466","2,775",64,0,"5,305"
"Orange County",,,"6,148","8,577",215,12,"14,952"
"Page County",,,"2,356","5,825",106,8,"8,295"
"Patrick County",,,"1,633","4,999",56,1,"6,689"
"Petersburg City",,,"9,170",989,75,9,"10,243"
"Pittsylvania County",,,"8,105","16,923",267,11,"25,306"
"Poquoson City",,,"1,737","4,105",140,13,"5,995"
"Portsmouth City",,,"23,985","8,601",528,56,"33,170"
"Powhatan County",,,"4,384","10,254",310,24,"14,972"
"Prince Edward County",,,"3,893","3,064",111,5,"7,073"
"Prince George County",,,"5,475","7,004",143,10,"12,632"
"Prince William County",,,"106,449","54,040","3,063",374,"163,926"
"Pulaski County",,,"4,063","7,835",169,14,"12,081"
"Radford City",,,"2,979","1,958",130,11,"5,078"
"Rappahannock County",,,"1,845","1,984",42,12,"3,883"
"Richmond County",,,"1,191","1,683",20,5,"2,899"
"Richmond City",,,"75,485","11,962","1,662",174,"89,283"
"Roanoke County",,,"17,012","24,194",724,61,"41,991"
"Roanoke City",,,"20,149","10,509",587,37,"31,282"
"Rockbridge County",,,"3,584","5,622",143,0,"9,349"
"Rockingham County",,,"9,811","21,151",654,29,"31,645"
"Russell County",,,"2,471","6,379",97,4,"8,951"
"Salem City",,,"4,116","5,571",186,10,"9,883"
"Scott County",,,"1,627","5,824",63,8,"7,522"
"Shenandoah County",,,"5,362","10,836",270,17,"16,485"
"Smyth County",,,"2,683","6,864",110,11,"9,668"
"Southampton County",,,"3,047","3,869",67,6,"6,989"
"Spotsylvania County",,,"24,554","26,466",896,58,"51,974"
"Stafford County",,,"28,536","26,368","1,088",57,"56,049"
"Staunton City",,,"5,417","3,937",228,17,"9,599"
"Suffolk City",,,"21,397","13,397",461,37,"35,292"
"Surry County",,,"1,997","1,436",35,9,"3,477"
"Sussex County",,,"2,258","1,598",32,0,"3,888"
"Tazewell County",,,"2,809","10,428",118,16,"13,371"
"Virginia Beach City",,,"91,813","73,575","3,851",204,"169,443"
"Warren County",,,"5,060","8,875",304,23,"14,262"
"Washington County",,,"5,825","14,350",267,15,"20,457"
"Waynesboro City",,,"3,849","3,713",149,7,"7,718"
"Westmoreland County",,,"3,448","3,421",78,2,"6,949"
"Williamsburg City",,,"4,530","1,547",114,9,"6,200"
"Winchester City",,,"5,242","3,657",210,15,"9,124"
"Wise County",,,"2,860","7,991",98,6,"10,955"
"Wythe County",,,"2,879","7,669",153,12,"10,713"
"York County",,,"13,634","14,828",534,38,"29,034"
TOTALS,,,"1,910,370","1,374,313","61,565","5,509","3,351,757"
