County/City,,,"Timothy Michael Kaine","Corey Alan Stewart","Matthew Joseph Waters","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",,,"5,997","6,605",135,8,"12,745"
"Albemarle County",,,"35,701","16,371","1,161",93,"53,326"
"Alexandria City",,,"53,307","10,734","1,468",303,"65,812"
"Alleghany County",,,"1,952","3,433",66,2,"5,453"
"Amelia County",,,"1,938","3,823",81,7,"5,849"
"Amherst County",,,"4,541","7,779",215,10,"12,545"
"Appomattox County",,,"1,828","4,751",99,3,"6,681"
"Arlington County",,,"87,258","16,495","2,771",389,"106,913"
"Augusta County",,,"8,427","20,796",550,34,"29,807"
"Bath County",,,576,"1,142",24,6,"1,748"
"Bedford County",,,"9,632","25,301",603,12,"35,548"
"Bland County",,,504,"1,916",30,3,"2,453"
"Botetourt County",,,"4,543","10,720",246,13,"15,522"
"Bristol City",,,"1,770","3,427",67,8,"5,272"
"Brunswick County",,,"3,717","2,394",41,4,"6,156"
"Buchanan County",,,"1,785","4,095",50,3,"5,933"
"Buckingham County",,,"2,802","3,249",83,5,"6,139"
"Buena Vista City",,,666,"1,047",37,4,"1,754"
"Campbell County",,,"6,305","15,239",408,27,"21,979"
"Caroline County",,,"5,838","5,323",179,13,"11,353"
"Carroll County",,,"2,459","8,042",114,6,"10,621"
"Charles City County",,,"2,131","1,168",36,2,"3,337"
"Charlotte County",,,"1,871","2,792",52,4,"4,719"
"Charlottesville City",,,"17,641","2,346",451,52,"20,490"
"Chesapeake City",,,"49,506","39,632","1,493",121,"90,752"
"Chesterfield County",,,"83,091","67,835","2,705",223,"153,854"
"Clarke County",,,"3,210","3,845",126,5,"7,186"
"Colonial Heights City",,,"2,105","4,183",120,7,"6,415"
"Covington City",,,785,957,33,1,"1,776"
"Craig County",,,544,"1,615",30,4,"2,193"
"Culpeper County",,,"8,093","10,913",361,37,"19,404"
"Cumberland County",,,"1,849","2,270",74,1,"4,194"
"Danville City",,,"9,418","5,518",163,16,"15,115"
"Dickenson County",,,"1,524","2,926",20,5,"4,475"
"Dinwiddie County",,,"4,865","5,626",78,7,"10,576"
"Emporia City",,,"1,163",608,18,1,"1,790"
"Essex County",,,"2,266","2,115",36,1,"4,418"
"Fairfax County",,,"340,740","129,095","9,517","1,133","480,485"
"Fairfax City",,,"7,330","2,988",245,27,"10,590"
"Falls Church City",,,"5,902","1,112",144,31,"7,189"
"Fauquier County",,,"13,735","17,801",634,44,"32,214"
"Floyd County",,,"2,480","4,180",78,8,"6,746"
"Fluvanna County",,,"5,981","5,793",217,10,"12,001"
"Franklin County",,,"6,995","14,849",321,16,"22,181"
"Franklin City",,,"1,894","1,065",30,2,"2,991"
"Frederick County",,,"12,885","20,640",637,55,"34,217"
"Fredericksburg City",,,"6,621","2,832",237,20,"9,710"
"Galax City",,,620,"1,198",12,0,"1,830"
"Giles County",,,"2,036","4,500",97,5,"6,638"
"Gloucester County",,,"5,529","9,816",277,15,"15,637"
"Goochland County",,,"5,443","7,472",279,31,"13,225"
"Grayson County",,,"1,412","4,249",67,5,"5,733"
"Greene County",,,"3,183","4,749",190,8,"8,130"
"Greensville County",,,"2,109","1,363",19,0,"3,491"
"Halifax County",,,"5,869","7,691",119,7,"13,686"
"Hampton City",,,"37,078","12,696",651,72,"50,497"
"Hanover County",,,"20,228","32,333","1,082",91,"53,734"
"Harrisonburg City",,,"9,234","4,056",404,30,"13,724"
"Henrico County",,,"94,826","47,786","2,678",246,"145,536"
"Henry County",,,"7,061","11,471",190,6,"18,728"
"Highland County",,,400,772,12,0,"1,184"
"Hopewell City",,,"3,878","2,894",107,5,"6,884"
"Isle of Wight County",,,"7,357","9,171",263,18,"16,809"
"James City County",,,"20,146","17,955",664,58,"38,823"
"King and Queen County",,,"1,318","1,615",38,3,"2,974"
"King George County",,,"3,976","5,546",213,15,"9,750"
"King William County",,,"2,675","4,707",122,14,"7,518"
"Lancaster County",,,"2,683","2,947",74,2,"5,706"
"Lee County",,,"1,671","5,096",52,2,"6,821"
"Lexington City",,,"1,511",569,36,4,"2,120"
"Loudoun County",,,"106,064","58,369","3,318",274,"168,025"
"Louisa County",,,"6,384","8,790",242,12,"15,428"
"Lunenburg County",,,"1,943","2,480",51,1,"4,475"
"Lynchburg City",,,"13,582","12,238",993,32,"26,845"
