County/City,,,"Jason Stuart Redding Miyares","Mark Rankin Herring","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"7,784","5,034",7,"12,825"
"Albemarle County",,,"18,809","32,282",42,"51,133"
"Alexandria City",,,"13,632","44,070",59,"57,761"
"Alleghany County",,,"4,441","1,599",3,"6,043"
"Amelia County",,,"4,681","1,652",2,"6,335"
"Amherst County",,,"9,607","4,015",7,"13,629"
"Appomattox County",,,"5,892","1,510",6,"7,408"
"Arlington County",,,"21,223","73,149",114,"94,486"
"Augusta County",,,"25,840","7,632",19,"33,491"
"Bath County",,,"1,505",432,1,"1,938"
"Bedford County",,,"30,692","8,199",28,"38,919"
"Bland County",,,"2,252",378,3,"2,633"
"Botetourt County",,,"12,967","4,092",16,"17,075"
"Bristol City",,,"3,739","1,338",2,"5,079"
"Brunswick County",,,"2,847","3,216",4,"6,067"
"Buchanan County",,,"4,954",960,7,"5,921"
"Buckingham County",,,"3,859","2,258",5,"6,122"
"Buena Vista City",,,"1,416",520,2,"1,938"
"Campbell County",,,"18,059","5,084",13,"23,156"
"Caroline County",,,"6,883","5,129",7,"12,019"
"Carroll County",,,"9,786","1,979",7,"11,772"
"Charles City County",,,"1,549","1,823",1,"3,373"
"Charlotte County",,,"3,290","1,457",3,"4,750"
"Charlottesville City",,,"2,673","14,471",15,"17,159"
"Chesapeake City",,,"47,836","43,598",78,"91,512"
"Chesterfield County",,,"80,993","74,719",153,"155,865"
"Clarke County",,,"4,538","2,838",6,"7,382"
"Colonial Heights City",,,"4,892","1,763",7,"6,662"
"Covington City",,,"1,162",619,1,"1,782"
"Craig County",,,"2,052",430,6,"2,488"
"Culpeper County",,,"13,222","6,892",13,"20,127"
"Cumberland County",,,"2,660","1,543",1,"4,204"
"Danville City",,,"5,801","6,923",8,"12,732"
"Dickenson County",,,"3,819",961,2,"4,782"
"Dinwiddie County",,,"7,302","4,223",5,"11,530"
"Emporia City",,,708,897,1,"1,606"
"Essex County",,,"2,654","2,038",1,"4,693"
"Fairfax County",,,"149,398","287,726",519,"437,643"
"Fairfax City",,,"3,560","6,501",8,"10,069"
"Falls Church City",,,"1,542","5,403",6,"6,951"
"Fauquier County",,,"22,012","11,861",18,"33,891"
"Floyd County",,,"5,199","2,259",9,"7,467"
"Fluvanna County",,,"6,951","5,436",6,"12,393"
"Franklin County",,,"17,593","6,115",13,"23,721"
"Franklin City",,,"1,240","1,701",1,"2,942"
"Frederick County",,,"24,701","11,525",16,"36,242"
"Fredericksburg City",,,"3,435","5,527",9,"8,971"
"Galax City",,,"1,386",514,2,"1,902"
"Giles County",,,"5,693","1,635",3,"7,331"
"Gloucester County",,,"12,445","4,845",11,"17,301"
"Goochland County",,,"9,591","4,906",12,"14,509"
"Grayson County",,,"5,075","1,116",6,"6,197"
"Greene County",,,"5,848","2,935",5,"8,788"
"Greensville County",,,"1,679","1,929",1,"3,609"
"Halifax County",,,"8,606","4,831",9,"13,446"
"Hampton City",,,"14,596","30,236",44,"44,876"
"Hanover County",,,"39,497","18,257",43,"57,797"
"Harrisonburg City",,,"4,296","6,942",14,"11,252"
"Henrico County",,,"55,821","82,377",138,"138,336"
"Henry County",,,"12,675","5,718",11,"18,404"
"Highland County",,,945,348,0,"1,293"
"Hopewell City",,,"3,085","3,159",15,"6,259"
"Isle of Wight County",,,"11,900","6,664",19,"18,583"
"James City County",,,"21,090","18,824",29,"39,943"
"King and Queen County",,,"2,098","1,148",2,"3,248"
"King George County",,,"7,185","3,458",8,"10,651"
"King William County",,,"6,241","2,293",7,"8,541"
"Lancaster County",,,"3,444","2,400",2,"5,846"
"Lee County",,,"6,316",918,5,"7,239"
"Lexington City",,,749,"1,317",2,"2,068"
"Loudoun County",,,"70,348","90,689",156,"161,193"
"Louisa County",,,"11,606","5,950",8,"17,564"
"Lunenburg County",,,"2,985","1,596",1,"4,582"
"Lynchburg City",,,"13,545","11,145",16,"24,706"
"Madison County",,,"4,611","2,060",4,"6,675"
"Manassas City",,,"4,978","6,242",17,"11,237"
"Manassas Park City",,,"1,372","2,194",12,"3,578"
"Martinsville City",,,"1,645","2,263",6,"3,914"
"Mathews County",,,"3,446","1,403",6,"4,855"
"Mecklenburg County",,,"7,828","4,139",6,"11,973"
"Middlesex County",,,"3,714","1,866",3,"5,583"
"Montgomery County",,,"16,828","15,704",37,"32,569"
"Nelson County",,,"4,174","3,466",4,"7,644"
"New Kent County",,,"8,563","3,479",5,"12,047"
"Newport News City",,,"21,135","32,725",61,"53,921"
"Norfolk City",,,"18,770","40,914",87,"59,771"
"Northampton County",,,"2,625","2,588",3,"5,216"
"Northumberland County",,,"4,145","2,336",3,"6,484"
"Norton City",,,842,344,2,"1,188"
"Nottoway County",,,"3,444","1,947",6,"5,397"
"Orange County",,,"10,493","5,533",9,"16,035"
"Page County",,,"7,425","2,107",8,"9,540"
"Patrick County",,,"5,855","1,331",3,"7,189"
"Petersburg City",,,"1,207","7,625",10,"8,842"
"Pittsylvania County",,,"19,391","6,476",11,"25,878"
"Poquoson City",,,"4,870","1,396",6,"6,272"
"Portsmouth City",,,"9,809","19,783",37,"29,629"
"Powhatan County",,,"12,556","3,774",10,"16,340"
"Prince Edward County",,,"3,855","3,213",9,"7,077"
"Prince George County",,,"8,526","4,646",5,"13,177"
"Prince William County",,,"64,148","88,374",136,"152,658"
"Pulaski County",,,"9,555","3,393",8,"12,956"
"Radford City",,,"2,226","1,931",5,"4,162"
"Rappahannock County",,,"2,456","1,725",5,"4,186"
"Richmond County",,,"2,201",977,0,"3,178"
"Richmond City",,,"15,723","63,724",158,"79,605"
"Roanoke County",,,"27,968","14,670",33,"42,671"
"Roanoke City",,,"11,814","17,078",31,"28,923"
"Rockbridge County",,,"6,810","3,172",4,"9,986"
"Rockingham County",,,"26,287","8,971",29,"35,287"
"Russell County",,,"8,118","1,491",7,"9,616"
"Salem City",,,"6,100","3,395",11,"9,506"
"Scott County",,,"6,986","1,072",7,"8,065"
"Shenandoah County",,,"13,475","4,750",11,"18,236"
"Smyth County",,,"8,416","1,796",4,"10,216"
"Southampton County",,,"5,013","2,785",6,"7,804"
"Spotsylvania County",,,"32,231","21,807",33,"54,071"
"Stafford County",,,"31,397","25,863",49,"57,309"
"Staunton City",,,"4,528","5,163",14,"9,705"
"Suffolk City",,,"17,184","19,310",30,"36,524"
"Surry County",,,"1,742","1,778",5,"3,525"
"Sussex County",,,"1,955","2,038",1,"3,994"
"Tazewell County",,,"11,884","1,952",4,"13,840"
"Virginia Beach City",,,"86,888","74,430",109,"161,427"
"Warren County",,,"11,152","4,488",16,"15,656"
"Washington County",,,"17,319","4,573",10,"21,902"
"Waynesboro City",,,"4,361","3,417",11,"7,789"
"Westmoreland County",,,"4,522","3,037",8,"7,567"
"Williamsburg City",,,"1,701","3,209",2,"4,912"
"Winchester City",,,"4,031","4,421",3,"8,455"
"Wise County",,,"9,583","1,878",8,"11,469"
"Wythe County",,,"9,364","2,143",7,"11,514"
"York County",,,"17,460","12,272",19,"29,751"
TOTALS,,,"1,647,100","1,620,564","2,983","3,270,647"
