County/City,,,"Justin Edward Fairfax","Jill Holtzman Vogel","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,468","6,055",2,"10,525"
"Albemarle County",,,"26,386","15,620",27,"42,033"
"Alexandria City",,,"40,342","11,468",56,"51,866"
"Alleghany County",,,"1,376","2,999",2,"4,377"
"Amelia County",,,"1,351","3,241",2,"4,594"
"Amherst County",,,"3,126","6,583",14,"9,723"
"Appomattox County",,,"1,155","3,989",5,"5,149"
"Arlington County",,,"66,818","17,615",88,"84,521"
"Augusta County",,,"5,749","17,640",17,"23,406"
"Bath County",,,432,"1,039",1,"1,472"
"Bedford County",,,"6,348","21,276",15,"27,639"
"Bland County",,,378,"1,670",2,"2,050"
"Botetourt County",,,"3,084","9,329",13,"12,426"
"Bristol City",,,"1,206","3,009",4,"4,219"
"Brunswick County",,,"2,709","2,039",1,"4,749"
"Buchanan County",,,"1,183","3,220",7,"4,410"
"Buckingham County",,,"1,880","2,687",2,"4,569"
"Buena Vista City",,,485,"1,135",1,"1,621"
"Campbell County",,,"4,070","13,206",23,"17,299"
"Caroline County",,,"4,070","4,261",4,"8,335"
"Carroll County",,,"1,759","6,445",3,"8,207"
"Charles City County",,,"1,698","1,005",1,"2,704"
"Charlotte County",,,"1,393","2,582",7,"3,982"
"Charlottesville City",,,"13,687","2,562",18,"16,267"
"Chesapeake City",,,"37,034","35,086",54,"72,174"
"Chesterfield County",,,"57,845","60,386",97,"118,328"
"Clarke County",,,"2,247","3,290",7,"5,544"
"Colonial Heights City",,,"1,310","3,816",2,"5,128"
"Covington City",,,492,845,1,"1,338"
"Craig County",,,390,"1,438",1,"1,829"
"Culpeper County",,,"4,842","8,660",16,"13,518"
"Cumberland County",,,"1,279","1,839",2,"3,120"
"Danville City",,,"6,095","4,808",8,"10,911"
"Dickenson County",,,995,"2,400",3,"3,398"
"Dinwiddie County",,,"3,648","4,655",5,"8,308"
"Emporia City",,,918,693,2,"1,613"
"Essex County",,,"1,681","2,008",3,"3,692"
"Fairfax County",,,"251,388","122,021",424,"373,833"
"Fairfax City",,,"5,340","2,894",7,"8,241"
"Falls Church City",,,"4,661","1,333",5,"5,999"
"Fauquier County",,,"8,962","15,033",31,"24,026"
"Floyd County",,,"1,820","3,623",5,"5,448"
"Fluvanna County",,,"4,143","5,004",9,"9,156"
"Franklin County",,,"4,870","12,539",12,"17,421"
"Franklin City",,,"1,480","1,068",1,"2,549"
"Frederick County",,,"7,794","16,430",22,"24,246"
"Fredericksburg City",,,"4,564","2,571",8,"7,143"
"Galax City",,,388,951,11,"1,350"
"Giles County",,,"1,499","4,237",5,"5,741"
"Gloucester County",,,"4,103","8,470",5,"12,578"
"Goochland County",,,"3,791","6,708",8,"10,507"
"Grayson County",,,993,"3,491",2,"4,486"
"Greene County",,,"2,137","4,100",3,"6,240"
"Greensville County",,,"1,638","1,229",2,"2,869"
"Halifax County",,,"3,933","6,364",6,"10,303"
"Hampton City",,,"28,488","11,656",71,"40,215"
"Hanover County",,,"14,236","28,726",58,"43,020"
"Harrisonburg City",,,"6,431","3,772",17,"10,220"
"Henrico County",,,"68,691","45,816",146,"114,653"
"Henry County",,,"4,706","9,244",15,"13,965"
"Highland County",,,312,722,1,"1,035"
"Hopewell City",,,"2,645","2,766",8,"5,419"
