County/City,,,"Justin Edward Fairfax","Jill Holtzman Vogel","All Others","Total Votes Cast"
"Isle of Wight County",,,"5,648","8,404",6,"14,058"
"James City County",,,"14,928","16,710",26,"31,664"
"King and Queen County",,,"1,006","1,457",2,"2,465"
"King George County",,,"2,577","4,537",8,"7,122"
"King William County",,,"1,936","4,001",7,"5,944"
"Lancaster County",,,"1,966","2,815",4,"4,785"
"Lee County",,,"1,430","5,065",8,"6,503"
"Lexington City",,,"1,102",631,2,"1,735"
"Loudoun County",,,"67,768","49,066",89,"116,923"
"Louisa County",,,"4,336","7,373",10,"11,719"
"Lunenburg County",,,"1,429","2,191",2,"3,622"
"Lynchburg City",,,"9,384","11,640",25,"21,049"
"Madison County",,,"1,739","3,147",5,"4,891"
"Manassas City",,,"5,211","4,025",10,"9,246"
"Manassas Park City",,,"1,940","1,111",2,"3,053"
"Martinsville City",,,"2,119","1,552",7,"3,678"
"Mathews County",,,"1,291","2,624",3,"3,918"
"Mecklenburg County",,,"3,357","5,158",0,"8,515"
"Middlesex County",,,"1,534","2,748",2,"4,284"
"Montgomery County",,,"14,402","13,507",21,"27,930"
"Nelson County",,,"2,956","3,157",4,"6,117"
"New Kent County",,,"2,624","5,902",2,"8,528"
"Newport News City",,,"29,685","16,923",42,"46,650"
"Norfolk City",,,"37,851","15,464",69,"53,384"
"Northampton County",,,"2,250","2,067",3,"4,320"
"Northumberland County",,,"1,932","3,363",6,"5,301"
"Norton City",,,310,536,1,847
"Nottoway County",,,"1,756","2,467",5,"4,228"
"Orange County",,,"4,022","6,817",14,"10,853"
"Page County",,,"1,723","4,890",13,"6,626"
"Patrick County",,,"1,286","4,290",4,"5,580"
"Petersburg City",,,"7,130",983,6,"8,119"
"Pittsylvania County",,,"5,536","13,914",9,"19,459"
"Poquoson City",,,"1,170","3,628",6,"4,804"
"Portsmouth City",,,"19,559","8,923",28,"28,510"
"Powhatan County",,,"2,989","8,475",16,"11,480"
"Prince Edward County",,,"2,809","2,789",9,"5,607"
"Prince George County",,,"4,058","6,178",6,"10,242"
"Prince William County",,,"72,454","46,943",168,"119,565"
"Pulaski County",,,"3,254","8,342",17,"11,613"
"Radford City",,,"2,067","1,832",5,"3,904"
"Rappahannock County",,,"1,429","1,827",4,"3,260"
"Richmond County",,,837,"1,522",1,"2,360"
"Richmond City",,,"57,346","13,417",62,"70,825"
"Roanoke County",,,"11,574","21,946",39,"33,559"
"Roanoke City",,,"14,494","9,591",29,"24,114"
"Rockbridge County",,,"2,771","5,085",6,"7,862"
"Rockingham County",,,"6,824","18,219",18,"25,061"
"Russell County",,,"1,543","5,084",7,"6,634"
"Salem City",,,"2,856","5,242",11,"8,109"
"Scott County",,,"1,165","4,886",11,"6,062"
"Shenandoah County",,,"3,487","9,740",10,"13,237"
"Smyth County",,,"1,790","6,049",1,"7,840"
"Southampton County",,,"2,434","3,679",4,"6,117"
"Spotsylvania County",,,"15,531","21,026",60,"36,617"
"Stafford County",,,"18,563","21,840",44,"40,447"
"Staunton City",,,"3,956","3,534",8,"7,498"
"Suffolk City",,,"16,071","12,294",17,"28,382"
"Surry County",,,"1,633","1,310",1,"2,944"
"Sussex County",,,"1,788","1,437",0,"3,225"
"Tazewell County",,,"1,837","8,130",12,"9,979"
"Virginia Beach City",,,"62,086","65,190",104,"127,380"
"Warren County",,,"3,410","6,920",10,"10,340"
"Washington County",,,"3,975","12,242",10,"16,227"
"Waynesboro City",,,"2,578","3,231",7,"5,816"
"Westmoreland County",,,"2,375","2,939",8,"5,322"
"Williamsburg City",,,"3,656","1,596",2,"5,254"
"Winchester City",,,"3,327","3,287",3,"6,617"
"Wise County",,,"2,024","6,439",10,"8,473"
"Wythe County",,,"1,974","6,449",16,"8,439"
"York County",,,"9,612","13,357",21,"22,990"
TOTALS,,,"1,368,412","1,224,520","2,606","2,595,538"
