County/City,,,"Timothy M. Kaine","Hung Cao","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"7,672","9,339",26,"17,037"
"Albemarle County",,,"43,968","21,912",76,"65,956"
"Alexandria City",,,"62,597","17,175",222,"79,994"
"Alleghany County",,,"2,786","5,358",13,"8,157"
"Amelia County",,,"2,314","5,600",6,"7,920"
"Amherst County",,,"5,790","11,414",20,"17,224"
"Appomattox County",,,"2,562","6,923",10,"9,495"
"Arlington County",,,"100,725","27,269",365,"128,359"
"Augusta County",,,"12,517","31,605",61,"44,183"
"Bath County",,,684,"1,881",1,"2,566"
"Bedford County",,,"13,068","37,536",52,"50,656"
"Bland County",,,709,"2,707",2,"3,418"
"Botetourt County",,,"6,608","14,950",24,"21,582"
"Bristol City",,,"2,629","4,699",4,"7,332"
"Brunswick County",,,"4,324","3,372",6,"7,702"
"Buchanan County",,,"2,331","6,686",16,"9,033"
"Buckingham County",,,"3,242","4,581",9,"7,832"
"Buena Vista City",,,935,"1,881",3,"2,819"
"Campbell County",,,"8,526","22,449",39,"31,014"
"Caroline County",,,"8,249","9,218",18,"17,485"
"Carroll County",,,"3,637","12,318",14,"15,969"
"Charles City County",,,"2,397","1,802",4,"4,203"
"Charlotte County",,,"2,148","3,815",3,"5,966"
"Charlottesville City",,,"19,439","3,650",58,"23,147"
"Chesapeake City",,,"67,224","59,657",149,"127,030"
"Chesterfield County",,,"115,364","93,336",279,"208,979"
"Clarke County",,,"4,182","5,487",8,"9,677"
"Colonial Heights City",,,"3,259","5,456",5,"8,720"
"Covington City",,,"1,025","1,418",0,"2,443"
"Craig County",,,671,"2,415",2,"3,088"
"Culpeper County",,,"11,211","17,105",24,"28,340"
"Cumberland County",,,"2,164","3,256",5,"5,425"
"Danville City",,,"10,986","6,335",33,"17,354"
"Dickenson County",,,"1,929","4,884",17,"6,830"
"Dinwiddie County",,,"6,335","9,163",18,"15,516"
"Emporia City",,,"1,415",673,2,"2,090"
"Essex County",,,"2,858","3,072",8,"5,938"
"Fairfax County",,,"393,906","186,266","1,932","582,104"
"Fairfax City",,,"8,882","4,407",53,"13,342"
"Falls Church City",,,"7,163","1,791",20,"8,974"
"Fauquier County",,,"17,441","26,971",51,"44,463"
"Floyd County",,,"3,302","6,251",12,"9,565"
"Fluvanna County",,,"7,992","8,581",24,"16,597"
"Franklin County",,,"9,114","21,569",37,"30,720"
"Franklin City",,,"2,367","1,359",6,"3,732"
"Frederick County",,,"19,769","31,659",62,"51,490"
"Fredericksburg City",,,"8,858","4,346",32,"13,236"
"Galax City",,,893,"1,788",5,"2,686"
"Giles County",,,"2,593","6,435",13,"9,041"
