County/City,,,"Timothy M. Kaine","Hung Cao","All Others","Total Votes Cast"
"Gloucester County",,,"7,522","15,391",21,"22,934"
"Goochland County",,,"7,956","11,655",14,"19,625"
"Grayson County",,,"1,888","6,045",11,"7,944"
"Greene County",,,"4,731","7,193",16,"11,940"
"Greensville County",,,"2,416","1,770",9,"4,195"
"Halifax County",,,"7,397","10,218",40,"17,655"
"Hampton City",,,"44,201","17,611",83,"61,895"
"Hanover County",,,"27,207","44,715",65,"71,987"
"Harrisonburg City",,,"10,922","5,946",31,"16,899"
"Henrico County",,,"116,336","61,160",242,"177,738"
"Henry County",,,"9,583","15,426",43,"25,052"
"Highland County",,,497,"1,012",1,"1,510"
"Hopewell City",,,"5,173","3,438",16,"8,627"
"Isle of Wight County",,,"10,292","14,163",20,"24,475"
"James City County",,,"26,991","24,033",68,"51,092"
"King and Queen County",,,"1,628","2,513",2,"4,143"
"King George County",,,"5,843","9,459",16,"15,318"
"King William County",,,"3,659","7,678",10,"11,347"
"Lancaster County",,,"3,364","3,888",6,"7,258"
"Lee County",,,"2,306","7,452",20,"9,778"
"Lexington City",,,"1,817","1,031",4,"2,852"
"Loudoun County",,,"133,436","93,441",860,"227,737"
"Louisa County",,,"9,124","14,726",22,"23,872"
"Lunenburg County",,,"2,344","3,324",4,"5,672"
"Lynchburg City",,,"17,020","19,478",75,"36,573"
"Madison County",,,"2,839","5,546",3,"8,388"
"Manassas City",,,"9,375","6,438",36,"15,849"
"Manassas Park City",,,"3,713","2,112",28,"5,853"
"Martinsville City",,,"3,515","1,942",9,"5,466"
"Mathews County",,,"1,872","4,015",9,"5,896"
"Mecklenburg County",,,"6,699","9,170",23,"15,892"
"Middlesex County",,,"2,570","4,265",3,"6,838"
"Montgomery County",,,"25,037","21,575",107,"46,719"
"Nelson County",,,"4,520","4,849",16,"9,385"
"New Kent County",,,"5,700","10,695",10,"16,405"
"Newport News City",,,"49,499","25,323",91,"74,913"
"Norfolk City",,,"61,334","23,657",140,"85,131"
"Northampton County",,,"3,687","3,047",8,"6,742"
"Northumberland County",,,"3,253","4,912",7,"8,172"
"Norton City",,,606,973,2,"1,581"
"Nottoway County",,,"2,800","4,000",10,"6,810"
"Orange County",,,"8,725","13,289",43,"22,057"
"Page County",,,"3,618","9,354",21,"12,993"
"Patrick County",,,"2,391","7,005",9,"9,405"
"Petersburg City",,,"11,254","1,583",22,"12,859"
"Pittsylvania County",,,"10,523","22,725",42,"33,290"
"Poquoson City",,,"2,273","5,729",10,"8,012"
"Portsmouth City",,,"28,791","11,581",30,"40,402"
"Powhatan County",,,"5,949","14,844",16,"20,809"
"Prince Edward County",,,"4,617","4,567",14,"9,198"
"Prince George County",,,"7,048","10,010",13,"17,071"
"Prince William County",,,"137,060","87,310",711,"225,081"
"Pulaski County",,,"5,655","11,743",16,"17,414"
"Radford City",,,"3,423","3,051",16,"6,490"
"Rappahannock County",,,"2,053","2,947",16,"5,016"
"Richmond County",,,"1,562","2,550",1,"4,113"
"Richmond City",,,"89,672","17,400",242,"107,314"
"Roanoke County",,,"22,978","33,609",70,"56,657"
"Roanoke City",,,"26,676","15,082",82,"41,840"
"Rockbridge County",,,"4,526","8,199",13,"12,738"
"Rockingham County",,,"16,180","32,081",81,"48,342"
"Russell County",,,"3,326","9,885",18,"13,229"
"Salem City",,,"5,653","7,352",17,"13,022"
"Scott County",,,"2,431","8,359",20,"10,810"
"Shenandoah County",,,"7,968","16,097",36,"24,101"
"Smyth County",,,"3,885","10,339",20,"14,244"
"Southampton County",,,"3,914","5,801",10,"9,725"
"Spotsylvania County",,,"37,339","41,199",106,"78,644"
"Stafford County",,,"42,603","39,764",140,"82,507"
"Staunton City",,,"7,820","5,552",24,"13,396"
"Suffolk City",,,"31,587","21,255",81,"52,923"
"Surry County",,,"2,232","2,100",9,"4,341"
"Sussex County",,,"2,605","2,226",5,"4,836"
"Tazewell County",,,"4,952","14,096",31,"19,079"
"Virginia Beach City",,,"118,920","106,476",238,"225,634"
"Warren County",,,"7,529","14,771",42,"22,342"
"Washington County",,,"8,259","20,851",57,"29,167"
"Waynesboro City",,,"5,521","5,598",16,"11,135"
"Westmoreland County",,,"4,774","5,615",12,"10,401"
"Williamsburg City",,,"5,635","2,151",10,"7,796"
"Winchester City",,,"6,804","4,905",23,"11,732"
"Wise County",,,"4,494","11,802",20,"16,316"
"Wythe County",,,"3,732","11,268",20,"15,020"
"York County",,,"18,726","20,685",36,"39,447"
TOTALS,,,"2,417,115","2,019,911","8,509","4,445,535"
