County/City,,,"Donald S. Beyer, Jr","Michael P. Farris","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"3,746","4,654",0,"8,400"
"Albemarle County",,,"13,371","10,916",11,"24,298"
"Alexandria City",,,"21,902","7,849",37,"29,788"
"Alleghany County",,,"2,202","2,086",0,"4,288"
"Amelia County",,,"1,525","1,991",0,"3,516"
"Amherst County",,,"4,345","4,019",1,"8,365"
"Appomattox County",,,"1,901","2,105",0,"4,006"
"Arlington County",,,"37,559","13,533",35,"51,127"
"Augusta County",,,"5,014","11,984",3,"17,001"
"Bath County",,,819,853,0,"1,672"
"Bedford County",,,"6,828","8,360",0,"15,188"
"Bedford City",,,"1,009",750,0,"1,759"
"Bland County",,,665,"1,261",0,"1,926"
"Botetourt County",,,"4,653","4,918",3,"9,574"
"Bristol City",,,"1,693","2,628",0,"4,321"
"Brunswick County",,,"2,788","1,755",0,"4,543"
"Buchanan County",,,"3,178","3,308",0,"6,486"
"Buckingham County",,,"1,884","1,849",0,"3,733"
"Buena Vista City",,,878,734,0,"1,612"
"Campbell County",,,"6,159","7,988",1,"14,148"
"Caroline County",,,"3,002","2,273",1,"5,276"
"Carroll County",,,"3,089","4,791",0,"7,880"
"Charles City County",,,"1,562",605,0,"2,167"
"Charlotte County",,,"1,764","1,930",0,"3,694"
"Charlottesville City",,,"6,657","3,542",10,"10,209"
"Chesapeake City",,,"21,399","19,361",14,"40,774"
"Chesterfield County",,,"33,246","38,464",36,"71,746"
"Clarke County",,,"1,844","1,307",0,"3,151"
"Clifton Forge City",,,870,482,0,"1,352"
"Colonial Heights City",,,"2,598","3,767",0,"6,365"
"Covington City",,,"1,415",814,0,"2,229"
"Craig County",,,939,961,0,"1,900"
"Culpeper County",,,"3,301","4,154",0,"7,455"
"Cumberland County",,,"1,211","1,350",0,"2,561"
"Danville City",,,"6,297","7,214",0,"13,511"
"Dickenson County",,,"2,328","2,550",0,"4,878"
"Dinwiddie County",,,"3,355","2,847",0,"6,202"
"Emporia City",,,972,675,0,"1,647"
"Essex County",,,"1,517","1,254",0,"2,771"
"Fairfax County",,,"147,568","90,880",183,"238,631"
"Fairfax City",,,"3,759","2,495",5,"6,259"
"Falls Church City",,,"3,064","1,006",0,"4,070"
"Fauquier County",,,"6,628","7,497",2,"14,127"
"Floyd County",,,"1,865","2,264",2,"4,131"
"Fluvanna County",,,"2,169","2,521",0,"4,690"
"Franklin County",,,"6,658","5,713",0,"12,371"
"Franklin City",,,"1,551",980,0,"2,531"
"Frederick County",,,"5,531","6,809",0,"12,340"
"Fredericksburg City",,,"2,885","1,800",1,"4,686"
"Galax City",,,816,833,0,"1,649"
"Giles County",,,"2,609","2,685",2,"5,296"
"Gloucester County",,,"4,599","4,835",0,"9,434"
"Goochland County",,,"3,129","2,812",0,"5,941"
"Grayson County",,,"2,021","2,855",0,"4,876"
"Greene County",,,"1,137","2,056",0,"3,193"
"Greensville County",,,"1,693",886,0,"2,579"
"Halifax County",,,"3,598","3,772",1,"7,371"
"Hampton City",,,"20,225","13,217",4,"33,446"
"Hanover County",,,"11,288","14,817",5,"26,110"
"Harrisonburg City",,,"2,973","3,745",2,"6,720"
"Henrico County",,,"42,162","36,852",29,"79,043"
"Henry County",,,"8,960","7,688",1,"16,649"
"Highland County",,,502,633,0,"1,135"
"Hopewell City",,,"2,763","3,137",1,"5,901"
"Isle of Wight County",,,"4,411","3,955",0,"8,366"
"James City County",,,"7,282","6,084",4,"13,370"
"King and Queen County",,,"1,222",863,0,"2,085"
"King George County",,,"1,802","2,060",0,"3,862"
"King William County",,,"1,911","1,865",0,"3,776"
"Lancaster County",,,"1,998","2,163",0,"4,161"
"Lee County",,,"3,556","3,563",0,"7,119"
"Lexington City",,,"1,051",606,1,"1,658"
"Loudoun County",,,"14,796","11,919",4,"26,719"
"Louisa County",,,"3,315","3,188",0,"6,503"
"Lunenburg County",,,"1,822","1,740",0,"3,562"
"Lynchburg City",,,"9,871","8,465",1,"18,337"
"Madison County",,,"1,428","2,188",0,"3,616"
"Manassas City",,,"3,111","3,328",1,"6,440"
"Manassas Park City",,,401,469,2,872
"Martinsville City",,,"3,137","1,775",1,"4,913"
"Mathews County",,,"1,609","1,767",0,"3,376"
"Mecklenburg County",,,"3,474","4,232",0,"7,706"
"Middlesex County",,,"1,673","1,736",0,"3,409"
"Montgomery County",,,"11,313","8,133",3,"19,449"
"Nelson County",,,"2,437","1,944",0,"4,381"
"New Kent County",,,"2,107","2,145",2,"4,254"
"Newport News City",,,"23,496","16,295",5,"39,796"
"Norfolk City",,,"31,583","15,112",16,"46,711"
"Northampton County",,,"2,263","1,519",0,"3,782"
"Northumberland County",,,"1,908","2,115",0,"4,023"
"Norton City",,,518,410,0,928
"Nottoway County",,,"2,055","2,146",0,"4,201"
"Orange County",,,"2,983","3,373",1,"6,357"
"Page County",,,"2,196","3,831",0,"6,027"
"Patrick County",,,"2,521","2,829",0,"5,350"
"Petersburg City",,,"6,079","2,104",4,"8,187"
"Pittsylvania County",,,"6,104","9,598",3,"15,705"
"Poquoson City",,,"1,938","2,111",0,"4,049"
"Portsmouth City",,,"16,376","8,526",7,"24,909"
"Powhatan County",,,"2,151","3,146",1,"5,298"
"Prince Edward County",,,"2,368","2,389",0,"4,757"
"Prince George County",,,"3,157","3,502",1,"6,660"
"Prince William County",,,"22,795","22,048",2,"44,845"
"Pulaski County",,,"5,005","5,348",2,"10,355"
"Radford City",,,"2,141","1,359",1,"3,501"
"Rappahannock County",,,"1,154","1,177",1,"2,332"
"Richmond County",,,"1,040","1,212",0,"2,252"
"Richmond City",,,"38,174","14,703",10,"52,887"
"Roanoke County",,,"17,368","14,188",7,"31,563"
"Roanoke City",,,"16,357","8,852",3,"25,212"
"Rockbridge County",,,"2,857","2,940",0,"5,797"
"Rockingham County",,,"4,933","11,872",1,"16,806"
"Russell County",,,"3,188","3,741",0,"6,929"
"Salem City",,,"4,725","3,632",4,"8,361"
"Scott County",,,"2,611","4,565",0,"7,176"
"Shenandoah County",,,"3,965","6,343",1,"10,309"
"Smyth County",,,"3,227","5,843",0,"9,070"
"S. Boston City",,,"1,015",888,2,"1,905"
"Southampton County",,,"2,734","2,252",0,"4,986"
"Spotsylvania County",,,"7,856","8,796",0,"16,652"
"Stafford County",,,"7,910","8,831",0,"16,741"
"Staunton City",,,"2,867","4,176",0,"7,043"
"Suffolk City",,,"7,783","6,646",1,"14,430"
"Surry County",,,"1,493",811,0,"2,304"
"Sussex County",,,"1,805","1,141",1,"2,947"
"Tazewell County",,,"3,942","6,070",0,"10,012"
"Virginia Beach City",,,"47,803","40,050",53,"87,906"
"Warren County",,,"2,958","3,697",1,"6,656"
"Washington County",,,"4,801","8,378",0,"13,179"
"Waynesboro City",,,"2,211","2,953",5,"5,169"
"Westmoreland County",,,"2,139","1,865",0,"4,004"
"Williamsburg City",,,"1,720",859,5,"2,584"
"Winchester City",,,"2,976","2,298",2,"5,276"
"Wise County",,,"4,239","4,948",0,"9,187"
"Wythe County",,,"3,325","4,537",2,"7,864"
"York County",,,"7,659","6,710",2,"14,371"
TOTALS,,,"947,837","791,593",553,"1,739,983"
