County/City,,,"J. W. Warner","M. R. Warner","All Others","Total Votes Cast"
"Patrick County",,,"3,203","2,418",2,"5,623"
"Petersburg City",,,"2,689","7,823",1,"10,513"
"Pittsylvania County",,,"11,432","8,499",5,"19,936"
"Poquoson City",,,"3,638","1,516",0,"5,154"
"Portsmouth City",,,"13,963","19,974",7,"33,944"
"Powhatan County",,,"4,257","3,087",4,"7,348"
"Prince Edward County",,,"2,631","2,818",0,"5,449"
"Prince George County",,,"4,633","4,565",5,"9,203"
"Prince William County",,,"40,055","34,394",51,"74,500"
"Pulaski County",,,"5,308","6,382",1,"11,691"
"Radford City",,,"1,907","2,257",2,"4,166"
"Rappahannock County",,,"1,689","1,465",11,"3,165"
"Richmond County",,,"1,425","1,203",0,"2,628"
"Richmond City",,,"23,212","41,822",29,"65,063"
"Roanoke County",,,"21,404","17,098",14,"38,516"
"Roanoke City",,,"13,890","17,426",3,"31,319"
"Rockbridge County",,,"3,519","3,395",4,"6,918"
"Rockingham County",,,"12,812","7,235",15,"20,062"
"Russell County",,,"3,528","5,804",0,"9,332"
"Salem City",,,"5,109","4,759",1,"9,869"
"Scott County",,,"3,521","4,061",2,"7,584"
"Shenandoah County",,,"7,769","4,910",9,"12,688"
"Smyth County",,,"4,749","5,764",1,"10,514"
"Southampton County",,,"2,812","3,162",0,"5,974"
"Spotsylvania County",,,"13,857","11,646",8,"25,511"
"Stafford County",,,"14,455","12,192",127,"26,774"
"Staunton City",,,"4,549","3,406",5,"7,960"
"Suffolk City",,,"9,962","10,316",9,"20,287"
"Surry County",,,"1,182","1,624",0,"2,806"
"Sussex County",,,"1,501","2,013",1,"3,515"
"Tazewell County",,,"5,701","8,107",9,"13,817"
"Virginia Beach City",,,"73,708","53,198",318,"127,224"
"Warren County",,,"4,922","4,053",15,"8,990"
"Washington County",,,"8,295","8,282",3,"16,580"
"Waynesboro City",,,"3,586","2,547",6,"6,139"
"Westmoreland County",,,"2,681","2,886",0,"5,567"
"Williamsburg City",,,"1,888","1,561",5,"3,454"
"Winchester City",,,"4,076","2,913",2,"6,991"
"Wise County",,,"4,256","7,662",13,"11,931"
"Wythe County",,,"4,323","4,756",18,"9,097"
"York County",,,"12,681","7,594",11,"20,286"
TOTALS,,,"1,235,743","1,115,981","2,987","2,354,711"
