County/City,,,"J. W. Warner","M. R. Warner","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"5,496","4,952",3,"10,451"
"Albemarle County",,,"17,142","13,357",81,"30,580"
"Alexandria City",,,"20,933","24,237",194,"45,364"
"Alleghany County",,,"2,168","2,719",0,"4,887"
"Amelia County",,,"2,026","1,964",1,"3,991"
"Amherst County",,,"5,357","5,243",3,"10,603"
"Appomattox County",,,"2,537","2,654",1,"5,192"
"Arlington County",,,"35,187","38,698",180,"74,065"
"Augusta County",,,"12,971","7,643",27,"20,641"
"Bath County",,,942,"1,010",0,"1,952"
"Bedford County",,,"11,966","8,902",12,"20,880"
"Bedford City",,,"1,155","1,037",0,"2,192"
"Bland County",,,"1,107","1,154",0,"2,261"
"Botetourt County",,,"6,525","5,354",5,"11,884"
"Bristol City",,,"2,733","3,472",19,"6,224"
"Brunswick County",,,"2,175","3,477",1,"5,653"
"Buchanan County",,,"3,170","6,203",1,"9,374"
"Buckingham County",,,"2,008","2,514",0,"4,522"
"Buena Vista City",,,828,"1,133",0,"1,961"
"Campbell County",,,"10,027","7,842",6,"17,875"
"Caroline County",,,"2,830","4,225",3,"7,058"
"Carroll County",,,"4,727","4,696",0,"9,423"
"Charles City County",,,832,"1,908",0,"2,740"
"Charlotte County",,,"2,105","2,160",0,"4,265"
"Charlottesville City",,,"5,255","7,424",61,"12,740"
"Chesapeake City",,,"33,032","30,502",38,"63,572"
"Chesterfield County",,,"55,200","38,985",147,"94,332"
"Clarke County",,,"2,424","1,951",3,"4,378"
"Clifton Forge City",,,607,924,0,"1,531"
"Colonial Heights City",,,"4,595","2,629",31,"7,255"
"Covington City",,,858,"1,442",0,"2,300"
"Craig County",,,954,"1,207",8,"2,169"
"Culpeper County",,,"5,736","4,130",3,"9,869"
"Cumberland County",,,"1,466","1,498",1,"2,965"
"Danville City",,,"9,021","8,344",5,"17,370"
"Dickenson County",,,"1,993","4,428",4,"6,425"
"Dinwiddie County",,,"3,595","4,357",0,"7,952"
"Emporia City",,,870,"1,105",0,"1,975"
"Essex County",,,"1,743","1,626",0,"3,369"
"Fairfax County",,,"206,383","153,439",772,"360,594"
"Fairfax City",,,"5,023","3,549",28,"8,600"
"Falls Church City",,,"2,571","2,410",11,"4,992"
"Fauquier County",,,"11,881","7,617",65,"19,563"
"Floyd County",,,"2,365","2,304",10,"4,679"
"Fluvanna County",,,"3,535","2,919",0,"6,454"
"Franklin County",,,"8,006","8,048",4,"16,058"
"Franklin City",,,"1,494","1,683",0,"3,177"
"Frederick County",,,"10,723","7,141",13,"17,877"
"Fredericksburg City",,,"2,892","3,070",9,"5,971"
"Galax City",,,994,"1,080",0,"2,074"
"Giles County",,,"2,799","3,359",1,"6,159"
"Gloucester County",,,"6,982","4,954",3,"11,939"
"Goochland County",,,"3,881","3,311",5,"7,197"
"Grayson County",,,"2,835","3,238",0,"6,073"
"Greene County",,,"2,365","1,556",2,"3,923"
"Greensville County",,,"1,277","2,456",1,"3,734"
"Halifax County",,,"6,264","5,865",3,"12,132"
"Hampton City",,,"19,902","22,564",2,"42,468"
"Hanover County",,,"20,353","13,416",19,"33,788"
"Harrisonburg City",,,"4,867","3,465",4,"8,336"
"Henrico County",,,"55,043","47,883",148,"103,074"
"Henry County",,,"8,768","10,004",4,"18,776"
"Highland County",,,643,591,0,"1,234"
"Hopewell City",,,"3,083","3,013",1,"6,097"
"Isle of Wight County",,,"6,142","4,834",1,"10,977"
"James City County",,,"11,748","7,179",45,"18,972"
"King and Queen County",,,"1,099","1,504",0,"2,603"
"King George County",,,"2,775","2,333",18,"5,126"
"King William County",,,"2,336","2,400",15,"4,751"
"Lancaster County",,,"2,904","2,131",12,"5,047"
"Lee County",,,"3,104","4,714",0,"7,818"
"Lexington City",,,"1,029",937,0,"1,966"
"Loudoun County",,,"27,912","19,328",40,"47,280"
"Louisa County",,,"3,937","4,113",7,"8,057"
"Lunenburg County",,,"2,094","2,102",3,"4,199"
"Lynchburg City",,,"12,371","11,162",69,"23,602"
"Madison County",,,"2,516","1,732",4,"4,252"
"Manassas City",,,"5,891","4,473",19,"10,383"
"Manassas Park City",,,918,814,2,"1,734"
"Martinsville City",,,"2,462","2,903",0,"5,365"
"Mathews County",,,"2,528","1,551",3,"4,082"
"Mecklenburg County",,,"5,106","4,147",3,"9,256"
"Middlesex County",,,"2,299","1,728",2,"4,029"
"Montgomery County",,,"11,631","11,978",1,"23,610"
"Nelson County",,,"2,227","2,806",1,"5,034"
"New Kent County",,,"2,843","2,510",10,"5,363"
"Newport News City",,,"27,466","25,330",14,"52,810"
"Norfolk City",,,"26,202","35,423",38,"61,663"
"Northampton County",,,"2,097","2,398",4,"4,499"
"Northumberland County",,,"2,806","2,087",8,"4,901"
"Norton City",,,431,798,0,"1,229"
"Nottoway County",,,"2,459","2,377",2,"4,838"
"Orange County",,,"4,662","3,755",5,"8,422"
"Page County",,,"3,588","3,526",3,"7,117"
