County/City,Ward,Pct,"Mark L. Earley","William D. Dolan, III","All Others","Total Votes Cast"
,,,Republican,Democratic
"Suffolk City",,,"9,018","5,795",4,"14,817"
"Surry County",,,893,"1,224",0,"2,117"
"Sussex County",,,"1,291","1,419",0,"2,710"
"Tazewell County",,,"4,927","4,407",3,"9,337"
"Virginia Beach City",,,"56,748","29,850",339,"86,937"
"Warren County",,,"4,130","2,436",2,"6,568"
"Washington County",,,"6,776","4,914",2,"11,692"
"Waynesboro City",,,"3,231","1,537",1,"4,769"
"Westmoreland County",,,"2,032","1,746",0,"3,778"
"Williamsburg City",,,"1,156","1,384",0,"2,540"
"Winchester City",,,"2,886","1,928",1,"4,815"
"Wise County",,,"4,065","4,624",0,"8,689"
"Wythe County",,,"4,277","2,548",20,"6,845"
"York County",,,"9,770","5,030",43,"14,843"
TOTALS,,,"953,455","702,523","2,393","1,658,371"
