County/City,,,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"5,400","3,249",2,"8,651"
"Albemarle County",,,"15,767","15,433",35,"31,235"
"Alexandria City",,,"13,050","22,108",71,"35,229"
"Alleghany County",,,"2,017","3,190",3,"5,210"
"Amelia County",,,"2,878","1,168",2,"4,048"
"Amherst County",,,"5,976","2,827",4,"8,807"
"Appomattox County",,,"3,397","1,172",1,"4,570"
"Arlington County",,,"19,325","36,949",141,"56,415"
"Augusta County",,,"15,661","4,558",16,"20,235"
"Bath County",,,666,"1,159",1,"1,826"
"Bedford County",,,"16,881","5,009",14,"21,904"
"Bedford City",,,"1,016",553,0,"1,569"
"Bland County",,,"1,394",442,1,"1,837"
"Botetourt County",,,"7,726","3,097",19,"10,842"
"Bristol City",,,"2,760","1,047",3,"3,810"
"Brunswick County",,,"2,107","2,062",4,"4,173"
"Buchanan County",,,"3,261","1,895",2,"5,158"
"Buckingham County",,,"2,313","1,335",0,"3,648"
"Buena Vista City",,,824,528,0,"1,352"
"Campbell County",,,"11,611","3,457",26,"15,094"
"Caroline County",,,"3,709","2,855",4,"6,568"
"Carroll County",,,"5,229","1,932",5,"7,166"
"Charles City County",,,890,"1,259",2,"2,151"
"Charlotte County",,,"2,347","1,171",5,"3,523"
"Charlottesville City",,,"2,636","7,406",14,"10,056"
"Chesapeake City",,,"32,518","21,376",43,"53,937"
"Chesterfield County",,,"59,558","30,161",156,"89,875"
"Clarke County",,,"2,744","1,586",4,"4,334"
"Colonial Heights City",,,"4,333",877,2,"5,212"
"Covington City",,,507,979,2,"1,488"
"Craig County",,,"1,091",518,1,"1,610"
"Culpeper County",,,"7,253","3,057",14,"10,324"
"Cumberland County",,,"1,728",967,1,"2,696"
"Danville City",,,"6,001","4,906",11,"10,918"
"Dickenson County",,,"2,176","1,420",3,"3,599"
"Dinwiddie County",,,"4,461","2,661",4,"7,126"
"Emporia City",,,690,627,1,"1,318"
"Essex County",,,"1,631","1,051",0,"2,682"
"Fairfax County",,,"138,655","134,189",438,"273,282"
"Fairfax City",,,"3,285","2,909",7,"6,201"
"Falls Church City",,,"1,463","2,718",6,"4,187"
"Fauquier County",,,"12,309","5,566",23,"17,898"
"Floyd County",,,"2,951","1,529",7,"4,487"
"Fluvanna County",,,"4,850","2,791",10,"7,651"
