County/City,,,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
"Franklin County",,,"10,283","4,656",12,"14,951"
"Franklin City",,,"1,013","1,216",1,"2,230"
"Frederick County",,,"13,274","4,456",25,"17,755"
"Fredericksburg City",,,"2,231","2,318",10,"4,559"
"Galax City",,,818,490,3,"1,311"
"Giles County",,,"2,916","1,683",4,"4,603"
"Gloucester County",,,"8,126","3,130",16,"11,272"
"Goochland County",,,"5,837","2,401",10,"8,248"
"Grayson County",,,"3,026","1,279",0,"4,305"
"Greene County",,,"3,514","1,326",5,"4,845"
"Greensville County",,,"1,283","1,426",0,"2,709"
"Halifax County",,,"5,453","3,390",19,"8,862"
"Hampton City",,,"13,559","18,696",47,"32,302"
"Hanover County",,,"26,401","8,180",46,"34,627"
"Harrisonburg City",,,"3,816","2,790",11,"6,617"
"Henrico County",,,"49,462","38,420",114,"87,996"
"Henry County",,,"8,160","4,791",1,"12,952"
"Highland County",,,619,505,0,"1,124"
"Hopewell City",,,"2,926","1,753",11,"4,690"
"Isle of Wight County",,,"7,684","3,981",8,"11,673"
"James City County",,,"15,193","7,945",25,"23,163"
"King and Queen County",,,"1,175",819,2,"1,996"
"King George County",,,"3,839","1,624",7,"5,470"
"King William County",,,"3,411","1,354",3,"4,768"
"Lancaster County",,,"3,051","1,661",12,"4,724"
"Lee County",,,"3,755","1,300",1,"5,056"
"Lexington City",,,592,911,2,"1,505"
"Loudoun County",,,"39,996","25,430",95,"65,521"
"Louisa County",,,"5,713","3,023",7,"8,743"
"Lunenburg County",,,"2,040","1,222",1,"3,263"
"Lynchburg City",,,"12,503","7,713",26,"20,242"
"Madison County",,,"2,892","1,268",3,"4,163"
"Manassas City",,,"4,266","2,618",5,"6,889"
"Manassas Park City",,,"1,006",666,0,"1,672"
"Martinsville City",,,"1,565","1,678",5,"3,248"
"Mathews County",,,"2,490","1,067",4,"3,561"
"Mecklenburg County",,,"4,872","2,327",1,"7,200"
"Middlesex County",,,"2,652","1,161",2,"3,815"
"Montgomery County",,,"11,378","9,455",35,"20,868"
"Nelson County",,,"2,683","2,311",5,"4,999"
"New Kent County",,,"4,526","1,549",6,"6,081"
"Newport News City",,,"18,401","18,415",41,"36,857"
"Norfolk City",,,"15,913","24,025",50,"39,988"
"Northampton County",,,"1,976","1,892",4,"3,872"
"Northumberland County",,,"3,167","1,665",10,"4,842"
"Norton City",,,568,369,1,938
"Nottoway County",,,"2,415","1,723",6,"4,144"
"Orange County",,,"6,248","3,033",6,"9,287"
"Page County",,,"5,245","2,223",9,"7,477"
"Patrick County",,,"3,383","1,442",5,"4,830"
"Petersburg City",,,"1,221","5,214",3,"6,438"
"Pittsylvania County",,,"11,739","4,689",0,"16,428"
"Poquoson City",,,"3,737",922,3,"4,662"
"Portsmouth City",,,"8,824","13,124",15,"21,963"
"Powhatan County",,,"7,287","1,828",11,"9,126"
"Prince Edward County",,,"2,752","2,250",4,"5,006"
"Prince George County",,,"5,846","2,634",7,"8,487"
"Prince William County",,,"43,993","30,847",100,"74,940"
"Pulaski County",,,"5,689","3,044",3,"8,736"
"Radford City",,,"1,554","1,291",3,"2,848"
"Rappahannock County",,,"1,664","1,217",3,"2,884"
"Richmond County",,,"1,525",708,1,"2,234"
"Richmond City",,,"13,785","31,241",101,"45,127"
"Roanoke County",,,"20,617","9,643",45,"30,305"
"Roanoke City",,,"9,929","10,731",21,"20,681"
"Rockbridge County",,,"3,964","2,859",3,"6,826"
"Rockingham County",,,"16,519","4,599",22,"21,140"
"Russell County",,,"4,812","2,895",2,"7,709"
"Salem City",,,"4,706","2,365",11,"7,082"
"Scott County",,,"4,370","1,172",3,"5,545"
"Shenandoah County",,,"9,129","3,049",18,"12,196"
"Smyth County",,,"5,424","1,946",7,"7,377"
"Southampton County",,,"2,992","2,011",2,"5,005"
"Spotsylvania County",,,"17,831","8,220",36,"26,087"
"Stafford County",,,"19,164","9,226",46,"28,436"
"Staunton City",,,"3,715","2,627",4,"6,346"
"Suffolk City",,,"11,095","8,798",14,"19,907"
"Surry County",,,"1,105","1,283",5,"2,393"
"Sussex County",,,"1,528","1,386",0,"2,914"
"Tazewell County",,,"7,588","2,749",7,"10,344"
"Virginia Beach City",,,"63,964","36,303",96,"100,363"
"Warren County",,,"5,604","2,559",8,"8,171"
"Washington County",,,"10,348","3,469",5,"13,822"
"Waynesboro City",,,"3,447","1,549",6,"5,002"
"Westmoreland County",,,"2,422","1,711",2,"4,135"
"Williamsburg City",,,"1,579","1,905",5,"3,489"
"Winchester City",,,"3,215","2,076",8,"5,299"
"Wise County",,,"5,538","2,327",9,"7,874"
"Wythe County",,,"5,650","2,119",10,"7,779"
"York County",,,"13,420","5,839",23,"19,282"
TOTALS,,,"1,163,651","818,950","2,502","1,985,103"
