County/City,Ward,Pct,"Gerald L. Baliles","Wyatt B. Durrette, Jr","All Others","Total Votes Cast"
,,,Democratic,Republican
"Essex County",,,"1,095","1,211",0,"2,306"
"Fairfax County",,,"66,385","92,591",23,"158,999"
"Fairfax City",,,"2,139","3,610",0,"5,749"
"Falls Church City",,,"1,459","1,953",0,"3,412"
"Fauquier County",,,"3,134","4,585",0,"7,719"
"Floyd County",,,"1,484","1,672",1,"3,157"
"Fluvanna County",,,"1,099","1,139",4,"2,242"
"Franklin County",,,"5,502","2,960",10,"8,472"
"Franklin City",,,795,"1,062",0,"1,857"
"Frederick County",,,"3,049","4,712",0,"7,761"
"Fredericksburg City",,,"1,908","1,799",0,"3,707"
"Galax City",,,997,796,0,"1,793"
"Giles County",,,"3,094","1,951",0,"5,045"
"Gloucester County",,,"2,921","3,174",2,"6,097"
"Goochland County",,,"2,146","1,691",0,"3,837"
"Grayson County",,,"2,656","2,368",0,"5,024"
"Greene County",,,576,"1,158",0,"1,734"
"Greensville County",,,"1,629","1,134",0,"2,763"
"Halifax County",,,"3,101","3,324",151,"6,576"
"Hampton City",,,"15,645","10,783",4,"26,432"
"Hanover County",,,"6,295","9,500",0,"15,795"
"Harrisonburg City",,,"1,868","2,581",8,"4,457"
"Henrico County",,,"27,685","33,178",18,"60,881"
"Henry County",,,"7,607","4,468",1,"12,076"
"Highland County",,,513,571,2,"1,086"
"Hopewell City",,,"3,021","3,096",2,"6,119"
"Isle of Wight County",,,"3,522","2,702",0,"6,224"
"James City County",,,"2,783","3,233",0,"6,016"
"King and Queen County",,,975,628,0,"1,603"
"King George County",,,"1,017","1,242",0,"2,259"
"King William County",,,"1,413","1,411",1,"2,825"
"Lancaster County",,,"1,386","2,023",1,"3,410"
"Lee County",,,"4,218","2,770",0,"6,988"
"Lexington City",,,858,796,1,"1,655"
"Loudoun County",,,"6,050","8,342",0,"14,392"
"Louisa County",,,"2,346","1,889",23,"4,258"
"Lunenburg County",,,"1,769","1,403",3,"3,175"
"Lynchburg City",,,"7,540","10,235",8,"17,783"
"Madison County",,,"1,253","1,601",0,"2,854"
"Manassas City",,,"1,329","1,969",0,"3,298"
"Manassas Park City",,,372,411,0,783
"Martinsville City",,,"3,064","2,174",4,"5,242"
"Mathews County",,,"1,441","1,470",0,"2,911"
"Mecklenburg County",,,"3,121","3,083",1,"6,205"
"Middlesex County",,,"1,343","1,256",0,"2,599"
"Montgomery County",,,"7,052","6,016",0,"13,068"
"Nelson County",,,"2,165","1,176",1,"3,342"
"New Kent County",,,"1,166","1,230",0,"2,396"
"Newport News City",,,"17,803","14,916",1,"32,720"
"Norfolk City",,,"31,014","16,202",7,"47,223"
"Northampton County",,,"2,090","1,467",0,"3,557"
"Northumberland County",,,"1,565","1,811",0,"3,376"
"Norton City",,,671,341,0,"1,012"
"Nottoway County",,,"2,416","2,123",4,"4,543"
"Orange County",,,"2,141","2,524",1,"4,666"
"Page County",,,"2,622","2,678",1,"5,301"
"Patrick County",,,"3,367","1,254",1,"4,622"
