County/City,,,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"4,145","3,454",6,"7,605"
"Albemarle County",,,"12,395","17,384",13,"29,792"
"Alexandria City",,,"10,189","24,217",26,"34,432"
"Alleghany County",,,"1,232","4,140",1,"5,373"
"Amelia County",,,"2,352","1,247",2,"3,601"
"Amherst County",,,"4,660","3,377",2,"8,039"
"Appomattox County",,,"2,761","1,684",0,"4,445"
"Arlington County",,,"15,062","41,043",64,"56,169"
"Augusta County",,,"11,638","7,370",5,"19,013"
"Bath County",,,395,"1,231",0,"1,626"
"Bedford County",,,"12,767","7,145",14,"19,926"
"Bedford City",,,933,812,2,"1,747"
"Bland County",,,"1,070",713,1,"1,784"
"Botetourt County",,,"6,014","4,255",7,"10,276"
"Bristol City",,,"2,355","1,639",2,"3,996"
"Brunswick County",,,"1,803","2,602",5,"4,410"
"Buchanan County",,,"2,278","3,531",2,"5,811"
"Buckingham County",,,"1,975","1,670",0,"3,645"
"Buena Vista City",,,637,873,0,"1,510"
"Campbell County",,,"9,222","4,897",8,"14,127"
"Caroline County",,,"2,990","3,130",3,"6,123"
"Carroll County",,,"4,398","3,004",5,"7,407"
"Charles City County",,,771,"1,422",1,"2,194"
"Charlotte County",,,"2,103","1,513",0,"3,616"
"Charlottesville City",,,"2,217","7,754",13,"9,984"
"Chesapeake City",,,"27,406","24,451",34,"51,891"
"Chesterfield County",,,"52,648","36,203",125,"88,976"
"Clarke County",,,"2,562","2,207",5,"4,774"
"Colonial Heights City",,,"4,287","1,571",6,"5,864"
"Covington City",,,309,"1,341",0,"1,650"
"Craig County",,,923,831,1,"1,755"
"Culpeper County",,,"5,954","3,447",3,"9,404"
"Cumberland County",,,"1,467","1,064",0,"2,531"
"Danville City",,,"5,043","5,769",1,"10,813"
"Dickenson County",,,"2,029","2,678",4,"4,711"
"Dinwiddie County",,,"3,658","2,958",2,"6,618"
"Emporia City",,,795,717,0,"1,512"
"Essex County",,,"1,594","1,326",1,"2,921"
"Fairfax County",,,"112,943","154,431",238,"267,612"
"Fairfax City",,,"3,056","3,529",4,"6,589"
"Falls Church City",,,"1,233","3,020",7,"4,260"
"Fauquier County",,,"10,034","7,566",16,"17,616"
"Floyd County",,,"2,301","1,980",6,"4,287"
"Fluvanna County",,,"3,833","3,268",0,"7,101"
"Franklin County",,,"8,368","6,760",2,"15,130"
"Franklin City",,,"1,083","1,282",0,"2,365"
"Frederick County",,,"11,280","6,202",34,"17,516"
"Fredericksburg City",,,"1,772","2,435",8,"4,215"
"Galax City",,,682,750,0,"1,432"
"Giles County",,,"2,527","2,493",5,"5,025"
"Gloucester County",,,"6,004","3,900",7,"9,911"
"Goochland County",,,"4,607","3,011",6,"7,624"
"Grayson County",,,"2,563","1,918",9,"4,490"
"Greene County",,,"2,725","1,634",0,"4,359"
"Greensville County",,,"1,381","1,708",1,"3,090"
"Halifax County",,,"4,881","3,710",2,"8,593"
"Hampton City",,,"12,674","19,484",66,"32,224"
"Hanover County",,,"23,261","11,365",14,"34,640"
"Harrisonburg City",,,"3,374","3,411",17,"6,802"
"Henrico County",,,"46,802","44,447",73,"91,322"
"Henry County",,,"6,968","6,971",3,"13,942"
"Highland County",,,429,781,0,"1,210"
"Hopewell City",,,"2,835","2,078",2,"4,915"
"Isle of Wight County",,,"5,653","4,403",14,"10,070"
