County/City,,,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
"James City County",,,"11,364","9,317",19,"20,700"
"King and Queen County",,,963,"1,007",0,"1,970"
"King George County",,,"2,749","1,938",4,"4,691"
"King William County",,,"2,728","1,767",6,"4,501"
"Lancaster County",,,"2,674","1,872",6,"4,552"
"Lee County",,,"3,703","3,000",4,"6,707"
"Lexington City",,,532,"1,137",1,"1,670"
"Loudoun County",,,"29,987","29,023",75,"59,085"
"Louisa County",,,"4,453","3,509",2,"7,964"
"Lunenburg County",,,"1,735","1,480",1,"3,216"
"Lynchburg City",,,"8,450","7,586",35,"16,071"
"Madison County",,,"2,236","1,535",1,"3,772"
"Manassas City",,,"3,711","3,008",4,"6,723"
"Manassas Park City",,,780,620,2,"1,402"
"Martinsville City",,,"1,471","2,165",2,"3,638"
"Mathews County",,,"1,904","1,396",0,"3,300"
"Mecklenburg County",,,"3,757","2,741",0,"6,498"
"Middlesex County",,,"2,253","1,408",2,"3,663"
"Montgomery County",,,"9,186","11,190",13,"20,389"
"Nelson County",,,"2,099","2,830",4,"4,933"
"New Kent County",,,"3,400","2,064",2,"5,466"
"Newport News City",,,"16,812","20,270",69,"37,151"
"Norfolk City",,,"15,910","24,873",72,"40,855"
"Northampton County",,,"1,493","1,800",2,"3,295"
"Northumberland County",,,"2,693","1,969",4,"4,666"
"Norton City",,,456,505,1,962
"Nottoway County",,,"2,006","1,861",1,"3,868"
"Orange County",,,"4,722","3,574",0,"8,296"
"Page County",,,"3,606","2,440",9,"6,055"
"Patrick County",,,"2,685","2,055",2,"4,742"
"Petersburg City",,,"1,503","5,488",1,"6,992"
"Pittsylvania County",,,"9,951","6,305",5,"16,261"
"Poquoson City",,,"2,730","1,274",3,"4,007"
"Portsmouth City",,,"9,086","15,203",38,"24,327"
"Powhatan County",,,"5,881","2,510",5,"8,396"
"Prince Edward County",,,"2,313","2,346",0,"4,659"
"Prince George County",,,"5,021","3,127",11,"8,159"
"Prince William County",,,"34,343","31,407",32,"65,782"
"Pulaski County",,,"4,897","4,432",0,"9,329"
"Radford City",,,"1,655","1,824",1,"3,480"
"Rappahannock County",,,"1,300","1,380",13,"2,693"
"Richmond County",,,"1,320",809,0,"2,129"
"Richmond City",,,"14,659","35,067",47,"49,773"
"Roanoke County",,,"17,867","13,164",22,"31,053"
"Roanoke City",,,"9,074","13,292",27,"22,393"
"Rockbridge County",,,"2,694","3,726",1,"6,421"
"Rockingham County",,,"13,065","6,842",26,"19,933"
"Russell County",,,"3,310","3,920",0,"7,230"
"Salem City",,,"4,392","3,449",11,"7,852"
"Scott County",,,"5,127","2,776",2,"7,905"
"Shenandoah County",,,"7,917","4,112",19,"12,048"
"Smyth County",,,"4,473","3,342",7,"7,822"
"Southampton County",,,"2,419","2,423",3,"4,845"
"Spotsylvania County",,,"14,690","10,131",38,"24,859"
"Stafford County",,,"14,480","10,217",33,"24,730"
"Staunton City",,,"3,056","3,519",1,"6,576"
"Suffolk City",,,"9,355","9,589",10,"18,954"
"Surry County",,,971,"1,416",1,"2,388"
"Sussex County",,,"1,444","1,570",0,"3,014"
"Tazewell County",,,"5,158","4,159",3,"9,320"
"Virginia Beach City",,,"54,885","41,198",118,"96,201"
"Warren County",,,"4,821","3,417",4,"8,242"
"Washington County",,,"8,872","5,878",11,"14,761"
"Waynesboro City",,,"2,653","2,236",6,"4,895"
"Westmoreland County",,,"1,967","2,111",4,"4,082"
"Williamsburg City",,,"1,233","1,638",2,"2,873"
"Winchester City",,,"3,018","2,696",6,"5,720"
"Wise County",,,"4,896","4,709",6,"9,611"
"Wythe County",,,"4,892","3,220",10,"8,122"
"York County",,,"10,674","7,494",33,"18,201"
TOTALS,,,"970,886","970,563","1,801","1,943,250"
