County/City,,,"J. S. Gilmore, III","William D. Dolan, III","All Others","Total Votes Cast"
,,,Republican,Democratic
"Greene County",,,"2,350",837,1,"3,188"
"Greensville County",,,"1,119","1,390",0,"2,509"
"Halifax County",,,"4,466","2,643",0,"7,109"
"Hampton City",,,"15,550","16,517",2,"32,069"
"Hanover County",,,"18,923","7,002",4,"25,929"
"Harrisonburg City",,,"4,440","2,224",3,"6,667"
"Henrico County",,,"51,676","26,759",19,"78,454"
"Henry County",,,"8,498","7,593",0,"16,091"
"Highland County",,,733,393,0,"1,126"
"Hopewell City",,,"3,655","1,992",0,"5,647"
"Isle of Wight County",,,"4,448","3,659",2,"8,109"
"James City County",,,"7,719","5,416",1,"13,136"
"King and Queen County",,,"1,007","1,024",0,"2,031"
"King George County",,,"2,386","1,417",0,"3,803"
"King William County",,,"2,273","1,419",0,"3,692"
"Lancaster County",,,"2,650","1,450",0,"4,100"
"Lee County",,,"3,730","3,391",0,"7,121"
"Lexington City",,,763,889,0,"1,652"
"Loudoun County",,,"14,873","11,104",2,"25,979"
"Louisa County",,,"3,878","2,477",2,"6,357"
"Lunenburg County",,,"2,040","1,429",0,"3,469"
"Lynchburg City",,,"10,093","7,869",1,"17,963"
"Madison County",,,"2,512","1,092",0,"3,604"
"Manassas City",,,"4,041","2,425",0,"6,466"
"Manassas Park City",,,546,315,0,861
"Martinsville City",,,"2,140","2,586",1,"4,727"
"Mathews County",,,"2,014","1,201",0,"3,215"
"Mecklenburg County",,,"4,856","2,481",0,"7,337"
"Middlesex County",,,"2,142","1,198",0,"3,340"
"Montgomery County",,,"10,149","8,833",4,"18,986"
"Nelson County",,,"2,336","1,946",0,"4,282"
"New Kent County",,,"2,700","1,532",1,"4,233"
"Newport News City",,,"19,348","19,407",5,"38,760"
"Norfolk City",,,"17,976","27,648",14,"45,638"
"Northampton County",,,"1,872","1,877",0,"3,749"
"Northumberland County",,,"2,556","1,413",0,"3,969"
"Norton City",,,446,463,0,909
"Nottoway County",,,"2,501","1,504",0,"4,005"
"Orange County",,,"4,121","2,198",0,"6,319"
"Page County",,,"4,159","1,846",0,"6,005"
"Patrick County",,,"2,938","2,251",0,"5,189"
"Petersburg City",,,"2,553","5,445",1,"7,999"
"Pittsylvania County",,,"10,676","4,659",1,"15,336"
"Poquoson City",,,"2,608","1,362",0,"3,970"
"Portsmouth City",,,"10,015","14,220",4,"24,239"
"Powhatan County",,,"3,763","1,476",0,"5,239"
"Prince Edward County",,,"2,801","1,866",0,"4,667"
"Prince George County",,,"4,143","2,393",1,"6,537"
"Prince William County",,,"26,798","17,645",2,"44,445"
"Pulaski County",,,"6,270","3,852",2,"10,124"
"Radford City",,,"1,777","1,632",1,"3,410"
"Rappahannock County",,,"1,400",911,1,"2,312"
"Richmond County",,,"1,451",755,0,"2,206"
"Richmond City",,,"20,009","31,369",11,"51,389"
"Roanoke County",,,"17,815","13,156",9,"30,980"
"Roanoke City",,,"10,938","13,621",9,"24,568"
"Rockbridge County",,,"3,465","2,255",1,"5,721"
"Rockingham County",,,"13,106","3,700",2,"16,808"
"Russell County",,,"3,884","3,030",0,"6,914"
"Salem City",,,"4,529","3,639",5,"8,173"
"Scott County",,,"4,746","2,435",0,"7,181"
"Shenandoah County",,,"7,200","3,037",1,"10,238"
"Smyth County",,,"6,106","2,931",0,"9,037"
"S. Boston City",,,"1,109",744,0,"1,853"
"Southampton County",,,"2,645","2,217",0,"4,862"
"Spotsylvania County",,,"10,614","5,818",2,"16,434"
"Stafford County",,,"10,400","6,061",0,"16,461"
"Staunton City",,,"4,788","2,128",0,"6,916"
"Suffolk City",,,"7,863","6,304",0,"14,167"
"Surry County",,,909,"1,349",0,"2,258"
"Sussex County",,,"1,396","1,523",0,"2,919"
"Tazewell County",,,"6,412","3,505",1,"9,918"
"Virginia Beach City",,,"48,429","38,259",22,"86,710"
"Warren County",,,"4,498","2,130",1,"6,629"
"Washington County",,,"8,653","4,321",1,"12,975"
"Waynesboro City",,,"3,510","1,548",4,"5,062"
"Westmoreland County",,,"2,299","1,647",0,"3,946"
"Williamsburg City",,,"1,110","1,429",1,"2,540"
"Winchester City",,,"2,988","2,097",1,"5,086"
"Wise County",,,"5,162","4,009",0,"9,171"
"Wythe County",,,"5,034","2,673",2,"7,709"
"York County",,,"8,213","5,809",2,"14,024"
TOTALS,,,"958,982","749,565",370,"1,708,917"
