County/City,,,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Goochland County",,,"6,777","5,472",61,76,10,"12,396"
"Grayson County",,,"4,121","2,743",59,50,2,"6,975"
"Greene County",,,"4,293","3,711",53,42,2,"8,101"
"Greensville County",,,"3,507","1,155",39,13,1,"4,715"
"Halifax County",,,"9,881","5,769",104,77,6,"15,837"
"Hampton City",,,"51,193","14,149",503,275,94,"66,214"
"Hanover County",,,"27,218","27,559",261,362,119,"55,519"
"Harrisonburg City",,,"9,867","4,268",83,102,15,"14,335"
"Henrico County",,,"102,465","48,286",664,870,90,"152,375"
"Henry County",,,"17,753","6,551",146,89,12,"24,551"
"Highland County",,,905,640,10,13,0,"1,568"
"Hopewell City",,,"5,844","2,849",74,52,2,"8,821"
"Isle of Wight County",,,"11,579","7,849",147,80,12,"19,667"
"James City County",,,"22,682","14,908",183,269,35,"38,077"
"King and Queen County",,,"2,340","1,204",17,23,1,"3,585"
"King George County",,,"6,026","4,112",67,49,9,"10,263"
"King William County",,,"4,719","3,436",40,45,9,"8,249"
"Lancaster County",,,"4,072","2,602",24,42,1,"6,741"
"Lee County",,,"5,507","3,411",60,19,3,"9,000"
"Lexington City",,,"1,796",588,7,17,3,"2,411"
"Loudoun County",,,"84,470","50,962",736,743,123,"137,034"
"Louisa County",,,"9,020","5,859",107,83,11,"15,080"
"Lunenburg County",,,"3,542","1,932",38,26,2,"5,540"
"Lynchburg City",,,"19,852","13,489",139,189,54,"33,723"
"Madison County",,,"3,701","2,657",68,26,2,"6,454"
"Manassas City",,,"7,624","4,167",60,64,25,"11,940"
"Manassas Park City",,,"2,743","1,264",39,22,2,"4,070"
"Martinsville City",,,"5,261","1,089",18,20,2,"6,390"
"Mathews County",,,"3,070","2,228",26,25,2,"5,351"
"Mecklenburg County",,,"8,445","5,747",132,97,1,"14,422"
"Middlesex County",,,"3,325","2,510",34,36,1,"5,906"
"Montgomery County",,,"27,564","11,767",223,322,44,"39,920"
"Nelson County",,,"5,581","2,412",23,38,2,"8,056"
"New Kent County",,,"4,989","4,713",52,83,8,"9,845"
"Newport News City",,,"57,654","20,469",542,422,83,"79,170"
"Norfolk City",,,"69,102","16,660",569,437,64,"86,832"
"Northampton County",,,"4,803","1,583",53,35,1,"6,475"
"Northumberland County",,,"4,285","2,928",35,34,5,"7,287"
"Norton City",,,"1,076",398,10,10,1,"1,495"
"Nottoway County",,,"4,142","2,123",49,43,7,"6,364"
"Orange County",,,"9,275","6,050",103,81,4,"15,513"
"Page County",,,"5,797","4,327",65,33,13,"10,235"
"Patrick County",,,"4,580","3,221",92,63,1,"7,957"
"Petersburg City",,,"13,605","1,276",136,68,5,"15,090"
"Pittsylvania County",,,"17,092","11,557",203,148,9,"29,009"
"Poquoson City",,,"3,324","3,562",36,45,6,"6,973"
"Portsmouth City",,,"35,371","9,597",327,181,54,"45,530"
"Powhatan County",,,"6,363","7,774",72,83,10,"14,302"
"Prince Edward County",,,"5,881","2,767",73,65,5,"8,791"
"Prince George County",,,"8,876","6,570",157,85,25,"15,713"
"Prince William County",,,"104,517","53,545","1,013",710,214,"159,999"
"Pulaski County",,,"9,467","5,113",62,93,10,"14,745"
"Radford City",,,"3,853","1,460",28,21,8,"5,370"
"Rappahannock County",,,"2,632","1,675",16,29,12,"4,364"
"Richmond County",,,"2,297","1,337",16,16,2,"3,668"
"Richmond City",,,"76,593","12,517",672,782,70,"90,634"
"Roanoke County",,,"29,783","20,113",182,285,66,"50,429"
"Roanoke City",,,"29,823","9,823",195,220,14,"40,075"
"Rockbridge County",,,"6,098","3,771",52,61,4,"9,986"
"Rockingham County",,,"15,475","17,156",148,142,13,"32,934"
"Russell County",,,"7,472","3,773",46,19,4,"11,314"
"Salem City",,,"7,617","4,550",43,73,4,"12,287"
