County/City,,,"Donald S. Beyer, Jr","Edwina P. Dalton","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"4,052","5,497",0,"9,549"
"Albemarle County",,,"10,816","9,557",5,"20,378"
"Alexandria City",,,"22,178","10,177",25,"32,380"
"Alleghany County",,,"2,367","2,015",0,"4,382"
"Amelia County",,,"1,500","1,736",0,"3,236"
"Amherst County",,,"4,433","4,205",2,"8,640"
"Appomattox County",,,"2,370","2,070",0,"4,440"
"Arlington County",,,"35,442","16,930",20,"52,392"
"Augusta County",,,"5,114","9,119",3,"14,236"
"Bath County",,,763,820,0,"1,583"
"Bedford County",,,"6,335","7,077",0,"13,412"
"Bedford City",,,"1,054",844,1,"1,899"
"Bland County",,,757,"1,102",0,"1,859"
"Botetourt County",,,"4,258","4,091",0,"8,349"
"Bristol City",,,"2,573","2,218",0,"4,791"
"Brunswick County",,,"3,107","2,271",0,"5,378"
"Buchanan County",,,"5,577","3,194",0,"8,771"
"Buckingham County",,,"1,957","2,158",0,"4,115"
"Buena Vista City",,,913,691,0,"1,604"
"Campbell County",,,"6,483","8,313",0,"14,796"
"Caroline County",,,"3,276","2,410",1,"5,687"
"Carroll County",,,"2,701","4,488",0,"7,189"
"Charles City County",,,"1,772",639,0,"2,411"
"Charlotte County",,,"2,059","2,043",0,"4,102"
"Charlottesville City",,,"6,518","3,888",4,"10,410"
"Chesapeake City",,,"21,954","18,759",6,"40,719"
"Chesterfield County",,,"30,055","37,172",36,"67,263"
"Clarke County",,,"1,529","1,350",0,"2,879"
"Clifton Forge City",,,955,504,0,"1,459"
"Colonial Heights City",,,"2,330","4,059",0,"6,389"
"Covington City",,,"1,497","1,049",0,"2,546"
"Craig County",,,861,828,0,"1,689"
"Culpeper County",,,"2,910","3,634",0,"6,544"
"Cumberland County",,,"1,461","1,371",0,"2,832"
"Danville City",,,"7,112","8,419",0,"15,531"
"Dickenson County",,,"3,577","2,009",1,"5,587"
"Dinwiddie County",,,"3,420","3,171",0,"6,591"
"Emporia City",,,"1,044","1,083",0,"2,127"
"Essex County",,,"1,428","1,485",1,"2,914"
"Fairfax County",,,"135,100","90,689",175,"225,964"
"Fairfax City",,,"3,514","2,814",1,"6,329"
"Falls Church City",,,"2,709","1,400",3,"4,112"
"Fauquier County",,,"5,932","6,004",2,"11,938"
"Floyd County",,,"1,648","2,164",0,"3,812"
"Fluvanna County",,,"1,629","1,831",2,"3,462"
"Franklin County",,,"5,792","5,130",0,"10,922"
"Franklin City",,,"1,704","1,039",0,"2,743"
"Frederick County",,,"4,418","5,661",1,"10,080"
"Fredericksburg City",,,"2,529","2,100",1,"4,630"
