County/City,,,"Donald S. Beyer, Jr","Edwina P. Dalton","All Others","Total Votes Cast"
"Galax City",,,762,896,0,"1,658"
"Giles County",,,"2,629","2,239",4,"4,872"
"Gloucester County",,,"4,239","5,070",4,"9,313"
"Goochland County",,,"2,773","2,613",1,"5,387"
"Grayson County",,,"2,076","2,972",0,"5,048"
"Greene County",,,932,"1,461",0,"2,393"
"Greensville County",,,"1,944","1,281",0,"3,225"
"Halifax County",,,"4,363","3,731",0,"8,094"
"Hampton City",,,"22,480","13,985",1,"36,466"
"Hanover County",,,"10,219","13,507",5,"23,731"
"Harrisonburg City",,,"2,643","3,444",2,"6,089"
"Henrico County",,,"39,107","40,140",46,"79,293"
"Henry County",,,"7,826","7,376",0,"15,202"
"Highland County",,,489,570,0,"1,059"
"Hopewell City",,,"2,950","3,362",0,"6,312"
"Isle of Wight County",,,"4,533","3,807",0,"8,340"
"James City County",,,"5,738","5,478",0,"11,216"
"King and Queen County",,,"1,105","1,103",0,"2,208"
"King George County",,,"1,655","1,626",0,"3,281"
"King William County",,,"1,889","2,027",0,"3,916"
"Lancaster County",,,"1,928","2,534",1,"4,463"
"Lee County",,,"3,582","2,506",0,"6,088"
"Lexington City",,,"1,045",666,0,"1,711"
"Loudoun County",,,"11,157","9,951",6,"21,114"
"Louisa County",,,"2,946","3,060",2,"6,008"
"Lunenburg County",,,"1,985","1,817",0,"3,802"
"Lynchburg City",,,"9,948","9,990",2,"19,940"
"Madison County",,,"1,459","1,810",0,"3,269"
"Manassas City",,,"2,775","2,765",1,"5,541"
"Manassas Park City",,,392,412,1,805
"Martinsville City",,,"2,880","2,269",1,"5,150"
"Mathews County",,,"1,528","1,840",0,"3,368"
"Mecklenburg County",,,"3,219","4,724",0,"7,943"
"Middlesex County",,,"1,561","1,853",1,"3,415"
"Montgomery County",,,"9,582","7,960",3,"17,545"
"Nelson County",,,"2,382","1,727",0,"4,109"
"New Kent County",,,"1,994","2,084",0,"4,078"
"Newport News City",,,"24,382","19,891",7,"44,280"
"Norfolk City",,,"35,240","18,988",25,"54,253"
"Northampton County",,,"2,490","1,763",0,"4,253"
"Northumberland County",,,"1,588","2,299",0,"3,887"
"Norton City",,,837,319,0,"1,156"
"Nottoway County",,,"2,378","2,347",0,"4,725"
"Orange County",,,"2,609","3,031",1,"5,641"
"Page County",,,"2,157","3,394",1,"5,552"
"Patrick County",,,"2,116","2,560",0,"4,676"
"Petersburg City",,,"7,583","3,521",0,"11,104"
"Pittsylvania County",,,"6,996","8,713",0,"15,709"
"Poquoson City",,,"1,616","2,291",0,"3,907"
"Portsmouth City",,,"18,959","10,939",2,"29,900"
"Powhatan County",,,"2,026","2,926",1,"4,953"
"Prince Edward County",,,"2,751","2,373",0,"5,124"
"Prince George County",,,"3,212","3,475",0,"6,687"
"Prince William County",,,"21,544","18,990",8,"40,542"
"Pulaski County",,,"5,237","4,882",2,"10,121"
"Radford City",,,"1,996","2,066",1,"4,063"
"Rappahannock County",,,"1,026","1,091",0,"2,117"
"Richmond County",,,925,"1,393",0,"2,318"
"Richmond City",,,"45,415","22,769",20,"68,204"
"Roanoke County",,,"15,682","14,130",4,"29,816"
"Roanoke City",,,"17,333","10,231",4,"27,568"
"Rockbridge County",,,"2,526","2,302",1,"4,829"
"Rockingham County",,,"4,725","9,299",5,"14,029"
"Russell County",,,"5,272","3,140",1,"8,413"
"Salem City",,,"4,145","3,798",1,"7,944"
"Scott County",,,"3,076","3,121",0,"6,197"
"Shenandoah County",,,"3,585","5,786",0,"9,371"
"Smyth County",,,"4,433","4,215",1,"8,649"
"S. Boston City",,,976,"1,144",0,"2,120"
"Southampton County",,,"3,072","2,419",0,"5,491"
"Spotsylvania County",,,"6,208","6,705",0,"12,913"
"Stafford County",,,"6,657","7,312",2,"13,971"
"Staunton City",,,"2,847","3,993",0,"6,840"
"Suffolk City",,,"8,335","6,770",1,"15,106"
"Surry County",,,"1,573","1,048",0,"2,621"
"Sussex County",,,"1,945","1,396",0,"3,341"
"Tazewell County",,,"5,705","4,893",1,"10,599"
"Virginia Beach City",,,"43,939","40,718",66,"84,723"
"Warren County",,,"2,750","3,114",0,"5,864"
"Washington County",,,"6,739","6,190",3,"12,932"
"Waynesboro City",,,"2,250","3,325",1,"5,576"
"Westmoreland County",,,"2,128","2,130",0,"4,258"
"Williamsburg City",,,"1,551","1,023",0,"2,574"
"Winchester City",,,"2,568","2,772",4,"5,344"
"Wise County",,,"7,202","3,728",2,"10,932"
"Wythe County",,,"3,537","4,047",0,"7,584"
"York County",,,"6,337","6,656",1,"12,994"
TOTALS,,,"934,377","791,360",537,"1,726,274"
