County/City,,,"Winsome Earle Sears","Hala Sophia Ayala","All Others","Total Votes Cast"
"Poquoson City",,,"4,898","1,356",10,"6,264"
"Portsmouth City",,,"10,177","19,401",31,"29,609"
"Powhatan County",,,"12,529","3,779",15,"16,323"
"Prince Edward County",,,"3,861","3,209",9,"7,079"
"Prince George County",,,"8,544","4,613",8,"13,165"
"Prince William County",,,"64,250","88,335",165,"152,750"
"Pulaski County",,,"9,514","3,419",12,"12,945"
"Radford City",,,"2,234","1,923",12,"4,169"
"Rappahannock County",,,"2,463","1,721",2,"4,186"
"Richmond County",,,"2,212",961,0,"3,173"
"Richmond City",,,"16,246","63,199",156,"79,601"
"Roanoke County",,,"27,899","14,673",46,"42,618"
"Roanoke City",,,"11,898","16,941",57,"28,896"
"Rockbridge County",,,"6,825","3,152",6,"9,983"
"Rockingham County",,,"26,745","8,495",36,"35,276"
"Russell County",,,"8,121","1,469",4,"9,594"
"Salem City",,,"6,102","3,372",13,"9,487"
"Scott County",,,"6,973","1,056",8,"8,037"
"Shenandoah County",,,"13,566","4,627",19,"18,212"
"Smyth County",,,"8,439","1,742",9,"10,190"
"Southampton County",,,"5,079","2,710",7,"7,796"
"Spotsylvania County",,,"32,413","21,638",35,"54,086"
"Stafford County",,,"31,463","25,839",48,"57,350"
"Staunton City",,,"4,686","5,003",13,"9,702"
"Suffolk City",,,"17,476","19,016",41,"36,533"
"Surry County",,,"1,770","1,744",3,"3,517"
"Sussex County",,,"1,972","2,015",6,"3,993"
"Tazewell County",,,"11,992","1,850",1,"13,843"
"Virginia Beach City",,,"87,170","73,997",145,"161,312"
"Warren County",,,"11,203","4,421",27,"15,651"
"Washington County",,,"17,387","4,459",16,"21,862"
"Waynesboro City",,,"4,508","3,273",10,"7,791"
"Westmoreland County",,,"4,559","3,000",13,"7,572"
"Williamsburg City",,,"1,711","3,186",7,"4,904"
"Winchester City",,,"4,122","4,324",8,"8,454"
"Wise County",,,"9,570","1,867",11,"11,448"
"Wythe County",,,"9,308","2,167",11,"11,486"
"York County",,,"17,593","12,132",23,"29,748"
TOTALS,,,"1,658,332","1,608,030","3,796","3,270,158"
