County/City,,,"Mark Robert Warner","Daniel Mac Arthur Gade","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"7,939","8,863",9,"16,811"
"Albemarle County",,,"42,730","20,700",55,"63,485"
"Alexandria City",,,"65,071","16,802",107,"81,980"
"Alleghany County",,,"2,822","5,159",14,"7,995"
"Amelia County",,,"2,559","5,266",8,"7,833"
"Amherst County",,,"6,273","10,624",6,"16,903"
"Appomattox County",,,"2,741","6,306",10,"9,057"
"Arlington County",,,"102,880","26,590",154,"129,624"
"Augusta County",,,"12,224","29,794",26,"42,044"
"Bath County",,,744,"1,688",2,"2,434"
"Bedford County",,,"13,872","34,407",39,"48,318"
"Bland County",,,732,"2,651",3,"3,386"
"Botetourt County",,,"6,512","14,190",15,"20,717"
"Bristol City",,,"2,787","4,892",9,"7,688"
"Brunswick County",,,"4,727","3,192",2,"7,921"
"Buchanan County",,,"2,522","7,202",12,"9,736"
"Buckingham County",,,"3,656","4,392",4,"8,052"
"Buena Vista City",,,"1,020","1,724",3,"2,747"
"Campbell County",,,"9,278","20,337",32,"29,647"
"Caroline County",,,"8,124","8,036",14,"16,174"
"Carroll County",,,"3,591","11,610",14,"15,215"
"Charles City County",,,"2,700","1,704",1,"4,405"
"Charlotte County",,,"2,522","3,633",3,"6,158"
"Charlottesville City",,,"20,672","3,409",24,"24,105"
"Chesapeake City",,,"68,129","58,154",125,"126,408"
"Chesterfield County",,,"107,568","92,658",195,"200,421"
"Clarke County",,,"4,052","5,214",8,"9,274"
"Colonial Heights City",,,"3,143","5,788",9,"8,940"
"Covington City",,,"1,157","1,386",2,"2,545"
"Craig County",,,757,"2,381",5,"3,143"
"Culpeper County",,,"11,123","15,590",16,"26,729"
"Cumberland County",,,"2,317","2,947",3,"5,267"
"Danville City",,,"12,519","6,680",14,"19,213"
"Dickenson County",,,"2,052","5,142",8,"7,202"
"Dinwiddie County",,,"6,445","8,414",13,"14,872"
"Emporia City",,,"1,618",712,2,"2,332"
"Essex County",,,"3,194","2,917",2,"6,113"
"Fairfax County",,,"415,791","178,395",736,"594,922"
"Fairfax City",,,"9,179","4,134",14,"13,327"
"Falls Church City",,,"7,016","1,750",10,"8,776"
"Fauquier County",,,"17,468","24,937",41,"42,446"
"Floyd County",,,"3,407","5,908",13,"9,328"
"Fluvanna County",,,"7,830","7,880",9,"15,719"
"Franklin County",,,"9,907","19,505",27,"29,439"
"Franklin City",,,"2,549","1,410",2,"3,961"
"Frederick County",,,"17,962","29,940",44,"47,946"
