County/City,,,"Mark Robert Warner","Daniel Mac Arthur Gade","All Others","Total Votes Cast"
"Fredericksburg City",,,"8,495","4,080",13,"12,588"
"Galax City",,,919,"1,679",1,"2,599"
"Giles County",,,"2,713","6,306",6,"9,025"
"Gloucester County",,,"7,521","14,605",17,"22,143"
"Goochland County",,,"6,730","9,972",15,"16,717"
"Grayson County",,,"1,946","5,972",7,"7,925"
"Greene County",,,"4,529","6,661",6,"11,196"
"Greensville County",,,"2,716","1,822",4,"4,542"
"Halifax County",,,"8,258","9,824",6,"18,088"
"Hampton City",,,"46,627","17,777",86,"64,490"
"Hanover County",,,"25,864","43,893",69,"69,826"
"Harrisonburg City",,,"11,116","5,634",17,"16,767"
"Henrico County",,,"117,199","62,686",177,"180,062"
"Henry County",,,"10,616","15,051",27,"25,694"
"Highland County",,,504,"1,020",1,"1,525"
"Hopewell City",,,"5,695","3,847",7,"9,549"
"Isle of Wight County",,,"9,821","13,546",23,"23,390"
"James City County",,,"25,685","23,600",41,"49,326"
"King and Queen County",,,"1,705","2,372",8,"4,085"
"King George County",,,"5,758","8,384",15,"14,157"
"King William County",,,"3,447","7,079",9,"10,535"
"Lancaster County",,,"3,457","3,648",3,"7,108"
"Lee County",,,"2,240","7,600",10,"9,850"
"Lexington City",,,"1,853",895,3,"2,751"
"Loudoun County",,,"137,814","84,991",178,"222,983"
"Louisa County",,,"8,700","13,039",20,"21,759"
"Lunenburg County",,,"2,531","3,362",4,"5,897"
"Lynchburg City",,,"18,587","17,208",53,"35,848"
"Madison County",,,"2,925","5,156",7,"8,088"
"Manassas City",,,"10,547","6,227",14,"16,788"
"Manassas Park City",,,"4,084","1,929",5,"6,018"
"Martinsville City",,,"3,957","1,881",5,"5,843"
"Mathews County",,,"1,943","3,856",5,"5,804"
"Mecklenburg County",,,"7,004","8,871",13,"15,888"
"Middlesex County",,,"2,658","4,080",2,"6,740"
"Montgomery County",,,"24,589","19,992",52,"44,633"
"Nelson County",,,"4,673","4,526",8,"9,207"
"New Kent County",,,"4,764","9,449",9,"14,222"
"Newport News City",,,"53,265","25,428",95,"78,788"
"Norfolk City",,,"66,152","23,084",144,"89,380"
"Northampton County",,,"3,889","2,795",3,"6,687"
"Northumberland County",,,"3,386","4,306",4,"7,696"
"Norton City",,,591,988,4,"1,583"
"Nottoway County",,,"3,136","3,869",8,"7,013"
"Orange County",,,"8,392","12,170",17,"20,579"
"Page County",,,"3,420","8,968",15,"12,403"
"Patrick County",,,"2,310","6,875",13,"9,198"
"Petersburg City",,,"12,413","1,505",15,"13,933"
"Pittsylvania County",,,"11,509","21,993",24,"33,526"
"Poquoson City",,,"2,212","5,594",7,"7,813"
"Portsmouth City",,,"31,520","12,241",35,"43,796"
"Powhatan County",,,"5,660","13,972",8,"19,640"
"Prince Edward County",,,"5,195","4,291",14,"9,500"
"Prince George County",,,"7,199","9,842",10,"17,051"
"Prince William County",,,"144,162","80,070",183,"224,415"
"Pulaski County",,,"5,941","11,203",14,"17,158"
"Radford City",,,"3,551","2,690",9,"6,250"
"Rappahannock County",,,"2,219","2,734",4,"4,957"
"Richmond County",,,"1,687","2,347",3,"4,037"
"Richmond City",,,"91,222","18,205",124,"109,551"
"Roanoke County",,,"24,043","32,642",48,"56,733"
"Roanoke City",,,"28,345","14,499",50,"42,894"
"Rockbridge County",,,"4,631","7,637",6,"12,274"
"Rockingham County",,,"13,739","29,700",29,"43,468"
"Russell County",,,"3,288","9,962",13,"13,263"
"Salem City",,,"5,697","7,235",11,"12,943"
"Scott County",,,"2,191","8,543",17,"10,751"
"Shenandoah County",,,"7,313","16,223",12,"23,548"
"Smyth County",,,"3,973","10,013",15,"14,001"
"Southampton County",,,"4,123","5,492",0,"9,615"
"Spotsylvania County",,,"35,485","39,120",98,"74,703"
"Stafford County",,,"40,566","37,389",100,"78,055"
"Staunton City",,,"7,289","5,546",15,"12,850"
"Suffolk City",,,"29,275","19,955",45,"49,275"
"Surry County",,,"2,439","1,958",3,"4,400"
"Sussex County",,,"2,924","2,146",5,"5,075"
"Tazewell County",,,"4,504","15,033",20,"19,557"
"Virginia Beach City",,,"120,753","103,037",202,"223,992"
"Warren County",,,"7,075","13,874",24,"20,973"
"Washington County",,,"7,744","20,656",27,"28,427"
"Waynesboro City",,,"5,275","5,324",12,"10,611"
"Westmoreland County",,,"4,821","5,009",4,"9,834"
"Williamsburg City",,,"4,811","2,020",10,"6,841"
"Winchester City",,,"6,898","5,076",6,"11,980"
"Wise County",,,"4,128","12,096",21,"16,245"
"Wythe County",,,"4,043","10,787",12,"14,842"
"York County",,,"18,025","20,524",20,"38,569"
TOTALS,,,"2,466,500","1,934,199","4,388","4,405,087"
